Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Year
JCG,J CREW GROUP INC (ESCROW),Equity,0,0,12115,1.21,-,Consumer Discretionary,-,-,New York Stock Exchange Inc.,2011
OSHWQ,ORCHARD SUPPLY HARDWARE STORES COR,Equity,0,3.76,394.69,1484.02,-,Consumer Discretionary,B7FNL98,US6856914048,Non-Nms Quotation Service (Nnqs),2011
OSHSQ,ORCHARD SUPPLY HARDWARE STORES PRE,Equity,0,3.76,394.69,1484.02,-,Consumer Discretionary,B7FNL10,US6856915037,Non-Nms Quotation Service (Nnqs),2011
DIAL,WESTWOOD ONE INC CLASS A,Equity,0,3.19,1137,3627.03,-,Consumer Discretionary,B7F0H24,US25247X1072,Non-Nms Quotation Service (Nnqs),2011
DDMGQ,DIGITAL DOMAIN MEDIA GROUP INC,Equity,0,6.08,844,5131.52,-,Consumer Discretionary,B4W7C88,US25386U1043,Non-Nms Quotation Service (Nnqs),2011
SKY,SKYLINE CORP,Equity,0,4.35,1557,6772.95,-,Consumer Discretionary,2814005,US8308301055,Nyse Mkt Llc,2011
SCHSQ,SCHOOL SPECIALTY INC,Equity,0,2.5,3652,9130,-,Consumer Discretionary,2249652,US8078631053,Non-Nms Quotation Service (Nnqs),2011
BONT,BON TON STORES INC,Equity,0,3.37,2800,9436,-,Consumer Discretionary,2110532,US09776J1016,NASDAQ,2011
CRWN,CROWN MEDIA HOLDINGS INC CLASS A,Equity,0,1.21,7923,9586.83,-,Consumer Discretionary,2577580,US2284111042,NASDAQ,2011
ABCD,CAMBIUM LEARNING GROUP INC,Equity,0,3.02,3783,11424.66,-,Consumer Discretionary,B4XV3J7,US13201A1079,NASDAQ,2011
MPX,MARINE PRODUCTS CORP,Equity,0,4.96,2327,11541.92,-,Consumer Discretionary,2737102,US5684271084,New York Stock Exchange Inc.,2011
FBN,FURNITURE BRANDS INTERNATIONAL INC,Equity,0,1.23,9528,11719.44,-,Consumer Discretionary,2463504,US3609211004,New York Stock Exchange Inc.,2011
FLWS,1-800 FLOWERS.COM INC CLASS A,Equity,0,2.2,5909,12999.8,-,Consumer Discretionary,2444123,US68243Q1067,NASDAQ,2011
RLOC,REACHLOCAL INC,Equity,0,6.18,2275,14059.5,-,Consumer Discretionary,B4PYZD2,US75525F1049,NASDAQ,2011
PRTS,US AUTO PARTS NETWORK INC,Equity,0,4.37,3361,14687.57,-,Consumer Discretionary,B1RBR56,US90343C1009,NASDAQ,2011
GMANQ,GORDMANS STORES INC,Equity,0,12.57,1205,15146.85,-,Consumer Discretionary,B4XL944,US38269P1003,Non-Nms Quotation Service (Nnqs),2011
NAUH,NATIONAL AMERICAN UNIVERSITY HOLDI,Equity,0,7.58,2005,15197.9,-,Consumer Discretionary,B29ZGG7,US63245Q1058,NASDAQ,2011
TOWR,TOWER INTERNATIONAL INC,Equity,0,10.74,1512,16238.88,-,Consumer Discretionary,B4L16D4,US8918261095,New York Stock Exchange Inc.,2011
NWY,NEW YORK AND COMPANY INC,Equity,0,2.66,6175,16425.5,-,Consumer Discretionary,B034L94,US6492951024,New York Stock Exchange Inc.,2011
JOUT,JOHNSON OUTDOORS INC CLASS A,Equity,0,15.35,1091,16746.85,-,Consumer Discretionary,2476847,US4791671088,NASDAQ,2011
GKNT,GEEKNET INC.,Equity,0,17.05,992,16913.6,-,Consumer Discretionary,2528232,US36846Q2030,NASDAQ,2011
KSWS,K-SWISS INC. CL A,Equity,0,2.92,5952,17379.84,-,Consumer Discretionary,2479824,US4826861027,NASDAQ,2011
VVTV,VALUEVISION MEDIA INC CLASS A,Equity,0,1.88,9303,17489.64,-,Consumer Discretionary,2934378,US92047K1079,NASDAQ,2011
EVC,ENTRAVISION COMMUNICATIONS CORP CL,Equity,0,1.56,11417,17810.52,-,Consumer Discretionary,2615112,US29382R1077,New York Stock Exchange Inc.,2011
OWW,ORBITZ WORLDWIDE INC.,Equity,0,3.76,4742,17829.92,-,Consumer Discretionary,B23G859,US68557K1097,New York Stock Exchange Inc.,2011
KCP,KENNETH COLE PRODUCTIONS INC. CL A,Equity,0,10.59,1715,18161.85,-,Consumer Discretionary,2484077,US1932941057,New York Stock Exchange Inc.,2011
EPAX,AMBASSADORS GROUP INC.,Equity,0,4.51,4030,18175.3,-,Consumer Discretionary,2845845,US0231771082,NASDAQ,2011
GTN,GRAY TELEVISION INC,Equity,0,1.62,11270,18257.4,-,Consumer Discretionary,2390817,US3893751061,New York Stock Exchange Inc.,2011
