Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Year 
A,AGILENT TECHNOLOGIES INC,Equity,0.06,40.94,91386,3741342.84,"3,741,342.84",Health Care,2520153,US00846U1016,New York Stock Exchange Inc.,2014
AA,ALCOA INC,Equity,0.08,15.79,322392,5090569.68,"5,090,569.68",Materials,2021805,US0138171014,New York Stock Exchange Inc.,2014
AAC,AAC HLDG INC,Equity,0,30.92,1565,48389.8,"48,389.80",Health Care,BQZJBY4,US0003071083,New York Stock Exchange Inc.,2014
AAL,AMERICAN AIRLINES GROUP INC,Equity,0.17,53.63,197391,10586079.33,"10,586,079.33",Industrials,BCV7KT2,US02376R1023,NASDAQ,2014
AAMC,ALTISOURCE ASSET MANAGEMENT CORP,Equity,0,310.12,372,115364.64,"115,364.64",Financials,B7GYFQ5,VI02153X1080,Nyse Mkt Llc,2014
AAN,AARONS INC.,Equity,0.01,30.57,17692,540844.44,"540,844.44",Consumer Discretionary,2002918,US0025353006,New York Stock Exchange Inc.,2014
AAOI,APPLIED OPTOELECTRONICS INC,Equity,0,11.22,2867,32167.74,"32,167.74",Information Technology,BDW0D09,US03823U1025,NASDAQ,2014
AAON,AAON INC.,Equity,0,22.39,11315,253342.85,"253,342.85",Industrials,2268130,US0003602069,NASDAQ,2014
AAP,ADVANCE AUTO PARTS INC,Equity,0.05,159.28,19888,3167760.64,"3,167,760.64",Consumer Discretionary,2822019,US00751Y1064,New York Stock Exchange Inc.,2014
AAPL,APPLE INC,Equity,2.91,110.38,1648513,181962864.9,"181,962,864.94",Information Technology,2046251,US0378331005,NASDAQ,2014
AAT,AMERICAN ASSETS TRUST REIT INC,Equity,0.01,39.81,8223,327357.63,"327,357.63",Financials,B3NTLD4,US0240131047,New York Stock Exchange Inc.,2014
AAVL,AVALANCHE BIOTECHNOLOGIES INC,Equity,0,54,1895,102330,"102,330.00",Health Care,BP9F5J4,US05337G1076,NASDAQ,2014
