Month,Sector,Returns
8/31/2019,Communication Services,-0.017846355
7/31/2019,Communication Services,0.035344757
6/30/2019,Communication Services,0.040304606
5/31/2019,Communication Services,-0.057190092
4/30/2019,Communication Services,0.063911788
3/31/2019,Communication Services,0.022690162
2/28/2019,Communication Services,0.009903922
1/31/2019,Communication Services,0.103608689
12/31/2018,Communication Services,-0.073572889
11/30/2018,Communication Services,-0.006881386
10/31/2018,Communication Services,-0.057946981
9/30/2018,Communication Services,0.019833958
8/31/2018,Communication Services,0.035308499
7/31/2018,Communication Services,0.021799191
6/30/2018,Communication Services,0.025832644
5/31/2018,Communication Services,-0.024973948
4/30/2018,Communication Services,-0.006486455
3/31/2018,Communication Services,-0.010552011
2/28/2018,Communication Services,-0.068168544
1/31/2018,Communication Services,0.005649101
12/31/2017,Communication Services,0.051688953
11/30/2017,Communication Services,0.053662213
10/31/2017,Communication Services,-0.069511626
9/30/2017,Communication Services,0.02831745
8/31/2017,Communication Services,-0.02285049
7/31/2017,Communication Services,0.05760543
6/30/2017,Communication Services,-0.030831246
5/31/2017,Communication Services,-0.012153941
4/30/2017,Communication Services,-0.02395896
3/31/2017,Communication Services,-0.009385043
2/28/2017,Communication Services,-0.004124895
1/31/2017,Communication Services,-0.017812331
12/31/2016,Communication Services,0.077948724
11/30/2016,Communication Services,0.036350721
10/31/2016,Communication Services,-0.057476343
9/30/2016,Communication Services,-0.007069342
8/31/2016,Communication Services,-0.054742907
7/31/2016,Communication Services,0.015061721
6/30/2016,Communication Services,0.090079524
5/31/2016,Communication Services,0.002133588
4/30/2016,Communication Services,-0.017079001
3/31/2016,Communication Services,0.061700941
2/29/2016,Communication Services,0.024678477
1/31/2016,Communication Services,0.056667776
12/31/2015,Communication Services,0.016470721
11/30/2015,Communication Services,-0.018069896
10/31/2015,Communication Services,0.07218183
9/30/2015,Communication Services,-0.038936916
8/31/2015,Communication Services,-0.029972044
7/31/2015,Communication Services,4.73E-05
6/30/2015,Communication Services,-0.020863814
5/31/2015,Communication Services,-0.015674391
4/30/2015,Communication Services,0.054470972
3/31/2015,Communication Services,-0.036030186
2/28/2015,Communication Services,0.066322603
1/31/2015,Communication Services,-0.008685046
12/31/2014,Communication Services,-0.060573268
11/30/2014,Communication Services,0.012621057
10/31/2014,Communication Services,0.010229484
9/30/2014,Communication Services,0.002756364
8/31/2014,Communication Services,-0.010954333
7/31/2014,Communication Services,0.030268355
6/30/2014,Communication Services,-0.009332927
5/31/2014,Communication Services,0.038078407
4/30/2014,Communication Services,0.010652154
3/31/2014,Communication Services,0.045495487
2/28/2014,Communication Services,-0.006679904
1/31/2014,Communication Services,-0.033017284
12/31/2013,Communication Services,0.009021202
11/30/2013,Communication Services,-0.022732913
10/31/2013,Communication Services,0.082684179
9/30/2013,Communication Services,0.001970502
8/31/2013,Communication Services,-0.037715166
7/31/2013,Communication Services,0.007364313
6/30/2013,Communication Services,0.019280687
5/31/2013,Communication Services,-0.065748329
4/30/2013,Communication Services,0.071062064
3/31/2013,Communication Services,0.032366743
2/28/2013,Communication Services,0.019785856
1/31/2013,Communication Services,0.031725199
12/31/2012,Communication Services,-0.004065736
11/30/2012,Communication Services,-0.010036733
10/31/2012,Communication Services,-0.042018044
9/30/2012,Communication Services,0.041848586
8/31/2012,Communication Services,-0.021812205
7/31/2012,Communication Services,0.060389655
6/30/2012,Communication Services,0.055613575
5/31/2012,Communication Services,0.019770947
4/30/2012,Communication Services,0.046003106
3/31/2012,Communication Services,0.014255005
2/29/2012,Communication Services,0.039182051
1/31/2012,Communication Services,-0.019328593
12/31/2011,Communication Services,0.036054195
11/30/2011,Communication Services,0.006757072
10/31/2011,Communication Services,0.032182527
9/30/2011,Communication Services,-0.02589645
8/31/2011,Communication Services,-0.018391605
7/31/2011,Communication Services,-0.054179951
6/30/2011,Communication Services,-0.013126494
5/31/2011,Communication Services,0.02000087
4/30/2011,Communication Services,0.017717526
3/31/2011,Communication Services,0.047306134
2/28/2011,Communication Services,0.0235491
1/31/2011,Communication Services,-0.025757696
12/31/2010,Communication Services,0.075446297
11/30/2010,Communication Services,-0.015561163
10/31/2010,Communication Services,0.010283887
9/30/2010,Communication Services,0.083224439
8/31/2010,Communication Services,0.015029009
7/31/2010,Communication Services,0.092597114
6/30/2010,Communication Services,-0.007604038
5/31/2010,Communication Services,-0.043397667
4/30/2010,Communication Services,4.54E-05
3/31/2010,Communication Services,0.055967533
2/28/2010,Communication Services,-0.00569765
1/31/2010,Communication Services,-0.080581461
12/31/2009,Communication Services,0.053742238
11/30/2009,Communication Services,0.069139137
10/31/2009,Communication Services,-0.039797536
9/30/2009,Communication Services,0.040746624
8/31/2009,Communication Services,-0.024106098
7/31/2009,Communication Services,0.049861772
6/30/2009,Communication Services,0.006804628
5/31/2009,Communication Services,-0.006225932
4/30/2009,Communication Services,0.041374355
3/31/2009,Communication Services,0.065171528
2/28/2009,Communication Services,-0.032639198
1/31/2009,Communication Services,-0.089795585
12/31/2008,Communication Services,0.013532122
11/30/2008,Communication Services,0.045274529
10/31/2008,Communication Services,-0.106010646
9/30/2008,Communication Services,-0.133568036
8/31/2008,Communication Services,0.027304196
7/31/2008,Communication Services,-0.048437932
6/30/2008,Communication Services,-0.113938609
5/31/2008,Communication Services,0.039495749
4/30/2008,Communication Services,0.05765141
3/31/2008,Communication Services,0.038701895
2/29/2008,Communication Services,-0.094886574
1/31/2008,Communication Services,-0.092357681
12/31/2007,Communication Services,0.025742209
11/30/2007,Communication Services,-0.070618188
10/31/2007,Communication Services,-0.015975701
9/30/2007,Communication Services,0.045362706
8/31/2007,Communication Services,-0.00488738
7/31/2007,Communication Services,-0.01963721
6/30/2007,Communication Services,-0.022527573
5/31/2007,Communication Services,0.093845694
4/30/2007,Communication Services,0.00681398
3/31/2007,Communication Services,0.033855971
2/28/2007,Communication Services,-0.009211817
1/31/2007,Communication Services,0.042822002
12/31/2006,Communication Services,0.041868154
11/30/2006,Communication Services,-0.008670847
10/31/2006,Communication Services,0.041231224
9/30/2006,Communication Services,0.042755008
8/31/2006,Communication Services,0.016751567
7/31/2006,Communication Services,0.029444195
6/30/2006,Communication Services,0.044520791
5/31/2006,Communication Services,-0.046575058
4/30/2006,Communication Services,-0.011422724
3/31/2006,Communication Services,0.033186139
2/28/2006,Communication Services,0.057982948
1/31/2006,Communication Services,0.048158892
12/31/2005,Communication Services,-0.030439382
11/30/2005,Communication Services,0.048594684
10/31/2005,Communication Services,-0.012544463
9/30/2005,Communication Services,-0.009753753
8/31/2005,Communication Services,-0.021650586
7/31/2005,Communication Services,0.040203335
6/30/2005,Communication Services,0.020886593
5/31/2005,Communication Services,0.00944341
4/30/2005,Communication Services,0.00566312
3/31/2005,Communication Services,-0.017959118
2/28/2005,Communication Services,0.008024678
1/31/2005,Communication Services,-0.062393637
12/31/2004,Communication Services,0.025798287
11/30/2004,Communication Services,0.040557276
10/31/2004,Communication Services,0.017154511
9/30/2004,Communication Services,0.013753955
8/31/2004,Communication Services,0.009409534
7/31/2004,Communication Services,0.032914954
6/30/2004,Communication Services,0.029847272
5/31/2004,Communication Services,-0.03618041
4/30/2004,Communication Services,-0.009479647
3/31/2004,Communication Services,-0.014447297
2/29/2004,Communication Services,0.002981623
1/31/2004,Communication Services,0.042390565
12/31/2003,Communication Services,0.08318709
11/30/2003,Communication Services,-0.013852007
10/31/2003,Communication Services,0.058343695
9/30/2003,Communication Services,-0.040421975
8/31/2003,Communication Services,0.004076212
7/31/2003,Communication Services,-0.05191472
6/30/2003,Communication Services,0.033801655
5/31/2003,Communication Services,0.069585075
4/30/2003,Communication Services,0.101173278
3/31/2003,Communication Services,-0.000865874
2/28/2003,Communication Services,-0.083906714
1/31/2003,Communication Services,-0.063752171
12/31/2002,Communication Services,-0.074095723
11/30/2002,Communication Services,0.102677323
10/31/2002,Communication Services,0.312424548
9/30/2002,Communication Services,-0.1397666
8/31/2002,Communication Services,-0.021535762
