Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
PATR,PATRIOT TRANSPORTATION HOLDING INC,Equity,0,70.07,305,"21,371.35",-,Industrials,2343479,US70337B1026,NASDAQ
ULH,UNIVERSAL LOGISTICS INC,Equity,0,14.16,"1,520.00","21,523.20",-,Industrials,B066PX9,US91388P1057,NASDAQ
ISHCQ,INTERNATIONAL SHIPHOLDING CORP,Equity,0,25.33,"2,138.00","54,155.54",-,Industrials,2465492,US4603212014,Non-Nms Quotation Service (Nnqs)
TGH,TEXTAINER GROUP HOLDINGS LTD,Equity,0,10.6,"2,287.00","24,242.20",-,Industrials,B054DS5,BMG8766E1093,New York Stock Exchange Inc.
CAI,CAI INTERNATIONAL INC,Equity,0,3.17,"2,394.00","7,588.98",-,Industrials,B1VZ4J7,US12477X1063,New York Stock Exchange Inc.
ARII,AMERICAN RAILCAR INDUSTRIES INC,Equity,0,10.53,"2,728.00","28,725.84",-,Industrials,B0WR837,US02916P1030,NASDAQ
DDMX,DYNAMEX INC.,Equity,0,14.75,"3,438.00","50,710.50",-,Industrials,2271213,US26784F1030,NASDAQ
TBSI,TBS INTERNATIONAL PLC (CL A),Equity,0,10.03,"3,482.00","34,924.46",-,Industrials,B0BV2Z0,BMG869751518,NASDAQ
SHS,SAUER INC,Equity,0,8.75,"3,508.00","30,695.00",-,Industrials,2245070,US8041371076,New York Stock Exchange Inc.
RAB,DORMAN PRODUCTS INC,Equity,0,13.2,"3,579.00","47,242.80",-,Industrials,5769931,US2582781009,Deutsche Boerse Xetra
MPX,MARINE PRODUCTS CORP,Equity,0,5.62,"3,675.00","20,653.50",-,Industrials,2737102,US5684271084,New York Stock Exchange Inc.
RAIL,FREIGHTCAR AMERICA INC,Equity,0,18.27,"3,750.00","68,512.50",-,Industrials,B06T0P5,US3570231007,NASDAQ
FSYS,FUEL SYSTEMS SOLUTIONS INC.,Equity,0,32.76,"3,800.00","124,488.00",-,Industrials,B1CNCG3,US35952W1036,NASDAQ
ALGT,ALLEGIANT TRAVEL,Equity,0.01,48.57,"4,433.00","215,310.81",-,Industrials,B15M2C3,US01748X1028,NASDAQ
AAWW,ATLAS AIR WORLDWIDE HOLDINGS INC,Equity,0,18.9,"4,513.00","85,295.70",-,Industrials,B01Z8P4,US0491642056,NASDAQ
PHIIK,PETROLEUM HELICOPTERS NON VOTING I,Equity,0,14.01,"4,529.00","63,451.29",-,Industrials,2684413,US69336T2050,NASDAQ
SRI,STONERIDGE INC,Equity,0,4.56,"4,595.00","20,953.20",-,Industrials,2111977,US86183P1021,New York Stock Exchange Inc.
SAIA,SAIA INC,Equity,0,10.86,"4,607.00","50,032.02",-,Industrials,2982399,US78709Y1055,NASDAQ
WATG,WONDER AUTO TECHNOLOGY INC.,Equity,0,3.92,"4,785.00","18,757.20",-,Industrials,B0YX3F0,US9781661064,Non-Nms Quotation Service (Nnqs)
MRTN,MARTEN TRANSPORT LTD,Equity,0,18.96,"4,801.00","91,026.96",-,Industrials,2568357,US5730751089,NASDAQ
GBX,GREENBRIER INC,Equity,0,6.87,"4,934.00","33,896.58",-,Industrials,2387530,US3936571013,New York Stock Exchange Inc.
VLCCF,KNIGHTSBRIDGE SHIPPING LTD,Equity,0,14.65,"5,687.00","83,314.55",-,Industrials,2509271,BMG5299G1069,NASDAQ
CVGI,COMMERCIAL VEHICLE GROUP INC,Equity,0,0.93,"6,355.00","5,910.15",-,Industrials,B02GMS7,US2026081057,NASDAQ
THRM,GENTHERM INCORPORATED,Equity,0,3.26,"6,954.00","22,670.04",-,Industrials,2381758,US03070L3006,NASDAQ
ATAC,ATC TECHNOLOGY CORP.,Equity,0,14.63,"6,997.00","102,366.11",-,Industrials,2010825,US00211W1045,NASDAQ
OSGIQ,OVERSEAS SHIPHOLDING GROUP INC,Equity,0.01,42.11,"7,095.00","298,770.45",-,Industrials,2664749,US6903681053,Non-Nms Quotation Service (Nnqs)
ABFS,ARKANSAS BEST CORP.,Equity,0.01,30.11,"7,130.00","214,684.30",-,Industrials,2048075,US0407901075,NASDAQ
SUP,SUPERIOR INDS INC,Equity,0,10.52,"7,183.00","75,565.16",-,Industrials,2864141,US8681681057,New York Stock Exchange Inc.
FDML,FEDERAL MOGUL HOLDINGS CORP,Equity,0,4.23,"7,311.00","30,925.53",-,Industrials,B29N9B7,US3135494041,NASDAQ
CGI,CELADON GROUP INC,Equity,0,8.53,"7,312.00","62,371.36",-,Industrials,2184195,US1508381001,New York Stock Exchange Inc.
GLF,GULFMARK OFFSHORE INC.,Equity,0.01,23.79,"7,424.00","176,616.96",-,Industrials,2396031,US4026291090,New York Stock Exchange Inc.
ULTRF,ULTRAPETROL LTD,Equity,0,3.19,"7,616.00","24,295.04",-,Industrials,B1G1605,BSP943981071,Non-Nms Quotation Service (Nnqs)
GNKOQ,GENCO SHIPPING AND TRADING LTD,Equity,0,14.8,"8,094.00","119,791.20",-,Industrials,B0DPJS2,MHY2685T1073,Non-Nms Quotation Service (Nnqs)
BRS,BRISTOW GROUP INC,Equity,0.01,26.79,"8,098.00","216,945.42",-,Industrials,2656229,US1103941035,New York Stock Exchange Inc.
ODFL,OLD DOMINION FREIGHT LINE INC,Equity,0.01,28.46,"9,434.00","268,491.64",-,Industrials,2656423,US6795801009,NASDAQ
FWRD,FORWARD AIR CORP,Equity,0.01,24.27,"9,526.00","231,196.02",-,Industrials,2510790,US3498531017,NASDAQ
WNC,WABASH NATIONAL CORP,Equity,0,4.5,"9,594.00","43,173.00",-,Industrials,2932048,US9295661071,New York Stock Exchange Inc.
CPA,COPA HOLDINGS A SA,Equity,0.01,30.32,"9,662.00","292,951.84",-,Industrials,B0TNJH9,PAP310761054,New York Stock Exchange Inc.
GWR,GENESEE & WYOMING INC CLASS A,Equity,0.01,30.5,"9,783.00","298,381.50",-,Industrials,2374060,US3715591059,New York Stock Exchange Inc.
WGO,WINNEBAGO INDUSTRIES INC,Equity,0,6.03,"9,796.00","59,069.88",-,Industrials,2972721,US9746371007,New York Stock Exchange Inc.
SPAR,SPARTAN MOTORS INC,Equity,0,4.73,"9,908.00","46,864.84",-,Industrials,2832535,US8468191007,NASDAQ
MOD,MODINE MANUFACTURING,Equity,0,4.87,"9,951.00","48,461.37",-,Industrials,2598354,US6078281002,New York Stock Exchange Inc.
