iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 29, 2006"
Total Net Assets,"2,320,312,073.93"
Shares Outstanding,"30,200,000.00"
Stock,"99.86"
Bond,"0.00"
Cash,"0.47"
Other,"-0.33"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"P5N994","Petrocorp Inc Escrow","Equity","0.00","0.00","1,248.00","0.12","0.00","-","-","US71645N9947","Non-Nms Quotation Service (Nnqs)"
"TBV","TIENS BIOTECH GROUP (USA) INC.","Equity","0.00","2.90","550.00","1,595.00","1,595.00","-","2975968","US88650T1043","Nyse Mkt Llc"
"CIX","COMPX INTERNATIONAL INC","Equity","0.00","15.59","247.00","3,850.73","3,851.00","-","2201908","US20563P1012","Nyse Mkt Llc"
"TTES","T-3 ENERGY SERVICES","Equity","0.00","20.07","221.00","4,435.47","4,435.00","-","2828125","US87306E1073","NASDAQ"
"PGSW","PEGASUS WIRELESS CORP NV COM NEW","Equity","0.00","0.61","8,500.00","5,185.00","5,185.00","-","B1L5141","US70558E2072","Non-Nms Quotation Service (Nnqs)"
"OCPI","OPTICAL COMMUNICATION PRODS CL A","Equity","0.00","1.97","3,132.00","6,170.04","6,170.00","-","2642615","US68382T1016","NASDAQ"
"DXPE","DXP ENTERPRISES INC","Equity","0.00","23.39","268.00","6,268.52","6,269.00","-","2276627","US2333774071","NASDAQ"
"BWTRQ","BASIN WTR INC COM","Equity","0.00","8.19","946.00","7,747.74","7,748.00","-","B1446G2","US07011T3068","Non-Nms Quotation Service (Nnqs)"
"PNRG","PRIMEENERGY CORP","Equity","0.00","71.28","115.00","8,197.20","8,197.00","-","2480365","US74158E1047","NASDAQ"
"OHBIQ","ORLEANS HOMEBUILDERS INC.","Equity","0.00","11.73","738.00","8,656.74","8,657.00","-","2331311","US6865881048","Non-Nms Quotation Service (Nnqs)"
"BFTH","BALLY TOTAL FITNESS","Equity","0.00","1.51","5,789.00","8,741.39","8,741.00","-","2081821","US05873K1088","Non-Nms Quotation Service (Nnqs)"
"PARL","PARLUX FRAGRANCES INC.","Equity","0.00","5.09","1,880.00","9,569.20","9,569.00","-","2672151","US7016451038","NASDAQ"
"SOMX","SOMAXON PHARMACEUTICALS INC.","Equity","0.00","12.31","782.00","9,626.42","9,626.00","-","B0TWNQ3","US8344531020","NASDAQ"
