iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Oct 31, 2007"
Total Net Assets,"3,099,208,877.58"
Shares Outstanding,"34,600,000.00"
Stock,"99.91"
Bond,"0.00"
Cash,"0.15"
Other,"-0.06"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"SEB","SEABOARD CORP","Equity","0.00","1,632.00","62.00","101,184.00","-","Consumer Staples","2786687","US8115431079","Nyse Mkt Llc"
"ARDNA","ARDEN GROUP INC CLASS A","Equity","0.00","142.42","214.00","30,477.88","-","Consumer Staples","2047425","US0397621097","NASDAQ"
"VALU","VALUE LINE INC","Equity","0.00","43.94","255.00","11,204.70","-","Financial Services","2926751","US9204371002","NASDAQ"
"WSC","WESCO FINANCIAL CORP.","Equity","0.00","398.00","268.00","106,664.00","-","Other","2949101","US9508171066","Nyse Mkt Llc"
"CIX","COMPX INTERNATIONAL INC","Equity","0.00","19.80","283.00","5,603.40","-","Materials & Processing","2201908","US20563P1012","Nyse Mkt Llc"
"PATR","PATRIOT TRANSPORTATION HOLDING INC","Equity","0.00","98.57","305.00","30,063.85","-","Autos & Transportation","2343479","US70337B1026","NASDAQ"
"AXR","AMREP CORP","Equity","0.00","37.38","367.00","13,718.46","-","Materials & Processing","2031804","US0321591051","New York Stock Exchange Inc."
"ALX","ALEXANDERS REIT INC","Equity","0.00","401.95","374.00","150,329.30","-","Financial Services","2014021","US0147521092","New York Stock Exchange Inc."
"APAGF","APCO OIL & GAS INTERNATIONAL INC.","Equity","0.00","105.75","397.00","41,982.75","-","Other Energy","2045861","KYG0471F1090","NASDAQ"
"KRO","KRONOS WORLDWIDE INC","Equity","0.00","18.78","414.00","7,774.92","-","Materials & Processing","2166397","US50105F1057","New York Stock Exchange Inc."
"PLPC","PREFORMED LINE PRODUCTS","Equity","0.00","54.88","429.00","23,543.52","-","Producer Durables","2798466","US7404441047","NASDAQ"
"PLX","PROTALIX BIOTHERAPEUTICS INC","Equity","0.00","5.10","430.00","2,193.00","-","Health Care","B1LJRM3","US74365A1016","Nyse Mkt Llc"
"NWLI","NATIONAL WESTERN LIFE INSURANCE CO","Equity","0.00","217.28","431.00","93,647.68","-","Financial Services","2627764","US6385221022","NASDAQ"
"CSWC","CAPITAL SOUTHWEST CORP","Equity","0.00","122.16","536.00","65,477.76","-","Financial Services","2174583","US1405011073","NASDAQ"
"VLGEA","VILLAGE SUPER MARKET INC CLASS A","Equity","0.00","54.59","540.00","29,478.60","-","Consumer Staples","2929211","US9271074091","NASDAQ"
"GUID","GUIDANCE SOFTWARE INC","Equity","0.00","14.72","582.00","8,567.04","-","Technology","B1L6HX5","US4016921086","NASDAQ"
"TBV","TIENS BIOTECH GROUP (USA) INC.","Equity","0.00","3.76","622.00","2,338.72","-","Consumer Staples","2975968","US88650T1043","Nyse Mkt Llc"
"HTC","HUNGARIAN TEL & CABLE CORP COM","Equity","0.00","19.54","641.00","12,525.14","-","Utilities","2449021","US4455421036","Nyse Mkt Llc"
"ALCO","ALICO INC","Equity","0.00","47.44","642.00","30,456.48","-","Materials & Processing","2016425","US0162301040","NASDAQ"
"ENOC","ENERNOC INC","Equity","0.00","46.60","668.00","31,128.80","-","Other Energy","B1XKFG4","US2927641074","NASDAQ"
"NASB","NASB FINANCIAL INC","Equity","0.00","29.70","674.00","20,017.80","-","Financial Services","2634612","US6289681099","Non-Nms Quotation Service (Nnqs)"
"OYOG","OYO GEOSPACE CORP.","Equity","0.00","108.19","712.00","77,031.28","-","Producer Durables","2158457","US6710741025","NASDAQ"
"STU","STUDENT LOAN CORP","Equity","0.00","166.08","717.00","119,079.36","-","Financial Services","2855725","US8639021026","New York Stock Exchange Inc."
"LAWS","LAWSON PRODUCTS INC","Equity","0.00","35.39","752.00","26,613.28","-","Consumer Discretionary","2508126","US5207761058","NASDAQ"
"AFFY","AFFYMAX INC","Equity","0.00","28.45","766.00","21,792.70","-","Health Care","B1L82G9","US00826A1097","Non-Nms Quotation Service (Nnqs)"
"SCMP","SUCAMPO PHARMACEUTICALS INC CLASS","Equity","0.00","13.00","774.00","10,062.00","-","Health Care","B1CH102","US8649091068","NASDAQ"
"SYUT","SYNUTRA INTERNATIONAL INC","Equity","0.00","29.12","783.00","22,800.96","-","Consumer Staples","2457530","US87164C1027","NASDAQ"
"SBP","SANTANDER BANCORP","Equity","0.00","13.70","790.00","10,823.00","-","Financial Services","2312747","PR8028091034","New York Stock Exchange Inc."
"VRTU","VIRTUSA CORP","Equity","0.00","19.14","791.00","15,139.74","-","Technology","B1YWRN0","US92827P1021","NASDAQ"
"MLP","MAUI LAND AND PINEAPPLE INC","Equity","0.00","29.45","799.00","23,530.55","-","Consumer Staples","2572604","US5773451019","New York Stock Exchange Inc."
"NPK","NATIONAL PRESTO INDUSTRIES INC","Equity","0.00","54.94","804.00","44,171.76","-","Consumer Discretionary","2626802","US6372151042","New York Stock Exchange Inc."
"NVR","NVR INC","Equity","0.01","475.75","819.00","389,639.25","-","Producer Durables","2637785","US62944T1051","New York Stock Exchange Inc."
"TWIN","TWIN DISC INC","Equity","0.00","66.07","824.00","54,441.68","-","Producer Durables","2908685","US9014761012","NASDAQ"
"HALL","HALLMARK FINANCIAL SERVICES INC","Equity","0.00","16.75","828.00","13,869.00","-","Financial Services","B19HTB2","US40624Q2030","NASDAQ"
"KCLI","KANSAS CITY LIFE INSURANCE CO.","Equity","0.00","46.63","840.00","39,169.20","-","Financial Services","2483977","US4848361014","NASDAQ"
"LINC","LINCOLN EDUCATIONAL SERVICES CORP","Equity","0.00","14.63","847.00","12,391.61","-","Consumer Discretionary","B0BV2Y9","US5335351004","NASDAQ"
"TBSI","TBS INTERNATIONAL PLC (CL A)","Equity","0.00","62.84","879.00","55,236.36","-","Autos & Transportation","B0BV2Z0","BMG869751518","NASDAQ"
"KFED","K FED BANCORP COM","Equity","0.00","12.82","888.00","11,384.16","-","Financial Services","B00H0M2","US48546S1015","NASDAQ"
"SP","SP PLUS CORP","Equity","0.00","42.90","890.00","38,181.00","-","Consumer Discretionary","B018W06","US8537901030","NASDAQ"
"STRS","STRATUS PROPERTIES INC","Equity","0.00","34.60","896.00","31,001.60","-","Materials & Processing","2761424","US8631672016","NASDAQ"
"Y","ALLEGHANY CORP","Equity","0.01","393.02","896.00","352,145.90","-","Financial Services","2016801","US0171751003","New York Stock Exchange Inc."
"FOLD","AMICUS THERAPEUTICS INC","Equity","0.00","16.46","906.00","14,912.76","-","Health Care","B19FQ48","US03152W1099","NASDAQ"
"SNTA","SYNTA PHARMACEUTICALS INC","Equity","0.00","8.42","907.00","7,636.94","-","Health Care","B08FJW1","US87162T2069","NASDAQ"
"BIOD","BIODEL INC.","Equity","0.00","16.92","908.00","15,363.36","-","Health Care","B1XDZC9","US09064M1053","NASDAQ"
"MIPIQ","MOLECULAR INSIGHT PHARM INC COM","Equity","0.00","6.75","912.00","6,156.00","-","Health Care","B1QGRL8","US60852M1045","Non-Nms Quotation Service (Nnqs)"
"WWIN.1","WASTE INDUSTRIES USA","Equity","0.00","36.00","917.00","33,012.00","-","Consumer Discretionary","2019167","US9410571015","Non-Nms Quotation Service (Nnqs)"
"GMTA","GANDER MOUNTAIN CO","Equity","0.00","5.10","926.00","4,722.60","-","Consumer Discretionary","2373216","US36471P2074","Non-Nms Quotation Service (Nnqs)"
"CACC","CREDIT ACCEPTANCE CORP","Equity","0.00","22.40","929.00","20,809.60","-","Financial Services","2232050","US2253101016","NASDAQ"
"CPICQ","CPI CORP","Equity","0.00","33.21","945.00","31,383.45","-","Consumer Discretionary","2160430","US1259021061","Non-Nms Quotation Service (Nnqs)"
"ALGT","ALLEGIANT TRAVEL","Equity","0.00","36.02","959.00","34,543.18","-","Autos & Transportation","B15M2C3","US01748X1028","NASDAQ"
"NATL","NATIONAL INTERSTATE CORP.","Equity","0.00","32.00","963.00","30,816.00","-","Financial Services","B05Q284","US63654U1007","NASDAQ"
"OMPI","OBAGI MEDICAL PRODUCTS INC.","Equity","0.00","21.84","971.00","21,206.64","-","Health Care","B1KJG38","US67423R1086","NASDAQ"
"RBPAA","ROYAL BANCSHARES OF PENNSYLVANIA I","Equity","0.00","18.98","988.00","18,752.31","-","Financial Services","2570471","US7800811058","NASDAQ"
"COMV","COMVERGE INC.","Equity","0.00","35.20","995.00","35,024.00","-","Technology","B1W3973","US2058591015","NASDAQ"
"IMPCQ","IMPERIAL CAPITAL BANCORP INC","Equity","0.00","21.59","1,000.00","21,590.00","-","Financial Services","2474926","US4526801018","Non-Nms Quotation Service (Nnqs)"
"ZINCQ","HORSEHEAD CORP","Equity","0.00","22.80","1,002.00","22,845.60","-","Materials & Processing","B23XLC8","US4406943054","Non-Nms Quotation Service (Nnqs)"
"ULH","UNIVERSAL LOGISTICS INC","Equity","0.00","17.65","1,003.00","17,702.95","-","Autos & Transportation","B066PX9","US91388P1057","NASDAQ"
"GBL","GAMCO INVESTORS INC CLASS A","Equity","0.00","61.91","1,005.00","62,219.55","-","Financial Services","2386827","US3614381040","New York Stock Exchange Inc."
"CWEI","CLAYTON WILLIAMS ENERGY INC","Equity","0.00","29.93","1,006.00","30,109.58","-","Other Energy","2202439","US9694901011","New York Stock Exchange Inc."
"EMCI","EMC INSURANCE GROUP INC","Equity","0.00","26.33","1,011.00","26,619.63","-","Financial Services","2295268","US2686641091","NASDAQ"
"HURC","HURCO COMPANIES INC","Equity","0.00","57.10","1,016.00","58,013.60","-","Producer Durables","2446367","US4473241044","NASDAQ"
"BLOG","BLADELOGIC INC COM","Equity","0.00","30.73","1,049.00","32,235.77","-","Technology","B1YWR52","US09265M1027","NASDAQ"
"EBS","EMERGENT BIOSOLUTIONS INC","Equity","0.00","10.08","1,066.00","10,745.28","-","Health Care","B1HJLW5","US29089Q1058","New York Stock Exchange Inc."
"SIRT","SIRTRIS PHARM.","Equity","0.00","16.96","1,067.00","18,096.32","-","Health Care","B1XN4P5","US82968A1051","NASDAQ"
