iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jan 31, 2008"
Total Net Assets,"2,731,894,501.79"
Shares Outstanding,"34,350,000.00"
Stock,"99.83"
Bond,"0.00"
Cash,"0.09"
Other,"0.08"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"SEB","SEABOARD CORP","Equity","0.00","1,285.25","69.00","88,682.25","-","Consumer Staples","2786687","US8115431079","Nyse Mkt Llc"
"ARDNA","ARDEN GROUP INC CLASS A","Equity","0.00","139.49","214.00","29,850.86","-","Consumer Staples","2047425","US0397621097","NASDAQ"
"VALU","VALUE LINE INC","Equity","0.00","39.14","255.00","9,980.70","-","Financial Services","2926751","US9204371002","NASDAQ"
"WSC","WESCO FINANCIAL CORP.","Equity","0.00","396.00","268.00","106,128.00","-","Other","2949101","US9508171066","Nyse Mkt Llc"
"CIX","COMPX INTERNATIONAL INC","Equity","0.00","9.95","283.00","2,815.85","-","Materials & Processing","2201908","US20563P1012","Nyse Mkt Llc"
"PATR","PATRIOT TRANSPORTATION HOLDING INC","Equity","0.00","85.50","305.00","26,077.50","-","Autos & Transportation","2343479","US70337B1026","NASDAQ"
"AXR","AMREP CORP","Equity","0.00","45.12","362.00","16,333.44","-","Materials & Processing","2031804","US0321591051","New York Stock Exchange Inc."
"ALX","ALEXANDERS REIT INC","Equity","0.00","350.10","369.00","129,186.90","-","Financial Services","2014021","US0147521092","New York Stock Exchange Inc."
"KRO","KRONOS WORLDWIDE INC","Equity","0.00","19.46","409.00","7,959.14","-","Materials & Processing","2166397","US50105F1057","New York Stock Exchange Inc."
"PLPC","PREFORMED LINE PRODUCTS","Equity","0.00","51.87","424.00","21,992.88","-","Producer Durables","2798466","US7404441047","NASDAQ"
"PLX","PROTALIX BIOTHERAPEUTICS INC","Equity","0.00","3.26","425.00","1,385.50","-","Health Care","B1LJRM3","US74365A1016","Nyse Mkt Llc"
"NWLI","NATIONAL WESTERN LIFE INSURANCE CO","Equity","0.00","187.79","426.00","79,998.54","-","Financial Services","2627764","US6385221022","NASDAQ"
"CSWC","CAPITAL SOUTHWEST CORP","Equity","0.00","117.35","531.00","62,312.85","-","Financial Services","2174583","US1405011073","NASDAQ"
"VLGEA","VILLAGE SUPER MARKET INC CLASS A","Equity","0.00","50.99","535.00","27,279.65","-","Consumer Staples","2929211","US9271074091","NASDAQ"
"GUID","GUIDANCE SOFTWARE INC","Equity","0.00","11.51","577.00","6,641.27","-","Technology","B1L6HX5","US4016921086","NASDAQ"
"TBV","TIENS BIOTECH GROUP (USA) INC.","Equity","0.00","2.18","617.00","1,345.06","-","Consumer Staples","2975968","US88650T1043","Nyse Mkt Llc"
"HTC","HUNGARIAN TEL & CABLE CORP COM","Equity","0.00","17.29","636.00","10,996.44","-","Utilities","2449021","US4455421036","Nyse Mkt Llc"
"ALCO","ALICO INC","Equity","0.00","42.75","637.00","27,231.75","-","Materials & Processing","2016425","US0162301040","NASDAQ"
"ENOC","ENERNOC INC","Equity","0.00","35.25","663.00","23,370.75","-","Other Energy","B1XKFG4","US2927641074","NASDAQ"
"NASB","NASB FINANCIAL INC","Equity","0.00","29.20","669.00","19,534.80","-","Financial Services","2634612","US6289681099","Non-Nms Quotation Service (Nnqs)"
"OYOG","OYO GEOSPACE CORP.","Equity","0.00","52.84","707.00","37,357.88","-","Producer Durables","2158457","US6710741025","NASDAQ"
"STU","STUDENT LOAN CORP","Equity","0.00","118.42","712.00","84,315.04","-","Financial Services","2855725","US8639021026","New York Stock Exchange Inc."
"LAWS","LAWSON PRODUCTS INC","Equity","0.00","31.78","747.00","23,739.66","-","Consumer Discretionary","2508126","US5207761058","NASDAQ"
"AFFY","AFFYMAX INC","Equity","0.00","20.06","761.00","15,265.66","-","Health Care","B1L82G9","US00826A1097","Non-Nms Quotation Service (Nnqs)"
"SCMP","SUCAMPO PHARMACEUTICALS INC CLASS","Equity","0.00","13.27","769.00","10,204.63","-","Health Care","B1CH102","US8649091068","NASDAQ"
"SYUT","SYNUTRA INTERNATIONAL INC","Equity","0.00","26.52","778.00","20,632.56","-","Consumer Staples","2457530","US87164C1027","NASDAQ"
"NVR","NVR INC","Equity","0.02","631.50","780.00","492,570.00","-","Producer Durables","2637785","US62944T1051","New York Stock Exchange Inc."
"SBP","SANTANDER BANCORP","Equity","0.00","10.23","785.00","8,030.57","-","Financial Services","2312747","PR8028091034","New York Stock Exchange Inc."
"VRTU","VIRTUSA CORP","Equity","0.00","14.93","786.00","11,734.98","-","Technology","B1YWRN0","US92827P1021","NASDAQ"
"MLP","MAUI LAND AND PINEAPPLE INC","Equity","0.00","27.50","794.00","21,835.00","-","Consumer Staples","2572604","US5773451019","New York Stock Exchange Inc."
"NPK","NATIONAL PRESTO INDUSTRIES INC","Equity","0.00","56.05","799.00","44,783.95","-","Consumer Discretionary","2626802","US6372151042","New York Stock Exchange Inc."
"VRAD","VIRTUAL RADIOLOGIC CORPORAT COM","Equity","0.00","15.14","803.00","12,157.42","-","Health Care","B1YWRW9","US92826B1044","NASDAQ"
"HALL","HALLMARK FINANCIAL SERVICES INC","Equity","0.00","13.01","823.00","10,707.23","-","Financial Services","B19HTB2","US40624Q2030","NASDAQ"
"ENSG","ENSIGN GROUP INC","Equity","0.00","9.81","833.00","8,171.73","-","Health Care","B1YWPP8","US29358P1012","NASDAQ"
"KCLI","KANSAS CITY LIFE INSURANCE CO.","Equity","0.00","47.03","835.00","39,270.05","-","Financial Services","2483977","US4848361014","NASDAQ"
"LINC","LINCOLN EDUCATIONAL SERVICES CORP","Equity","0.00","12.54","842.00","10,558.68","-","Consumer Discretionary","B0BV2Y9","US5335351004","NASDAQ"
"TBSI","TBS INTERNATIONAL PLC (CL A)","Equity","0.00","33.31","874.00","29,112.94","-","Autos & Transportation","B0BV2Z0","BMG869751518","NASDAQ"
"KFED","K FED BANCORP COM","Equity","0.00","10.43","883.00","9,209.69","-","Financial Services","B00H0M2","US48546S1015","NASDAQ"
"STRS","STRATUS PROPERTIES INC","Equity","0.00","33.66","891.00","29,991.06","-","Materials & Processing","2761424","US8631672016","NASDAQ"
"FOLD","AMICUS THERAPEUTICS INC","Equity","0.00","9.72","901.00","8,757.72","-","Health Care","B19FQ48","US03152W1099","NASDAQ"
"SNTA","SYNTA PHARMACEUTICALS INC","Equity","0.00","7.88","902.00","7,107.76","-","Health Care","B08FJW1","US87162T2069","NASDAQ"
"ICXT","ICX TECHNOLOGIES INC COM","Equity","0.00","8.99","902.00","8,108.98","-","Technology","B28M9H1","US44934T1051","NASDAQ"
"BIOD","BIODEL INC.","Equity","0.00","17.83","903.00","16,100.49","-","Health Care","B1XDZC9","US09064M1053","NASDAQ"
"MIPIQ","MOLECULAR INSIGHT PHARM INC COM","Equity","0.00","8.49","907.00","7,700.43","-","Health Care","B1QGRL8","US60852M1045","Non-Nms Quotation Service (Nnqs)"
"WWIN.1","WASTE INDUSTRIES USA","Equity","0.00","36.17","912.00","32,987.04","-","Consumer Discretionary","2019167","US9410571015","Non-Nms Quotation Service (Nnqs)"
"Y","ALLEGHANY CORP","Equity","0.01","378.00","917.00","346,626.01","-","Financial Services","2016801","US0171751003","New York Stock Exchange Inc."
"GMTA","GANDER MOUNTAIN CO","Equity","0.00","4.82","921.00","4,439.22","-","Consumer Discretionary","2373216","US36471P2074","Non-Nms Quotation Service (Nnqs)"
"CACC","CREDIT ACCEPTANCE CORP","Equity","0.00","17.00","924.00","15,708.00","-","Financial Services","2232050","US2253101016","NASDAQ"
"CCGM","CHINA CGAME INC","Equity","0.00","6.27","925.00","5,799.75","-","Materials & Processing","B2843Y2","US16946P1075","Non-Nms Quotation Service (Nnqs)"
"CPICQ","CPI CORP","Equity","0.00","20.30","940.00","19,082.00","-","Consumer Discretionary","2160430","US1259021061","Non-Nms Quotation Service (Nnqs)"
"ALGT","ALLEGIANT TRAVEL","Equity","0.00","31.28","954.00","29,841.12","-","Autos & Transportation","B15M2C3","US01748X1028","NASDAQ"
"NATL","NATIONAL INTERSTATE CORP.","Equity","0.00","28.39","958.00","27,197.62","-","Financial Services","B05Q284","US63654U1007","NASDAQ"
"APEI","AMERICAN PUBLIC EDUCATION INC","Equity","0.00","39.41","963.00","37,951.83","-","Consumer Discretionary","B292GM4","US02913V1035","NASDAQ"
"OMPI","OBAGI MEDICAL PRODUCTS INC.","Equity","0.00","14.88","966.00","14,374.08","-","Health Care","B1KJG38","US67423R1086","NASDAQ"
"RBPAA","ROYAL BANCSHARES OF PENNSYLVANIA I","Equity","0.00","14.58","983.00","14,332.21","-","Financial Services","2570471","US7800811058","NASDAQ"
"COMV","COMVERGE INC.","Equity","0.00","18.64","990.00","18,453.60","-","Technology","B1W3973","US2058591015","NASDAQ"
"IMPCQ","IMPERIAL CAPITAL BANCORP INC","Equity","0.00","20.26","995.00","20,158.70","-","Financial Services","2474926","US4526801018","Non-Nms Quotation Service (Nnqs)"
"ZINCQ","HORSEHEAD CORP","Equity","0.00","14.99","997.00","14,945.03","-","Materials & Processing","B23XLC8","US4406943054","Non-Nms Quotation Service (Nnqs)"
"ULH","UNIVERSAL LOGISTICS INC","Equity","0.00","22.20","998.00","22,155.60","-","Autos & Transportation","B066PX9","US91388P1057","NASDAQ"
"GBL","GAMCO INVESTORS INC CLASS A","Equity","0.00","59.31","1,000.00","59,310.00","-","Financial Services","2386827","US3614381040","New York Stock Exchange Inc."
"CWEI","CLAYTON WILLIAMS ENERGY INC","Equity","0.00","36.10","1,001.00","36,136.10","-","Other Energy","2202439","US9694901011","New York Stock Exchange Inc."
"EMCI","EMC INSURANCE GROUP INC","Equity","0.00","23.64","1,006.00","23,781.84","-","Financial Services","2295268","US2686641091","NASDAQ"
"HURC","HURCO COMPANIES INC","Equity","0.00","36.57","1,011.00","36,972.27","-","Producer Durables","2446367","US4473241044","NASDAQ"
"BLOG","BLADELOGIC INC COM","Equity","0.00","16.43","1,039.00","17,070.77","-","Technology","B1YWR52","US09265M1027","NASDAQ"
"GXDX","GENOPTIX INC.","Equity","0.00","37.21","1,039.00","38,661.19","-","Health Care","B28G0Z8","US37243V1008","NASDAQ"
"EBS","EMERGENT BIOSOLUTIONS INC","Equity","0.00","7.46","1,056.00","7,877.76","-","Health Care","B1HJLW5","US29089Q1058","New York Stock Exchange Inc."
"SIRT","SIRTRIS PHARM.","Equity","0.00","12.06","1,057.00","12,747.42","-","Health Care","B1XN4P5","US82968A1051","NASDAQ"
"NYM","NYMAGIC INC COM","Equity","0.00","23.45","1,061.00","24,880.45","-","Financial Services","2637332","US6294841068","New York Stock Exchange Inc."
"TAYC","TAYLOR CAPITAL GROUP INC","Equity","0.00","19.59","1,062.00","20,804.58","-","Financial Services","2958561","US8768511060","NASDAQ"
"GHC","GRAHAM HOLDINGS COMPANY CO CLASS B","Equity","0.03","744.00","1,064.00","791,616.00","-","Consumer Discretionary","2942003","US9396401088","New York Stock Exchange Inc."
"AVTR","AVATAR HOLDINGS INC","Equity","0.00","42.90","1,067.00","45,774.30","-","Materials & Processing","2066196","US0534941002","NASDAQ"
"CTO","CONSOLIDATED TOMOKA LAND","Equity","0.00","51.90","1,067.00","55,377.30","-","Materials & Processing","2218704","US2102261060","Nyse Mkt Llc"
"MAPP","MAP PHARMACEUTICALS INC.","Equity","0.00","13.00","1,069.00","13,897.00","-","Health Care","B28BNX2","US56509R1086","NASDAQ"
"SCOR","COMSCORE INC","Equity","0.00","26.77","1,072.00","28,697.44","-","Technology","B1YWRF2","US20564W1053","Non-Nms Quotation Service (Nnqs)"
"JAZZ","JAZZ PHARMACEUTICALS PLC","Equity","0.00","13.10","1,073.00","14,056.30","-","Health Care","B1YBL24","US4721471070","NASDAQ"
"INET","INTERNET BRANDS-CL A","Equity","0.00","7.72","1,081.00","8,345.32","-","Technology","B28ZQX5","US4606081028","NASDAQ"
"SCL","STEPAN","Equity","0.00","29.90","1,085.00","32,441.50","-","Materials & Processing","2845005","US8585861003","New York Stock Exchange Inc."
"NC","NACCO INDUSTRIES INC CLASS A","Equity","0.00","100.06","1,089.00","108,965.34","-","Producer Durables","2616977","US6295791031","New York Stock Exchange Inc."
"FSCI","FISHER COMMUNICATIONS INC.","Equity","0.00","32.85","1,092.00","35,872.20","-","Consumer Discretionary","2648743","US3377562091","NASDAQ"
"PZN","PZENA INVESTMENT MANAGEMENT INC CL","Equity","0.00","13.75","1,094.00","15,042.50","-","Financial Services","B28HSP7","US74731Q1031","New York Stock Exchange Inc."
"WSFS","WSFS FINANCIAL CORP","Equity","0.00","53.30","1,100.00","58,630.00","-","Financial Services","2940375","US9293281021","NASDAQ"
"ABII","ABRAXIS BIOSCIENCE (NEW)","Equity","0.00","59.75","1,105.00","66,023.83","-","Health Care","B296BY3","US00383Y1029","NASDAQ"
"FCNCA","FIRST CITIZENS BANCSHARES INC CLAS","Equity","0.01","136.34","1,105.00","150,655.70","-","Financial Services","2355582","US31946M1036","NASDAQ"
"IHC","INDEPENDENCE HOLDING","Equity","0.00","12.15","1,106.00","13,437.90","-","Financial Services","2461229","US4534403070","New York Stock Exchange Inc."
"MWP","MARKWEST HYDRO","Equity","0.00","62.57","1,122.00","70,203.54","-","Other Energy","2553568","US5707621042","Nyse Mkt Llc"
"HUGH","HUGHES COMMUNICATIONS INC","Equity","0.00","51.35","1,127.00","57,871.45","-","Technology","B0ZN8M1","US4443981018","NASDAQ"
"HLYS","HEELYS INC","Equity","0.00","6.00","1,129.00","6,774.00","-","Consumer Discretionary","B1L3KV5","US42279M1071","NASDAQ"
"ADY","FEIHE INTERNATIONAL INC.","Equity","0.00","10.73","1,139.00","12,221.47","-","Consumer Staples","2650384","US31429Y1038","New York Stock Exchange Inc."
"AEPI","AEP INDUSTRIES INC.","Equity","0.00","30.10","1,143.00","34,404.30","-","Materials & Processing","2001391","US0010311035","NASDAQ"
"SGICQ","SILICON GRAPHICS INC COM NEW","Equity","0.00","20.95","1,144.00","23,966.80","-","Technology","B1G5W87","US8270563005","Non-Nms Quotation Service (Nnqs)"
"PONE","PROTECTION ONE INC.","Equity","0.00","10.79","1,146.00","12,365.34","-","Consumer Discretionary","B065VY9","US7436634031","NASDAQ"
"TMP","TOMPKINS FINANCIAL CORP","Equity","0.00","42.10","1,155.00","48,625.50","-","Financial Services","2888613","US8901101092","Nyse Mkt Llc"
"TSPT","TRANSCEPT PHARMACEUTICALS INC.","Equity","0.00","2.89","1,161.00","3,355.29","-","Health Care","B13JP05","US89354M1062","NASDAQ"
"FIRE","SOURCEFIRE","Equity","0.00","6.80","1,164.00","7,915.20","-","Technology","B1TX675","US83616T1088","NASDAQ"
"USAP","UNIVERSAL STAINLESS AND ALLOY PROD","Equity","0.00","24.74","1,167.00","28,871.58","-","Materials & Processing","2944281","US9138371003","NASDAQ"
"RBCN","RUBICON TECHNOLOGY INC","Equity","0.00","23.65","1,171.00","27,694.15","-","Technology","B29FBW8","US78112T1079","NASDAQ"
"TSON","TRANS1 INC.","Equity","0.00","14.59","1,172.00","17,099.48","-","Health Care","B284R73","US89385X1054","NASDAQ"
