iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Feb 27, 2009"
Total Net Assets,"2,195,354,252.48"
Shares Outstanding,"51,400,000.00"
Stock,"99.61"
Bond,"0.00"
Cash,"0.00"
Other,"0.38"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"-","516990264","-","0.00","0.00","34.00","0.00","-","Technology","-","-","-"
"-","GREENHUNTER ENERGY INC-WARRANT","Equity","0.00","0.00","87.00","0.01","-","Other Energy","99B2NB1","-","-"
"SEB","SEABOARD CORP","Equity","0.00","880.00","120.00","105,600.00","-","Materials & Processing","2786687","US8115431079","Nyse Mkt Llc"
"PNRG","PRIMEENERGY CORP","Equity","0.00","30.25","182.00","5,505.50","-","Other Energy","2480365","US74158E1047","NASDAQ"
"ARDNA","ARDEN GROUP INC CLASS A","Equity","0.00","103.56","214.00","22,161.84","-","Consumer Staples","2047425","US0397621097","NASDAQ"
"ARTL","ARISTOTLE CORP COM NEW","Equity","0.00","3.41","238.00","811.58","-","Consumer Discretionary","2328108","US0404482012","NASDAQ"
"VALU","VALUE LINE INC","Equity","0.00","30.04","255.00","7,660.20","-","Financial Services","2926751","US9204371002","NASDAQ"
"ATRI","ATRION CORP","Equity","0.00","75.16","297.00","22,322.52","-","Health Care","2012735","US0499041053","NASDAQ"
"PATR","PATRIOT TRANSPORTATION HOLDING INC","Equity","0.00","60.81","305.00","18,547.05","-","Autos & Transportation","2343479","US70337B1026","NASDAQ"
"NRCI","NATIONAL RESEARCH CORP.","Equity","0.00","20.57","338.00","6,952.66","-","Health Care","2114073","US6373721033","NASDAQ"
"UCAP","UNITED CAPITAL CORP","Equity","0.00","15.80","352.00","5,561.60","-","Materials & Processing","2584483","US9099121074","Non-Nms Quotation Service (Nnqs)"
"USLM","UNITED STATES LIME AND MINERALS IN","Equity","0.00","20.93","352.00","7,367.36","-","Materials & Processing","2724115","US9119221029","NASDAQ"
"WSC","WESCO FINANCIAL CORP.","Equity","0.00","244.25","430.00","105,027.50","-","Other","2949101","US9508171066","Nyse Mkt Llc"
"ALX","ALEXANDERS REIT INC","Equity","0.00","140.40","514.00","72,165.60","-","Financial Services","2014021","US0147521092","New York Stock Exchange Inc."
"WHCI","W HOLDING INC","Equity","0.00","7.74","558.00","4,318.92","-","Financial Services","2527110","PR9292518744","Non-Nms Quotation Service (Nnqs)"
"NWLI","NATIONAL WESTERN LIFE INSURANCE CO","Equity","0.00","101.65","603.00","61,294.95","-","Financial Services","2627764","US6385221022","NASDAQ"
"DHIL","DIAMOND HILL INVESTMENT GROUP INC","Equity","0.00","39.98","696.00","27,826.08","-","Financial Services","2801137","US25264R2076","NASDAQ"
"AXR","AMREP CORP","Equity","0.00","18.60","703.00","13,075.80","-","Consumer Discretionary","2031804","US0321591051","New York Stock Exchange Inc."
"PLPC","PREFORMED LINE PRODUCTS","Equity","0.00","30.39","765.00","23,248.35","-","Producer Durables","2798466","US7404441047","NASDAQ"
"PLX","PROTALIX BIOTHERAPEUTICS INC","Equity","0.00","2.30","766.00","1,761.80","-","Health Care","B1LJRM3","US74365A1016","Nyse Mkt Llc"
"KTII","K-TRON INTERNATIONAL","Equity","0.00","55.48","768.00","42,608.64","-","Producer Durables","2480581","US4827301080","NASDAQ"
"CSWC","CAPITAL SOUTHWEST CORP","Equity","0.00","65.66","872.00","57,255.52","-","Financial Services","2174583","US1405011073","NASDAQ"
"OFLX","OMEGA FLEX INC","Equity","0.00","16.06","905.00","14,534.30","-","Materials & Processing","B0FPH75","US6820951043","NASDAQ"
"GUID","GUIDANCE SOFTWARE INC","Equity","0.00","3.15","918.00","2,891.70","-","Technology","B1L6HX5","US4016921086","NASDAQ"
"GRIF","GRIFFIN INDUSTRIAL REALTY INC","Equity","0.00","26.27","949.00","24,930.23","-","Materials & Processing","2023931","US3982311009","NASDAQ"
"BFSB","BROOKLYN FEDERAL BANCORP IN COM","Equity","0.00","9.75","959.00","9,350.25","-","Financial Services","B05R1G8","US1140391004","NASDAQ"
"INVHY","INVITEL HLDGS A/S ADS","Equity","0.00","3.50","977.00","3,419.50","-","Utilities","B5S9MH4","US46186X1063","Non-Nms Quotation Service (Nnqs)"
"ALCO","ALICO INC","Equity","0.00","25.98","978.00","25,408.44","-","Materials & Processing","2016425","US0162301040","NASDAQ"
