iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jun 30, 2009"
Total Net Assets,"2,781,284,636.26"
Shares Outstanding,"51,650,000.00"
Stock,"99.71"
Bond,"0.00"
Cash,"0.24"
Other,"0.05"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TETAB","TETON ADVISORS INC CLASS B","Equity","0.00","0.00","32.00","0.00","-","Financial Services","B64SQL4","US88165Y1010","Non-Nms Quotation Service (Nnqs)"
"-","516990264","-","0.00","0.00","34.00","0.00","-","Technology","-","-","-"
"-","GREENHUNTER ENERGY INC-WARRANT","Equity","0.00","0.00","87.00","0.01","-","Other Energy","99B2NB1","-","-"
"SEB","SEABOARD CORP","Equity","0.00","1,122.00","93.00","104,346.00","-","Materials & Processing","2786687","US8115431079","Nyse Mkt Llc"
"PNRG","PRIMEENERGY CORP","Equity","0.00","35.81","182.00","6,517.42","-","Other Energy","2480365","US74158E1047","NASDAQ"
"ARDNA","ARDEN GROUP INC CLASS A","Equity","0.00","125.10","214.00","26,771.40","-","Consumer Staples","2047425","US0397621097","NASDAQ"
"VALU","VALUE LINE INC","Equity","0.00","32.87","255.00","8,381.85","-","Financial Services","2926751","US9204371002","NASDAQ"
"ISRL","ISRAMCO INC","Equity","0.00","106.53","260.00","27,697.80","-","Other Energy","2247571","US4651414066","NASDAQ"
"PATR","PATRIOT TRANSPORTATION HOLDING INC","Equity","0.00","72.93","305.00","22,243.65","-","Autos & Transportation","2343479","US70337B1026","NASDAQ"
"NRCI","NATIONAL RESEARCH CORP.","Equity","0.00","24.40","338.00","8,247.20","-","Health Care","2114073","US6373721033","NASDAQ"
"WSC","WESCO FINANCIAL CORP.","Equity","0.00","291.00","340.00","98,940.00","-","Other","2949101","US9508171066","Nyse Mkt Llc"
"UCAP","UNITED CAPITAL CORP","Equity","0.00","18.32","352.00","6,448.64","-","Materials & Processing","2584483","US9099121074","Non-Nms Quotation Service (Nnqs)"
"USLM","UNITED STATES LIME AND MINERALS IN","Equity","0.00","42.42","352.00","14,931.84","-","Materials & Processing","2724115","US9119221029","NASDAQ"
"TCI","TRANSCONTINENTAL REALTY INVESTORS","Equity","0.00","12.07","388.00","4,683.16","-","Financial Services","2901480","US8936172092","New York Stock Exchange Inc."
"LGTY","LOGILITY INC COM","Equity","0.00","6.96","418.00","2,909.28","-","Technology","2113070","US54140Y1038","NASDAQ"
"CFNB","CALIFORNIA FIRST NATIONAL BANCORP","Equity","0.00","11.40","519.00","5,916.60","-","Financial Services","2031439","US1302221023","NASDAQ"
