iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Oct 29, 2010"
Total Net Assets,"2,913,065,366.46"
Shares Outstanding,"41,550,000.00"
Stock,"99.83"
Bond,"0.00"
Cash,"0.08"
Other,"0.09"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TETAB","TETON ADVISORS INC CLASS B","Equity","0.00","8.50","32.00","272.00","-","Financial Services","B64SQL4","US88165Y1010","Non-Nms Quotation Service (Nnqs)"
"-","516990264","-","0.00","0.00","34.00","0.00","-","Technology","-","-","-"
"-","GREENHUNTER ENERGY INC-WARRANT","Equity","0.00","0.00","36.00","0.00","-","Energy","99B2NB1","-","-"
"GRH","GREENHUNTER ENERGY INC WTS","Equity","0.00","0.00","51.00","0.01","-","Energy","-","-","-"
"SEB","SEABOARD CORP","Equity","0.00","1,854.05","72.00","133,491.60","-","Consumer Staples","2786687","US8115431079","Nyse Mkt Llc"
"ARDNA","ARDEN GROUP INC CLASS A","Equity","0.00","88.06","214.00","18,844.84","-","Consumer Staples","2047425","US0397621097","NASDAQ"
"VALU","VALUE LINE INC","Equity","0.00","17.13","255.00","4,368.15","-","Financial Services","2926751","US9204371002","NASDAQ"
"ISRL","ISRAMCO INC","Equity","0.00","57.30","260.00","14,898.00","-","Energy","2247571","US4651414066","NASDAQ"
"CIX","COMPX INTERNATIONAL INC","Equity","0.00","11.62","268.00","3,114.16","-","Materials & Processing","2201908","US20563P1012","Nyse Mkt Llc"
"4110095Z","CONTANGO ORE INC","Equity","0.00","0.00","292.00","0.03","-","Energy","-","US9927529450","Nyse Mkt Llc"
"PATR","PATRIOT TRANSPORTATION HOLDING INC","Equity","0.00","68.01","305.00","20,743.05","-","Producer Durables","2343479","US70337B1026","NASDAQ"
"BH","BIGLARI HOLDINGS INC","Equity","0.00","333.39","325.00","108,351.75","-","Consumer Discretionary","2843430","US08986R1014","New York Stock Exchange Inc."
"NRCI","NATIONAL RESEARCH CORP.","Equity","0.00","28.13","338.00","9,507.94","-","Health Care","2114073","US6373721033","NASDAQ"
"WSC","WESCO FINANCIAL CORP.","Equity","0.00","363.40","340.00","123,556.00","-","Financial Services","2949101","US9508171066","Nyse Mkt Llc"
"UCAP","UNITED CAPITAL CORP","Equity","0.00","27.04","352.00","9,518.08","-","Financial Services","2584483","US9099121074","Non-Nms Quotation Service (Nnqs)"
