iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Dec 31, 2010"
Total Net Assets,"3,250,800,880.74"
Shares Outstanding,"43,400,000.00"
Stock,"99.79"
Bond,"0.00"
Cash,"0.11"
Other,"0.10"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TETAB","TETON ADVISORS INC CLASS B","Equity","0.00","9.50","32.00","304.00","-","Financial Services","B64SQL4","US88165Y1010","Non-Nms Quotation Service (Nnqs)"
"-","516990264","-","0.00","0.00","34.00","0.00","-","Technology","-","-","-"
"-","GREENHUNTER ENERGY INC-WARRANT","Equity","0.00","0.00","36.00","0.00","-","Energy","99B2NB1","-","-"
"GRH","GREENHUNTER ENERGY INC WTS","Equity","0.00","0.00","51.00","0.01","-","Energy","-","-","-"
"SEB","SEABOARD CORP","Equity","0.00","1,991.00","72.00","143,352.00","-","Consumer Staples","2786687","US8115431079","Nyse Mkt Llc"
"ARDNA","ARDEN GROUP INC CLASS A","Equity","0.00","82.50","214.00","17,655.00","-","Consumer Staples","2047425","US0397621097","NASDAQ"
"VALU","VALUE LINE INC","Equity","0.00","14.45","255.00","3,684.75","-","Financial Services","2926751","US9204371002","NASDAQ"
"ISRL","ISRAMCO INC","Equity","0.00","84.30","260.00","21,918.00","-","Energy","2247571","US4651414066","NASDAQ"
"CIX","COMPX INTERNATIONAL INC","Equity","0.00","11.50","268.00","3,082.00","-","Materials & Processing","2201908","US20563P1012","Nyse Mkt Llc"
"CTGO","CONTANGO ORE INC","Equity","0.00","10.50","279.00","2,929.50","-","Materials & Processing","B3ZY290","US21077F1003","Non-Nms Quotation Service (Nnqs)"
"GVFG","GEROVA FINANCIAL GROUP LTD","Equity","0.00","30.00","301.00","9,030.00","-","Financial Services","B3XMJ40","BMG384902000","Non-Nms Quotation Service (Nnqs)"
"PATR","PATRIOT TRANSPORTATION HOLDING INC","Equity","0.00","92.96","305.00","28,352.80","-","Producer Durables","2343479","US70337B1026","NASDAQ"
