iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Mar 31, 2011"
Total Net Assets,"3,455,600,011.61"
Shares Outstanding,"43,550,000.00"
Stock,"99.79"
Bond,"0.00"
Cash,"0.11"
Other,"0.11"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TETAB","TETON ADVISORS INC CLASS B","Equity","0.00","15.00","32.00","480.00","-","Financial Services","B64SQL4","US88165Y1010","Non-Nms Quotation Service (Nnqs)"
"-","GREENHUNTER ENERGY INC-WARRANT","Equity","0.00","0.00","36.00","0.00","-","Energy","99B2NB1","-","-"
"GRH","GREENHUNTER ENERGY INC WTS","Equity","0.00","0.00","51.00","0.01","-","Energy","-","-","-"
"SEB","SEABOARD CORP","Equity","0.01","2,413.00","72.00","173,736.00","-","Consumer Staples","2786687","US8115431079","Nyse Mkt Llc"
"ARDNA","ARDEN GROUP INC CLASS A","Equity","0.00","76.31","214.00","16,330.34","-","Consumer Staples","2047425","US0397621097","NASDAQ"
"VALU","VALUE LINE INC","Equity","0.00","14.80","255.00","3,774.00","-","Financial Services","2926751","US9204371002","NASDAQ"
"ISRL","ISRAMCO INC","Equity","0.00","65.00","260.00","16,900.00","-","Energy","2247571","US4651414066","NASDAQ"
"CIX","COMPX INTERNATIONAL INC","Equity","0.00","15.76","268.00","4,223.68","-","Materials & Processing","2201908","US20563P1012","Nyse Mkt Llc"
"GVFG","GEROVA FINANCIAL GROUP LTD","Equity","0.00","5.25","301.00","1,580.25","-","Financial Services","B3XMJ40","BMG384902000","Non-Nms Quotation Service (Nnqs)"
"BH","BIGLARI HOLDINGS INC","Equity","0.00","423.55","325.00","137,653.75","-","Consumer Discretionary","2843430","US08986R1014","New York Stock Exchange Inc."
"NRCI","NATIONAL RESEARCH CORP.","Equity","0.00","33.94","338.00","11,471.72","-","Health Care","2114073","US6373721033","NASDAQ"
"WSC","WESCO FINANCIAL CORP.","Equity","0.00","389.20","340.00","132,328.00","-","Financial Services","2949101","US9508171066","Nyse Mkt Llc"
"HBOS","HERITAGE FINANCIAL GROUP INC","Equity","0.00","12.73","347.00","4,417.31","-","Financial Services","B40Z916","US42726X1028","NASDAQ"
"UCAP","UNITED CAPITAL CORP","Equity","0.00","28.30","352.00","9,961.60","-","Financial Services","2584483","US9099121074","Non-Nms Quotation Service (Nnqs)"
"USLM","UNITED STATES LIME AND MINERALS IN","Equity","0.00","40.51","352.00","14,259.52","-","Materials & Processing","2724115","US9119221029","NASDAQ"
"ATRI","ATRION CORP","Equity","0.00","174.47","353.00","61,587.91","-","Health Care","2012735","US0499041053","NASDAQ"
"BRID","BRIDGFORD FOODS CORP","Equity","0.00","11.21","415.00","4,652.15","-","Consumer Staples","2123013","US1087631032","NASDAQ"
"CFNB","CALIFORNIA FIRST NATIONAL BANCORP","Equity","0.00","15.27","415.00","6,337.05","-","Financial Services","2031439","US1302221023","NASDAQ"
"ALX","ALEXANDERS REIT INC","Equity","0.01","406.95","491.00","199,812.45","-","Financial Services","2014021","US0147521092","New York Stock Exchange Inc."
"DMRC","DIGIMARC CORP","Equity","0.00","28.90","511.00","14,767.90","-","Technology","B3F05P5","US25381B1017","NASDAQ"
"DHIL","DIAMOND HILL INVESTMENT GROUP INC","Equity","0.00","80.00","539.00","43,120.00","-","Financial Services","2801137","US25264R2076","NASDAQ"
"WINA","WINMARK CORP","Equity","0.00","46.13","545.00","25,140.85","-","Consumer Discretionary","2391092","US9742501029","NASDAQ"
"NWLI","NATIONAL WESTERN LIFE INSURANCE CO","Equity","0.00","162.25","560.00","90,860.00","-","Financial Services","2627764","US6385221022","NASDAQ"
"PLPC","PREFORMED LINE PRODUCTS","Equity","0.00","69.17","608.00","42,055.36","-","Producer Durables","2798466","US7404441047","NASDAQ"
"OLP","ONE LIBERTY PROPERTIES REIT INC","Equity","0.00","15.08","622.00","9,379.76","-","Financial Services","2659615","US6824061039","New York Stock Exchange Inc."
"LCUT","LIFETIME BRANDS INC","Equity","0.00","15.00","642.00","9,630.00","-","Consumer Discretionary","2515773","US53222Q1031","NASDAQ"
"PBIB","PORTER BANCORP INC","Equity","0.00","7.89","659.00","5,199.51","-","Financial Services","B17V057","US7362331073","NASDAQ"
"AGM","FEDERAL AGRICULTURAL MORTGAGE CORP","Equity","0.00","19.11","660.00","12,612.60","-","Financial Services","2363381","US3131483063","New York Stock Exchange Inc."
"DVOXQ","DYNAVOX INC CLASS A","Equity","0.00","5.52","666.00","3,676.32","-","Technology","B5VHFH6","US26817F1049","Non-Nms Quotation Service (Nnqs)"
"RRTS","ROADRUNNER TRANSPORTATION SYSTEMS","Equity","0.00","15.00","691.00","10,365.00","-","Producer Durables","B3W9403","US76973Q1058","New York Stock Exchange Inc."
"KFFG","KAISER FEDERAL FINANCIAL GROUP","Equity","0.00","12.30","701.00","8,622.30","-","Financial Services","B3S19X1","US4830561076","NASDAQ"
"GRNB","GREEN BANKSHARES INC.","Equity","0.00","2.79","713.00","1,989.27","-","Financial Services","2964438","US3943612081","NASDAQ"
"CSWC","CAPITAL SOUTHWEST CORP","Equity","0.00","91.53","715.00","65,443.95","-","Financial Services","2174583","US1405011073","NASDAQ"
"TAYC","TAYLOR CAPITAL GROUP INC","Equity","0.00","10.51","716.00","7,525.16","-","Financial Services","2958561","US8768511060","NASDAQ"
"LMNR","LIMONEIRA","Equity","0.00","23.70","730.00","17,301.00","-","Consumer Staples","2101763","US5327461043","NASDAQ"
"OFLX","OMEGA FLEX INC","Equity","0.00","13.45","748.00","10,060.60","-","Materials & Processing","B0FPH75","US6820951043","NASDAQ"
"PWOD","PENNS WOODS BANCORP INC","Equity","0.00","38.93","773.00","30,092.89","-","Financial Services","2552866","US7084301032","NASDAQ"
"GRIF","GRIFFIN INDUSTRIAL REALTY INC","Equity","0.00","32.18","792.00","25,486.56","-","Financial Services","2023931","US3982311009","NASDAQ"
"PLOW","DOUGLAS DYNAMICS INC","Equity","0.00","14.26","815.00","11,621.90","-","Producer Durables","B3N5WD9","US25960R1059","New York Stock Exchange Inc."
"ALCO","ALICO INC","Equity","0.00","26.77","821.00","21,978.17","-","Consumer Staples","2016425","US0162301040","NASDAQ"
"PATH","NUPATHE INC","Equity","0.00","7.81","822.00","6,419.82","-","Health Care","B4ZVDV7","US67059M1009","NASDAQ"
"ALNC","ALLIANCE FINANCIAL CORP.","Equity","0.00","33.35","832.00","27,747.20","-","Financial Services","2619578","US0192051037","NASDAQ"
"NASB","NASB FINANCIAL INC","Equity","0.00","16.18","853.00","13,801.54","-","Financial Services","2634612","US6289681099","Non-Nms Quotation Service (Nnqs)"
"MUSA","METALS USA HOLDINGS CORP.","Equity","0.00","16.37","866.00","14,176.42","-","Materials & Processing","B5921X1","US59132A1043","New York Stock Exchange Inc."
"COKE","COCA COLA BOTTLING","Equity","0.00","66.84","868.00","58,017.12","-","Consumer Staples","2206721","US1910981026","NASDAQ"
"HNRG","HALLADOR ENERGY","Equity","0.00","11.60","873.00","10,126.80","-","Energy","2404978","US40609P1057","NASDAQ"
"PLUS","EPLUS","Equity","0.00","26.61","881.00","23,443.41","-","Technology","2597748","US2942681071","NASDAQ"
"STU","STUDENT LOAN ESCROW","Equity","0.00","2.50","889.00","2,222.50","-","Financial Services","-","-","New York Stock Exchange Inc."
"OYOG","OYO GEOSPACE CORP.","Equity","0.00","98.58","891.00","87,834.78","-","Energy","2158457","US6710741025","NASDAQ"
"PATR","PATRIOT TRANSPORTATION HOLDING INC","Equity","0.00","26.75","919.00","24,583.25","-","Producer Durables","2343479","US70337B1026","NASDAQ"
"VSEC","VSE CORP","Equity","0.00","29.71","924.00","27,452.04","-","Producer Durables","2926773","US9182841000","NASDAQ"
"LAWS","LAWSON PRODUCTS INC","Equity","0.00","23.04","931.00","21,450.24","-","Materials & Processing","2508126","US5207761058","NASDAQ"
"SCMP","SUCAMPO PHARMACEUTICALS INC CLASS","Equity","0.00","4.20","953.00","4,002.60","-","Health Care","B1CH102","US8649091068","NASDAQ"
"VIAS","VIASYSTEMS GROUP INC.","Equity","0.00","27.29","987.00","26,935.23","-","Technology","B62FJ41","US92553H8034","NASDAQ"
"BAGL","EINSTEIN NOAH RESTAURANT GROUP INC","Equity","0.00","16.28","1,001.00","16,296.28","-","Consumer Discretionary","2042486","US28257U1043","NASDAQ"
"JOUT","JOHNSON OUTDOORS INC CLASS A","Equity","0.00","15.19","1,002.00","15,220.38","-","Consumer Discretionary","2476847","US4791671088","NASDAQ"
"BBGI","BEASLEY BROADCAST GROUP INC CLASS","Equity","0.00","7.34","1,007.00","7,391.38","-","Consumer Discretionary","2544960","US0740141017","NASDAQ"
"BSTC","BIOSPECIFICS TECHNOLOGIES CORP","Equity","0.00","25.50","1,011.00","25,780.50","-","Health Care","2098832","US0909311062","NASDAQ"
"KCLI","KANSAS CITY LIFE INSURANCE CO.","Equity","0.00","31.98","1,019.00","32,587.62","-","Financial Services","2483977","US4848361014","NASDAQ"
"MBVT","MERCHANTS BANCSHARES INC","Equity","0.00","26.48","1,023.00","27,089.04","-","Financial Services","2580715","US5884481004","NASDAQ"
"SGS","STREAM GLOBAL SERVICES INC.","Equity","0.00","3.03","1,037.00","3,142.11","-","Product Durables","B29N9J5","US86323M1009","Nyse Mkt Llc"
"NVEC","NVE CORP","Equity","0.00","56.34","1,049.00","59,100.66","-","Technology","2072126","US6294452064","NASDAQ"
"PTSI","PAM TRANSPORTATION SERVICES INC","Equity","0.00","12.15","1,056.00","12,830.40","-","Producer Durables","2669090","US6931491061","NASDAQ"
"NPK","NATIONAL PRESTO INDUSTRIES INC","Equity","0.00","112.68","1,069.00","120,454.92","-","Consumer Discretionary","2626802","US6372151042","New York Stock Exchange Inc."
"BOOT","LACROSSE FOOTWEAR INC.","Equity","0.00","18.33","1,080.00","19,796.40","-","Consumer Discretionary","2499888","US5056881015","NASDAQ"
"SPSC","SPS COMMERCE INC","Equity","0.00","15.51","1,084.00","16,812.84","-","Technology","B57VWJ3","US78463M1071","NASDAQ"
"RELL","RICHARDSON ELECTRONICS LTD","Equity","0.00","13.18","1,085.00","14,300.30","-","Technology","2736109","US7631651079","NASDAQ"
"LWAY","LIFEWAY FOODS INC","Equity","0.00","10.42","1,086.00","11,316.12","-","Consumer Staples","2545305","US5319141090","NASDAQ"
"BARI","BANCORP RHODE ISLAND","Equity","0.00","30.87","1,086.00","33,524.82","-","Financial Services","2624668","US0596901076","NASDAQ"
"GTEC","GLOBAL DEFENSE TECH","Equity","0.00","24.22","1,099.00","26,617.78","-","Producer Durables","B3XF1Z4","US37950B1070","NASDAQ"
"RLOC","REACHLOCAL INC","Equity","0.00","20.00","1,105.00","22,100.00","-","Consumer Discretionary","B4PYZD2","US75525F1049","NASDAQ"
"FIBK","FIRST INTERSTATE BANCSYSTEM INC CL","Equity","0.00","13.60","1,118.00","15,204.80","-","Financial Services","B4RGHN0","US32055Y2019","NASDAQ"
"BMRC","BANK OF MARIN BANCORP","Equity","0.00","37.32","1,130.00","42,171.60","-","Financial Services","2647375","US0634251021","NASDAQ"
"EXL","EXCEL TRUST REIT INC","Equity","0.00","11.79","1,139.00","13,428.81","-","Financial Services","B563VF9","US30068C1099","-"
"NATL","NATIONAL INTERSTATE CORP.","Equity","0.00","20.85","1,142.00","23,810.70","-","Financial Services","B05Q284","US63654U1007","NASDAQ"
"TESS","TESSCO TECHNOLOGIES INC","Equity","0.00","11.50","1,153.00","13,259.50","-","Technology","2884291","US8723861071","NASDAQ"
"AEPI","AEP INDUSTRIES INC.","Equity","0.00","29.72","1,163.00","34,564.36","-","Materials & Processing","2001391","US0010311035","NASDAQ"
