iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jul 29, 2011"
Total Net Assets,"3,286,865,946.95"
Shares Outstanding,"42,600,000.00"
Stock,"99.83"
Bond,"0.00"
Cash,"0.08"
Other,"0.09"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TETAB","TETON ADVISORS INC CLASS B","Equity","0.00","16.75","32.00","536.00","-","Financial Services","B64SQL4","US88165Y1010","Non-Nms Quotation Service (Nnqs)"
"-","GREENHUNTER ENERGY INC-WARRANT","Equity","0.00","0.00","36.00","0.00","-","Energy","99B2NB1","-","-"
"GRH","GREENHUNTER ENERGY INC WTS","Equity","0.00","0.00","51.00","0.01","-","Energy","-","-","-"
"SEB","SEABOARD CORP","Equity","0.01","2,615.00","72.00","188,280.00","-","Consumer Staples","2786687","US8115431079","Nyse Mkt Llc"
"ISRL","ISRAMCO INC","Equity","0.00","61.20","237.00","14,504.40","-","Energy","2247571","US4651414066","NASDAQ"
"ARDNA","ARDEN GROUP INC CLASS A","Equity","0.00","88.76","251.00","22,278.76","-","Consumer Staples","2047425","US0397621097","NASDAQ"
"CIX","COMPX INTERNATIONAL INC","Equity","0.00","13.60","268.00","3,644.80","-","Materials & Processing","2201908","US20563P1012","Nyse Mkt Llc"
"BH","BIGLARI HOLDINGS INC","Equity","0.00","368.17","281.00","103,455.77","-","Consumer Discretionary","2843430","US08986R1014","New York Stock Exchange Inc."
"VALU","VALUE LINE INC","Equity","0.00","10.78","298.00","3,212.44","-","Financial Services","2926751","US9204371002","NASDAQ"
"ATRI","ATRION CORP","Equity","0.00","199.10","349.00","69,485.90","-","Health Care","2012735","US0499041053","NASDAQ"
"NRCI","NATIONAL RESEARCH CORP.","Equity","0.00","36.43","404.00","14,717.72","-","Health Care","2114073","US6373721033","NASDAQ"
"ALX","ALEXANDERS REIT INC","Equity","0.01","401.00","458.00","183,658.00","-","Financial Services","2014021","US0147521092","New York Stock Exchange Inc."
"CFNB","CALIFORNIA FIRST NATIONAL BANCORP","Equity","0.00","15.52","459.00","7,123.68","-","Financial Services","2031439","US1302221023","NASDAQ"
"NWLI","NATIONAL WESTERN LIFE INSURANCE CO","Equity","0.00","171.33","497.00","85,151.01","-","Financial Services","2627764","US6385221022","NASDAQ"
"WINA","WINMARK CORP","Equity","0.00","45.21","509.00","23,011.89","-","Consumer Discretionary","2391092","US9742501029","NASDAQ"
