iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 31, 2011"
Total Net Assets,"3,111,027,987.66"
Shares Outstanding,"42,900,000.00"
Stock,"99.69"
Bond,"0.00"
Cash,"0.10"
Other,"0.21"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TETAB","TETON ADVISORS INC CLASS B","Equity","0.00","16.75","32.00","536.00","-","Financial Services","B64SQL4","US88165Y1010","Non-Nms Quotation Service (Nnqs)"
"-","GREENHUNTER ENERGY INC-WARRANT","Equity","0.00","0.00","36.00","0.00","-","Energy","99B2NB1","-","-"
"GRH","GREENHUNTER ENERGY INC WTS","Equity","0.00","0.00","51.00","0.01","-","Energy","-","-","-"
"SEB","SEABOARD CORP","Equity","0.01","2,309.00","72.00","166,248.00","-","Consumer Staples","2786687","US8115431079","Nyse Mkt Llc"
"ATROB","ASTRONICS CORP CLASS B","Equity","0.00","25.00","209.50","5,237.50","-","Producer Durables","2613848","US0464332073","Non-Nms Quotation Service (Nnqs)"
"ISRL","ISRAMCO INC","Equity","0.00","65.01","237.00","15,407.37","-","Energy","2247571","US4651414066","NASDAQ"
"ARDNA","ARDEN GROUP INC CLASS A","Equity","0.00","81.55","251.00","20,469.05","-","Consumer Staples","2047425","US0397621097","NASDAQ"
"CIX","COMPX INTERNATIONAL INC","Equity","0.00","14.43","268.00","3,867.24","-","Materials & Processing","2201908","US20563P1012","Nyse Mkt Llc"
"BH","BIGLARI HOLDINGS INC","Equity","0.00","329.26","281.00","92,522.06","-","Consumer Discretionary","2843430","US08986R1014","New York Stock Exchange Inc."
"VALU","VALUE LINE INC","Equity","0.00","12.21","298.00","3,638.58","-","Financial Services","2926751","US9204371002","NASDAQ"
"ATRI","ATRION CORP","Equity","0.00","214.90","362.00","77,793.80","-","Health Care","2012735","US0499041053","NASDAQ"
"NRCI","NATIONAL RESEARCH CORP.","Equity","0.00","33.77","404.00","13,643.08","-","Health Care","2114073","US6373721033","NASDAQ"
"ALX","ALEXANDERS REIT INC","Equity","0.01","432.90","464.00","200,865.60","-","Financial Services","2014021","US0147521092","New York Stock Exchange Inc."
"CFNB","CALIFORNIA FIRST NATIONAL BANCORP","Equity","0.00","17.18","465.00","7,988.70","-","Financial Services","2031439","US1302221023","NASDAQ"
"NWLI","NATIONAL WESTERN LIFE INSURANCE CO","Equity","0.00","150.99","503.00","75,947.97","-","Financial Services","2627764","US6385221022","NASDAQ"
