iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Apr 30, 2012"
Total Net Assets,"3,387,293,320.38"
Shares Outstanding,"40,900,000.00"
Stock,"99.90"
Bond,"0.00"
Cash,"0.17"
Other,"-0.07"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TETAB","TETON ADVISORS INC CLASS B","Equity","0.00","15.50","32.00","496.00","-","Financial Services","B64SQL4","US88165Y1010","Non-Nms Quotation Service (Nnqs)"
"SEB","SEABOARD CORP","Equity","0.00","1,990.42","69.00","137,338.98","-","Consumer Staples","2786687","US8115431079","Nyse Mkt Llc"
"ISRL","ISRAMCO INC","Equity","0.00","92.79","237.00","21,991.23","-","Energy","2247571","US4651414066","NASDAQ"
"ARDNA","ARDEN GROUP INC CLASS A","Equity","0.00","88.45","251.00","22,200.95","-","Consumer Staples","2047425","US0397621097","NASDAQ"
"BH","BIGLARI HOLDINGS INC","Equity","0.00","406.33","264.00","107,271.12","-","Consumer Discretionary","2843430","US08986R1014","New York Stock Exchange Inc."
"CIX","COMPX INTERNATIONAL INC","Equity","0.00","13.43","268.00","3,599.24","-","Materials & Processing","2201908","US20563P1012","Nyse Mkt Llc"
"VALU","VALUE LINE INC","Equity","0.00","12.17","298.00","3,626.66","-","Financial Services","2926751","US9204371002","NASDAQ"
"ATRI","ATRION CORP","Equity","0.00","230.64","347.00","80,032.08","-","Health Care","2012735","US0499041053","NASDAQ"
"NRCI","NATIONAL RESEARCH CORP.","Equity","0.00","48.34","404.00","19,529.36","-","Health Care","2114073","US6373721033","NASDAQ"
"CFNB","CALIFORNIA FIRST NATIONAL BANCORP","Equity","0.00","15.90","425.00","6,757.50","-","Financial Services","2031439","US1302221023","NASDAQ"
"ALX","ALEXANDERS REIT INC","Equity","0.01","389.63","450.00","175,333.50","-","Financial Services","2014021","US0147521092","New York Stock Exchange Inc."
"WINA","WINMARK CORP","Equity","0.00","57.34","475.00","27,236.50","-","Consumer Discretionary","2391092","US9742501029","NASDAQ"
"NWLI","NATIONAL WESTERN LIFE INSURANCE CO","Equity","0.00","136.06","484.00","65,853.04","-","Financial Services","2627764","US6385221022","NASDAQ"
"PLPC","PREFORMED LINE PRODUCTS","Equity","0.00","57.73","515.00","29,730.95","-","Producer Durables","2798466","US7404441047","NASDAQ"
"GRIF","GRIFFIN INDUSTRIAL REALTY INC","Equity","0.00","24.08","528.00","12,714.24","-","Financial Services","2023931","US3982311009","NASDAQ"
"DHIL","DIAMOND HILL INVESTMENT GROUP INC","Equity","0.00","75.89","543.00","41,208.27","-","Financial Services","2801137","US25264R2076","NASDAQ"
"USLM","UNITED STATES LIME AND MINERALS IN","Equity","0.00","47.97","551.00","26,431.47","-","Materials & Processing","2724115","US9119221029","NASDAQ"
"OSHWQ","ORCHARD SUPPLY HARDWARE STORES COR","Equity","0.00","21.47","565.00","12,130.55","-","Consumer Discretionary","B7FNL98","US6856914048","Non-Nms Quotation Service (Nnqs)"
"OFLX","OMEGA FLEX INC","Equity","0.00","13.45","585.00","7,868.25","-","Materials & Processing","B0FPH75","US6820951043","NASDAQ"
