iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jun 29, 2012"
Total Net Assets,"3,335,239,875.65"
Shares Outstanding,"41,500,000.00"
Stock,"99.83"
Bond,"0.00"
Cash,"0.51"
Other,"-0.34"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"P5N994","Petrocorp Inc Escrow","Equity","0.00","0.00","1,248.00","0.12","-","Energy","-","US71645N9947","Non-Nms Quotation Service (Nnqs)"
"MHRWW","MAGNUM HUNTER RESOURCES EQUITY WAR","Equity","0.00","0.00","2,506.00","0.25","-","Energy","B6X64Z9","US55973G1195","Non-Nms Quotation Service (Nnqs)"
"GRB","GERBER SCIENTIFIC ESCROW","Equity","0.00","0.01","5,665.00","56.65","-","Producer Durables","2BVFC92","US37373ESC56","New York Stock Exchange Inc."
"TETAB","TETON ADVISORS INC CLASS B","Equity","0.00","13.00","32.00","416.00","-","Financial Services","B64SQL4","US88165Y1010","Non-Nms Quotation Service (Nnqs)"
"-","9992874US4093215DM1ACI020WA5","-","0.00","0.73","2,138.00","1,550.91","-","Financial Services","9992874","US4093215DM1","-"
"-","9999284US4093215DM2ACI020WB3","-","0.00","0.81","2,138.00","1,723.26","-","Financial Services","9999284","US4093215DM2","-"
"VSB","VANTAGESOUTH BANCSHARES INC","Equity","0.00","4.52","639.00","2,888.28","-","Financial Services","B5KQW39","US2257431039","Nyse Mkt Llc"
"CIX","COMPX INTERNATIONAL INC","Equity","0.00","12.60","268.00","3,376.80","-","Materials & Processing","2201908","US20563P1012","Nyse Mkt Llc"
"AMBTQ","AMBIENT CORP","Equity","0.00","5.47","625.00","3,418.75","-","Technology","B4MJJY9","US02318N2018","Non-Nms Quotation Service (Nnqs)"
"VALU","VALUE LINE INC","Equity","0.00","11.89","298.00","3,543.22","-","Financial Services","2926751","US9204371002","NASDAQ"
"DIAL","WESTWOOD ONE INC CLASS A","Equity","0.00","3.32","1,102.00","3,658.64","-","Consumer Discretionary","B7F0H24","US25247X1072","Non-Nms Quotation Service (Nnqs)"
"GRNB","GREEN BANKSHARES INC.","Equity","0.00","1.66","2,842.00","4,717.72","-","Financial Services","2964438","US3943612081","NASDAQ"
"BBGI","BEASLEY BROADCAST GROUP INC CLASS","Equity","0.00","5.89","1,015.00","5,978.35","-","Consumer Discretionary","2544960","US0740141017","NASDAQ"
"WSBF","WATERSTONE FINANCIAL INC.","Equity","0.00","3.80","1,679.00","6,380.20","-","Financial Services","B0LTK16","US9418881093","NASDAQ"
"FFBH","FIRST FEDERAL BANCSHARES OF ARKANS","Equity","0.00","8.10","799.00","6,471.90","-","Financial Services","2329264","US32020F3038","NASDAQ"
"OSHWQ","ORCHARD SUPPLY HARDWARE STORES COR","Equity","0.00","16.63","394.00","6,552.22","-","Consumer Discretionary","B7FNL98","US6856914048","Non-Nms Quotation Service (Nnqs)"
"CFNB","CALIFORNIA FIRST NATIONAL BANCORP","Equity","0.00","15.69","437.00","6,856.53","-","Financial Services","2031439","US1302221023","NASDAQ"
