iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 30, 2013"
Total Net Assets,"4,684,294,483.69"
Shares Outstanding,"46,350,000.00"
Stock,"99.71"
Bond,"0.00"
Cash,"0.08"
Other,"0.21"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL*","APPLE INC","Equity","2.36","476.75","232,272.00","110,735,676.00","-","Technology","B011001","US0378331005","Bolsa Mexicana De Valores"
"XOM","EXXON MOBIL CORP","Equity","2.02","86.04","1,100,290.00","94,668,951.60","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.47","33.31","2,066,697.00","68,841,677.07","-","Technology","2588173","US5949181045","NASDAQ"
"GEC","GENERAL ELECTRIC","Equity","1.31","23.89","2,558,988.00","61,134,223.32","-","Producer Durables","5254471","US3696041033","Deutsche Boerse Xetra"
"JNJ","JOHNSON & JOHNSON","Equity","1.29","86.69","695,145.00","60,262,120.05","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"GOOGL","GOOGLE INC CLASS A","Equity","1.25","875.91","66,740.00","58,458,233.40","-","Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"CVX","CHEVRON CORP","Equity","1.24","121.50","479,747.00","58,289,260.50","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.09","75.59","678,315.00","51,273,830.85","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.08","113.51","445,402.00","50,557,581.02","-","Financial Services","2073390","US0846707026","New York Stock Exchange Inc."
"WFC*","WELLS FARGO CO","Equity","1.05","41.32","1,194,899.00","49,373,226.68","-","Financial Services","B045BZ2","US9497461015","Bolsa Mexicana De Valores"
"JPM","JPMORGAN CHASE","Equity","1.03","51.69","935,460.00","48,353,927.40","-","Financial Services","0190031","US46625H1005","London Stock Exchange"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.02","185.18","257,651.00","47,711,812.18","-","Technology","2005973","US4592001014","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.01","28.71","1,655,303.00","47,523,749.13","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.96","33.82","1,331,571.00","45,033,731.22","-","Utilities","2831811","US00206R1023","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.79","13.80","2,668,358.00","36,823,340.40","-","Financial Services","BHZL9B0","US0605051046","SIX Swiss Exchange"
"C","CITIGROUP INC","Equity","0.78","48.51","753,175.00","36,536,519.25","-","Financial Services","2297907","US1729674242","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.77","37.88","946,741.00","35,862,549.08","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.76","47.61","747,438.00","35,585,523.18","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.75","86.59","404,829.00","35,054,143.11","-","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
