iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Nov 29, 2013"
Total Net Assets,"5,141,981,583.25"
Shares Outstanding,"47,450,000.00"
Stock,"99.73"
Bond,"0.00"
Cash,"0.19"
Other,"0.08"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL*","APPLE INC","Equity","2.58","556.07","238,835.00","132,808,978.45","-","Technology","B011001","US0378331005","Bolsa Mexicana De Valores"
"XOM","EXXON MOBIL CORP","Equity","2.06","93.48","1,131,381.00","105,761,495.88","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.58","38.13","2,125,032.00","81,027,470.16","-","Technology","2588173","US5949181045","NASDAQ"
"GOOGL","GOOGLE INC CLASS A","Equity","1.41","1,059.59","68,623.00","72,712,244.57","-","Technology","B84V7F8","US38259P5089","Spot Regulated Market - Bvb"
"GEC","GENERAL ELECTRIC","Equity","1.36","26.66","2,631,214.00","70,148,165.24","-","Producer Durables","5254471","US3696041033","Deutsche Boerse Xetra"
"JNJ","JOHNSON & JOHNSON","Equity","1.32","94.66","714,773.00","67,660,412.18","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.17","122.44","493,300.00","60,399,652.00","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.14","84.22","697,461.00","58,740,165.42","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE","Equity","1.07","57.22","961,852.00","55,037,171.44","-","Financial Services","0190031","US46625H1005","London Stock Exchange"
"WFC*","WELLS FARGO CO","Equity","1.05","44.02","1,228,629.00","54,084,248.58","-","Financial Services","B045BZ2","US9497461015","Bolsa Mexicana De Valores"
"PFE","PFIZER INC","Equity","1.05","31.73","1,701,995.00","54,004,301.35","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.04","116.53","457,980.00","53,368,409.40","-","Financial Services","2073390","US0846707026","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.94","35.21","1,369,199.00","48,209,496.79","-","Utilities","2831811","US00206R1023","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.93","179.68","264,968.00","47,609,450.24","-","Technology","2005973","US4592001014","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.84","15.82","2,741,479.00","43,370,197.78","-","Financial Services","BHZL9B0","US0605051046","SIX Swiss Exchange"
"C","CITIGROUP INC","Equity","0.80","52.92","773,835.00","40,951,348.20","-","Financial Services","2297907","US1729674242","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.76","40.19","972,827.00","39,097,917.13","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
