iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Apr 30, 2014"
Total Net Assets,"5,511,695,627.72"
Shares Outstanding,"49,000,000.00"
Stock,"99.74"
Bond,"0.00"
Cash,"0.19"
Other,"0.07"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","2.63","590.09","245,931.00","145,121,423.79","-","Technology","2046251","US0378331005","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","2.16","102.41","1,164,972.00","119,304,782.52","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.60","40.40","2,188,032.00","88,396,492.80","-","Technology","2588173","US5949181045","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.35","101.29","736,059.00","74,555,416.11","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.32","26.89","2,709,596.00","72,861,036.44","-","Producer Durables","2380498","US3696041033","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.16","125.52","507,997.00","63,763,783.44","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.14","49.64","1,265,184.00","62,803,733.76","-","Financial Services","2649100","US9497461015","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.10","128.85","471,623.00","60,768,623.55","-","Financial Services","2073390","US0846707026","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.08","82.55","718,275.00","59,293,601.25","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.01","55.98","990,478.00","55,446,958.44","-","Financial Services","2190385","US46625H1005","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.99","31.28","1,752,787.00","54,827,177.36","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.92","46.73","1,081,742.00","50,549,803.66","-","Utilities","2090571","US92343V1044","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.91","35.70","1,410,289.00","50,347,317.30","-","Utilities","2831811","US00206R1023","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.91","196.47","256,181.00","50,331,881.07","-","Technology","2005973","US4592001014","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.84","58.56","791,713.00","46,362,713.28","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.78","15.14","2,826,016.00","42,785,882.24","-","Financial Services","2295677","US0605051046","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.74","40.79","1,003,104.00","40,916,612.16","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.69","47.91","798,072.00","38,235,629.52","-","Financial Services","2297907","US1729674242","New York Stock Exchange Inc."
"GOOGL","GOOGLE INC CLASS A","Equity","0.69","534.88","70,657.00","37,793,016.16","-","Technology","B020QX2","US38259P5089","NASDAQ"
"DIS","WALT DISNEY","Equity","0.68","79.34","472,367.00","37,477,597.78","-","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"GGQ7","GOOGLE INC CLASS C","Equity","0.68","526.66","70,657.00","37,212,215.62","-","Technology","BL25KV0","US38259P7069","Deutsche Boerse Xetra"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.67","85.43","429,056.00","36,654,254.08","-","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.65","40.88","880,559.00","35,997,251.92","-","Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.65","78.71","453,238.00","35,674,362.98","-","Technology","2714923","US7475251036","NASDAQ"
"CMCSA","COMCAST A CORP","Equity","0.65","51.76","688,399.00","35,631,532.24","-","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"SLB","SCHLUMBERGER NV","Equity","0.64","101.55","348,790.00","35,419,624.50","-","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.63","85.89","405,715.00","34,846,861.35","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"4335","INTEL CORP.","Equity","0.63","26.69","1,304,228.00","34,809,845.32","-","-","6280248","US4581401001","Hong Kong Exchanges And Clearing Ltd"
"WMT","WALMART STORES INC","Equity","0.61","79.71","422,532.00","33,680,025.72","-","-","2936921","US9311421039","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.59","23.11","1,402,404.00","32,409,556.44","-","Technology","2198163","US17275R1023","NASDAQ"
"GILD","GILEAD SCIENCES INC","Equity","0.57","78.49","400,364.00","31,424,570.36","-","Health Care","2369174","US3755581036","NASDAQ"
"HD","HOME DEPOT INC","Equity","0.55","79.51","383,362.00","30,481,112.62","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
