iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"May 30, 2014"
Total Net Assets,"5,630,840,175.37"
Shares Outstanding,"49,000,000.00"
Stock,"99.83"
Bond,"0.00"
Cash,"0.00"
Other,"0.17"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","2.55","633.00","226,827.00","143,581,491.00","-","Technology","2046251","US0378331005","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","2.09","100.53","1,170,965.00","117,717,111.45","-","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.60","40.94","2,199,346.00","90,041,225.24","-","Technology","2588173","US5949181045","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.33","101.46","739,765.00","75,056,556.90","-","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.30","26.79","2,723,244.00","72,955,706.76","-","Producer Durables","2380498","US3696041033","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.15","50.78","1,271,561.00","64,569,867.58","-","Financial Services","2649100","US9497461015","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.11","122.79","510,548.00","62,690,188.92","-","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.08","128.34","473,983.00","60,830,978.22","-","Financial Services","2073390","US0846707026","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.04","80.79","721,851.00","58,318,342.29","-","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","0.98","55.57","995,486.00","55,319,157.02","-","Financial Services","2190385","US46625H1005","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.96","49.96","1,086,980.00","54,305,520.80","-","Utilities","2090571","US92343V1044","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.93","29.63","1,761,498.00","52,193,185.74","-","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.89","35.47","1,417,007.00","50,261,238.29","-","Utilities","2831811","US00206R1023","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.84","184.36","257,509.00","47,474,359.24","-","Technology","2005973","US4592001014","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.82","57.86","795,335.00","46,018,083.10","-","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.76","15.14","2,839,481.00","42,989,742.34","-","Financial Services","2295677","US0605051046","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.73","40.91","1,007,449.00","41,214,738.59","-","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"GOOGL","GOOGLE INC CLASS A","Equity","0.72","571.65","71,033.00","40,606,014.45","-","Technology","B020QX2","US38259P5089","NASDAQ"
"DIS","WALT DISNEY","Equity","0.71","84.01","474,374.00","39,852,159.74","-","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"GOOG","GOOGLE INC CLASS C","Equity","0.71","560.98","71,033.00","39,848,092.34","-","Technology","BKM4JZ7","US38259P7069","NASDAQ"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.68","88.54","430,799.00","38,142,943.46","-","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.68","47.57","801,500.00","38,127,355.00","-","Financial Services","2297907","US1729674242","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.66","42.02","885,221.00","37,196,986.42","-","Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.65","80.45","455,122.00","36,614,564.90","-","Technology","2714923","US7475251036","NASDAQ"
"SLB","SCHLUMBERGER NV","Equity","0.65","104.04","350,186.00","36,433,351.44","-","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.64","52.20","691,165.00","36,078,813.00","-","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"PEP","PEPSICO INC","Equity","0.64","88.33","407,336.00","35,979,988.88","-","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.64","27.32","1,309,402.00","35,772,862.64","-","Technology","2463247","US4581401001","NASDAQ"
"CSCO","CISCO SYSTEMS INC","Equity","0.62","24.62","1,407,769.00","34,659,272.78","-","Technology","2198163","US17275R1023","NASDAQ"
"GILD","GILEAD SCIENCES INC","Equity","0.58","81.21","401,811.00","32,631,071.31","-","Health Care","2369174","US3755581036","NASDAQ"
"WMT","WALMART STORES INC","Equity","0.58","76.77","424,180.00","32,564,298.60","-","Consumer Discretionary","2936921","US9311421039","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","0.54","312.55","96,853.00","30,271,405.15","-","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"V","VISA INC CLASS A","Equity","0.53","214.83","137,629.00","29,566,838.07","-","Financial Services","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.51","80.23","360,260.00","28,903,659.80","-","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"FB","FACEBOOK CLASS A INC","Equity","0.50","63.30","448,817.00","28,410,116.10","-","Technology","B7TL820","US30303M1027","NASDAQ"
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.50","116.22","242,167.00","28,144,648.74","-","Producer Durables","2915500","US9130171096","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.48","135.25","199,865.00","27,031,741.25","-","Producer Durables","2108601","US0970231058","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.48","101.43","264,104.00","26,788,068.72","-","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"MMM","3M","Equity","0.46","142.55","181,824.00","25,919,011.20","-","Producer Durables","2595708","US88579Y1010","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.46","79.94","322,101.00","25,748,753.94","-","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.45","78.32","322,559.00","25,262,820.88","-","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.44","199.27","122,972.00","24,504,630.44","-","Producer Durables","2914734","US9078181081","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.42","76.45","307,872.00","23,536,814.40","-","Financial Services","B121557","US57636Q1040","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.41","115.99","197,584.00","22,917,768.16","-","Health Care","2023607","US0311621009","NASDAQ"
"AXP","AMERICAN EXPRESS","Equity","0.41","91.50","249,620.00","22,840,230.00","-","Financial Services","2026082","US0258161092","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.40","54.33","417,245.00","22,668,920.85","-","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.39","41.56","529,198.00","21,993,468.88","-","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
