iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Feb 27, 2015"
Total Net Assets,"6,544,547,827.97"
Shares Outstanding,"52,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.32","128.46","1,690,304.00","217,136,451.84","217,136,451.84","Information Technology","2046251","US0378331005","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.63","88.54","1,203,859.00","106,589,675.86","106,589,675.86","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","1.55","43.85","2,315,675.00","101,542,348.75","101,542,348.75","Information Technology","2588173","US5949181045","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.24","102.51","793,097.00","81,300,373.47","81,300,373.47","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.16","147.41","513,075.00","75,632,385.75","75,632,385.75","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.12","54.79","1,338,779.00","73,351,701.41","73,351,701.41","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.12","25.99","2,811,145.00","73,061,658.55","73,061,658.55","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","0.99","61.28","1,061,053.00","65,021,327.84","65,021,327.84","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.99","85.13","758,624.00","64,581,661.12","64,581,661.12","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.94","34.32","1,788,383.00","61,377,304.56","61,377,304.56","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.88","49.45","1,161,170.00","57,419,856.50","57,419,856.50","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.87","106.68","533,769.00","56,942,476.92","56,942,476.92","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.77","104.08","485,819.00","50,564,041.52","50,564,041.52","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.77","34.56","1,455,963.00","50,318,081.28","50,318,081.28","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.74","43.30","1,112,403.00","48,167,049.90","48,167,049.90","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.73","58.54","819,868.00","47,995,072.72","47,995,072.72","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.71","15.81","2,950,090.00","46,640,922.90","46,640,922.90","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.71","33.25","1,394,576.00","46,369,652.00","46,369,652.00","Information Technology","2463247","US4581401001","NASDAQ"
"C","CITIGROUP INC","Equity","0.68","52.42","851,638.00","44,642,863.96","44,642,863.96","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.68","103.53","430,515.00","44,571,217.95","44,571,217.95","Health Care","2369174","US3755581036","NASDAQ"
"GOOG","GOOGLE INC CLASS C","Equity","0.68","558.40","79,632.00","44,466,508.80","44,466,508.80","Information Technology","BKM4JZ7","US38259P7069","NASDAQ"
"GOOGL","GOOGLE INC CLASS A","Equity","0.68","562.63","78,701.00","44,279,543.63","44,279,543.63","Information Technology","B020QX2","US38259P5089","NASDAQ"
"HD","HOME DEPOT INC","Equity","0.67","114.75","383,465.00","44,002,608.75","44,002,608.75","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"FB","FACEBOOK CLASS A INC","Equity","0.67","78.97","553,541.00","43,713,132.77","43,713,132.77","Information Technology","B7TL820","US30303M1027","NASDAQ"
"CMCSA","COMCAST A CORP","Equity","0.66","59.38","726,298.00","43,127,575.24","43,127,575.24","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.66","161.94","265,224.00","42,950,374.56","42,950,374.56","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.65","29.51","1,436,641.00","42,395,275.91","42,395,275.91","Information Technology","2198163","US17275R1023","NASDAQ"
"PEP","PEPSICO INC","Equity","0.64","98.98","425,094.00","42,075,804.12","42,075,804.12","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.62","43.82","921,185.00","40,366,326.70","40,366,326.70","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","0.61","380.16","105,275.00","40,021,344.00","40,021,344.00","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"V","VISA INC CLASS A","Equity","0.58","271.31","140,455.00","38,106,846.05","38,106,846.05","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","0.57","83.93","447,034.00","37,519,563.62","37,519,563.62","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.56","82.96","440,597.00","36,551,927.12","36,551,927.12","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.52","72.51","473,131.00","34,306,728.81","34,306,728.81","Information Technology","2714923","US7475251036","NASDAQ"
"CVS","CVS HEALTH CORP","Equity","0.52","103.87","327,747.00","34,043,080.89","34,043,080.89","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.51","157.72","212,208.00","33,469,445.76","33,469,445.76","Health Care","2023607","US0311621009","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","0.48","56.29","557,198.00","31,364,675.42","31,364,675.42","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.48","121.91","257,097.00","31,342,695.27","31,342,695.27","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.48","113.63","274,851.00","31,231,319.13","31,231,319.13","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.47","77.59","400,499.00","31,074,717.41","31,074,717.41","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"MMM","3M CO","Equity","0.47","168.65","183,507.00","30,948,455.55","30,948,455.55","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.47","150.85","204,578.00","30,860,591.30","30,860,591.30","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.47","84.16","364,775.00","30,699,464.00","30,699,464.00","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.47","120.26","254,065.00","30,553,856.90","30,553,856.90","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.43","60.92","464,984.00","28,326,825.28","28,326,825.28","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.42","98.90","276,801.00","27,375,618.90","27,375,618.90","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.42","121.53","224,790.00","27,318,728.70","27,318,728.70","Health Care","2182348","US1510201049","NASDAQ"
"BIIB","BIOGEN IDEC INC","Equity","0.42","409.59","66,440.00","27,213,159.60","27,213,159.60","Health Care","2455965","US09062X1037","NASDAQ"
"ABBV","ABBVIE INC","Equity","0.41","60.50","446,360.00","27,004,780.00","27,004,780.00","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.39","90.13","281,627.00","25,383,041.51","25,383,041.51","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.36","189.79","125,310.00","23,782,584.90","23,782,584.90","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.34","102.78","219,497.00","22,559,901.66","22,559,901.66","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.34","65.20","344,062.00","22,432,842.40","22,432,842.40","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE","Equity","0.34","83.08","267,618.00","22,233,703.44","22,233,703.44","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"USB","US BANCORP","Equity","0.33","44.61","481,662.00","21,486,941.82","21,486,941.82","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.33","55.33","384,733.00","21,287,276.89","21,287,276.89","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.32","74.09","285,715.00","21,168,624.35","21,168,624.35","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.32","81.59","254,381.00","20,754,945.79","20,754,945.79","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"ACT","ACTAVIS PLC","Equity","0.32","291.36","71,225.00","20,752,116.00","20,752,116.00","Health Care","BD1NQJ9","IE00BD1NQJ95","New York Stock Exchange Inc."
"EBAY","EBAY INC","Equity","0.31","57.91","355,461.00","20,584,746.51","20,584,746.51","Information Technology","2293819","US2786421030","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.31","101.73","198,530.00","20,196,456.90","20,196,456.90","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"DD","E I DU PONT DE NEMOURS","Equity","0.31","77.85","257,653.00","20,058,286.05","20,058,286.05","Materials","2018175","US2635341090","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.31","47.37","421,426.00","19,962,949.62","19,962,949.62","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.30","93.48","211,242.00","19,747,958.37","19,747,958.37","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"AGN","ALLERGAN INC","Equity","0.30","232.74","83,500.00","19,433,790.00","19,433,790.00","Health Care","2017213","US0184901025","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.30","70.17","275,999.00","19,366,849.83","19,366,849.83","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.29","81.86","233,234.00","19,092,535.24","19,092,535.24","Consumer Discretionary","B63QTN2","US8873173038","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.29","97.12","196,029.00","19,038,336.48","19,038,336.48","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"FOXA","TWENTY FIRST CENTURY FOX INC CLASS","Equity","0.29","35.00","534,167.00","18,695,845.00","18,695,845.00","Consumer Discretionary","BBM4S68","US90130A1016","NASDAQ"
"HPQ","HEWLETT PACKARD","Equity","0.28","34.84","531,491.00","18,517,146.44","18,517,146.44","Information Technology","2424006","US4282361033","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.28","70.82","256,683.00","18,178,290.06","18,178,290.06","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.28","146.96","123,498.00","18,149,266.08","18,149,266.08","Consumer Staples","2701271","US22160K1051","NASDAQ"
"PCLN","PRICELINE GROUP INC/THE","Equity","0.27","1,237.48","14,473.00","17,910,048.04","17,910,048.04","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"TXN","TEXAS INSTRUMENTS INCORPORATED","Equity","0.27","58.80","303,127.00","17,823,867.60","17,823,867.60","Information Technology","2885409","US8825081040","NASDAQ"
"F","F MOTOR","Equity","0.27","16.34","1,090,036.00","17,811,188.24","17,811,188.24","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.27","36.94","475,000.00","17,544,125.00","17,544,125.00","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"ESRX","EXPRESS SCRIPTS HOLDING CO","Equity","0.27","84.79","206,082.00","17,473,692.78","17,473,692.78","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.26","77.88","220,463.00","17,169,658.44","17,169,658.44","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.26","37.31","448,828.00","16,745,772.68","16,745,772.68","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"EMC","EMC CORP","Equity","0.25","28.94","575,190.00","16,645,998.60","16,645,998.60","Information Technology","2295172","US2686481027","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.25","190.36","87,249.00","16,608,719.64","16,608,719.64","Financials","2812452","US8288061091","New York Stock Exchange Inc."
"DOW","DOW CHEMICAL","Equity","0.25","49.24","336,981.00","16,592,944.44","16,592,944.44","Materials","2278719","US2605431038","New York Stock Exchange Inc."
"MON","MONSANTO","Equity","0.25","120.43","135,861.00","16,361,740.23","16,361,740.23","Materials","2654320","US61166W1018","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC","Equity","0.24","90.03","177,458.00","15,976,543.74","15,976,543.74","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.24","41.01","381,390.00","15,640,803.90","15,640,803.90","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.24","78.55","198,683.00","15,606,549.65","15,606,549.65","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.24","35.79","430,612.00","15,411,603.48","15,411,603.48","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.23","200.05","76,001.00","15,204,000.05","15,204,000.05","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.23","87.28","170,452.00","14,877,050.56","14,877,050.56","Industrials","2250870","US2358511028","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.23","228.70","64,681.00","14,792,544.70","14,792,544.70","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.22","176.98","82,721.00","14,639,962.58","14,639,962.58","Industrials","2142784","US31428X1063","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.22","82.90","175,186.00","14,522,919.40","14,522,919.40","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.22","130.00","111,697.00","14,520,610.00","14,520,610.00","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.21","91.96","149,606.00","13,757,767.76","13,757,767.76","Financials","2692665","US6934751057","New York Stock Exchange Inc."
