iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Apr 30, 2015"
Total Net Assets,"6,260,816,774.72"
Shares Outstanding,"50,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.27","125.15","1,636,927.00","204,861,414.05","204,861,414.05","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","1.74","48.64","2,242,871.00","109,093,245.44","109,093,245.44","Information Technology","2588173","US5949181045","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.63","87.37","1,166,064.00","101,879,011.68","101,879,011.68","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.22","99.20","768,378.00","76,223,097.60","76,223,097.60","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.18","27.08","2,723,649.00","73,756,414.92","73,756,414.92","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.14","55.10","1,297,149.00","71,472,909.90","71,472,909.90","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.12","141.21","497,128.00","70,199,444.88","70,199,444.88","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.04","63.26","1,027,006.00","64,968,399.56","64,968,399.56","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.94","33.93","1,730,917.00","58,730,013.81","58,730,013.81","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.93","79.51","734,284.00","58,382,920.84","58,382,920.84","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.92","111.06","516,578.00","57,371,152.68","57,371,152.68","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.91","50.44","1,123,744.00","56,681,647.36","56,681,647.36","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.82","108.72","469,959.00","51,093,942.48","51,093,942.48","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.78","34.64","1,408,576.00","48,793,072.64","48,793,072.64","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.75","59.56","793,079.00","47,235,785.24","47,235,785.24","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.73","15.93","2,853,852.00","45,461,862.36","45,461,862.36","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.70","171.29","256,745.00","43,977,851.05","43,977,851.05","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.70","32.55","1,351,025.00","43,975,863.75","43,975,863.75","Information Technology","2463247","US4581401001","NASDAQ"
"C","CITIGROUP INC","Equity","0.70","53.32","824,470.00","43,960,740.40","43,960,740.40","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.70","40.56","1,077,601.00","43,707,496.56","43,707,496.56","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","0.69","421.78","101,989.00","43,016,920.42","43,016,920.42","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","0.67","78.77","535,845.00","42,208,510.65","42,208,510.65","Information Technology","B7TL820","US30303M1027","NASDAQ"
"GILD","GILEAD SCIENCES INC","Equity","0.67","100.51","416,787.00","41,891,261.37","41,891,261.37","Health Care","2369174","US3755581036","NASDAQ"
"GOOGL","GOOGLE INC CLASS A","Equity","0.67","548.77","76,175.00","41,802,554.75","41,802,554.75","Information Technology","B020QX2","US38259P5089","NASDAQ"
"GOOG","GOOGLE INC CLASS C","Equity","0.66","537.34","77,306.00","41,539,606.04","41,539,606.04","Information Technology","BKM4JZ7","US38259P7069","NASDAQ"
"CMCSA","COMCAST A CORP","Equity","0.65","57.76","703,092.00","40,610,593.92","40,610,593.92","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"CSCO","CISCO SYSTEMS INC","Equity","0.64","28.83","1,390,555.00","40,089,700.65","40,089,700.65","Information Technology","2198163","US17275R1023","NASDAQ"
"PEP","PEPSICO INC","Equity","0.63","95.12","411,540.00","39,145,684.80","39,145,684.80","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
