iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"May 29, 2015"
Total Net Assets,"6,346,707,407.75"
Shares Outstanding,"50,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.37","130.28","1,643,719.00","214,143,711.32","214,143,711.32","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","1.66","46.86","2,251,865.00","105,522,393.90","105,522,393.90","Information Technology","2588173","US5949181045","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.57","85.20","1,170,689.00","99,742,702.80","99,742,702.80","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.22","100.14","771,247.00","77,232,674.58","77,232,674.58","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.17","27.27","2,733,694.00","74,547,835.38","74,547,835.38","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.15","55.96","1,301,896.00","72,854,100.16","72,854,100.16","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.12","143.00","498,940.00","71,348,420.00","71,348,420.00","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.07","65.78","1,031,765.00","67,869,501.70","67,869,501.70","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.95","34.75","1,739,097.00","60,433,620.75","60,433,620.75","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.91","78.39","737,777.00","57,834,339.03","57,834,339.03","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.88","49.44","1,129,146.00","55,824,978.24","55,824,978.24","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.84","103.00","519,095.00","53,466,785.00","53,466,785.00","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.82","110.37","472,261.00","52,123,446.57","52,123,446.57","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.77","34.54","1,415,532.00","48,892,475.28","48,892,475.28","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
