iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Mar 31, 2016"
Total Net Assets,"6,012,820,649.20"
Shares Outstanding,"49,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","2.85","108.99","1,574,200.00","171,572,058.00","171,572,058.00","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","2.03","55.23","2,210,499.00","122,085,859.77","122,085,859.77","Information Technology","2588173","US5949181045","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.59","83.59","1,142,512.00","95,502,578.08","95,502,578.08","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.36","108.20","757,757.00","81,989,307.40","81,989,307.40","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.36","31.79","2,569,874.00","81,696,294.46","81,696,294.46","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.20","141.88","508,225.00","72,106,963.00","72,106,963.00","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"FB","FACEBOOK CLASS A INC","Equity","1.12","114.10","591,345.00","67,472,464.50","67,472,464.50","Information Technology","B7TL820","US30303M1027","NASDAQ"
"T","AT&T INC","Equity","1.08","39.17","1,663,447.00","65,157,218.99","65,157,218.99","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","1.03","593.64","104,162.00","61,834,729.68","61,834,729.68","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"WFC","WELLS FARGO","Equity","1.02","48.36","1,273,093.00","61,566,777.48","61,566,777.48","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.01","82.31","741,363.00","61,021,588.53","61,021,588.53","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.00","54.08","1,114,504.00","60,272,376.32","60,272,376.32","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"GOOGL","ALPHABET INC CLASS A","Equity","1.00","762.90","78,773.00","60,095,921.70","60,095,921.70","Information Technology","BYVY8G0","US02079K3059","NASDAQ"
"JPM","JPMORGAN CHASE & CO","Equity","1.00","59.22","1,014,106.00","60,055,357.32","60,055,357.32","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"GOOG","ALPHABET INC CLASS C","Equity","1.00","744.95","80,384.00","59,882,060.80","59,882,060.80","Information Technology","BYY88Y7","US02079K1079","NASDAQ"
"PFE","PFIZER INC","Equity","0.83","29.64","1,682,695.00","49,875,079.80","49,875,079.80","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.83","46.39","1,071,554.00","49,709,390.06","49,709,390.06","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.82","95.40","513,877.00","49,023,865.80","49,023,865.80","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.79","133.43","354,972.00","47,363,913.96","47,363,913.96","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.77","99.31","463,676.00","46,047,663.56","46,047,663.56","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.70","32.35","1,296,408.00","41,938,798.80","41,938,798.80","Information Technology","2463247","US4581401001","NASDAQ"
"CMCSA","COMCAST A CORP","Equity","0.70","61.08","684,302.00","41,797,166.16","41,797,166.16","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.69","98.11","423,341.00","41,533,985.51","41,533,985.51","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.69","102.48","403,367.00","41,337,050.16","41,337,050.16","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","0.68","76.48","534,916.00","40,910,375.68","40,910,375.68","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.68","52.91","772,061.00","40,849,747.51","40,849,747.51","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.66","28.47","1,389,849.00","39,569,001.03","39,569,001.03","Information Technology","2198163","US17275R1023","NASDAQ"
"BAC","BANK OF AMERICA CORP","Equity","0.65","13.52","2,869,974.00","38,802,048.48","38,802,048.48","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.63","151.45","248,148.00","37,582,014.60","37,582,014.60","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.59","40.91","865,867.00","35,422,618.97","35,422,618.97","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.58","41.75","829,170.00","34,617,847.50","34,617,847.50","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.57","91.86","373,836.00","34,340,574.96","34,340,574.96","Health Care","2369174","US3755581036","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","0.56","62.66","537,424.00","33,674,987.84","33,674,987.84","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.56","128.90","260,138.00","33,531,788.20","33,531,788.20","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.53","103.73","308,354.00","31,985,560.42","31,985,560.42","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.52","149.93","207,785.00","31,153,205.05","31,153,205.05","Health Care","2023607","US0311621009","NASDAQ"
"MCD","MCDONALDS CORP","Equity","0.50","125.68","241,597.00","30,363,910.96","30,363,910.96","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","0.49","68.49","431,679.00","29,565,694.71","29,565,694.71","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.49","75.00","389,453.00","29,208,975.00","29,208,975.00","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.48","63.88","455,564.00","29,101,428.32","29,101,428.32","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"MMM","3M CO","Equity","0.48","166.63","173,358.00","28,886,643.54","28,886,643.54","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.48","268.03","107,251.00","28,746,485.53","28,746,485.53","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.43","57.12","452,376.00","25,839,717.12","25,839,717.12","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.43","94.50","273,200.00","25,817,400.00","25,817,400.00","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.43","73.75","347,008.00","25,591,840.00","25,591,840.00","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.41","59.70","410,081.00","24,481,835.70","24,481,835.70","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.40","112.05","213,639.00","23,938,249.95","23,938,249.95","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.38","100.10","228,597.00","22,882,559.70","22,882,559.70","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.38","61.47","370,624.00","22,782,257.28","22,782,257.28","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.38","126.94","177,702.00","22,557,491.88","22,557,491.88","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.36","100.09","216,770.00","21,696,509.30","21,696,509.30","Health Care","2182348","US1510201049","NASDAQ"
"QCOM","QUALCOMM INC","Equity","0.35","51.14","410,804.00","21,008,516.56","21,008,516.56","Information Technology","2714923","US7475251036","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.34","105.47","191,739.00","20,222,712.33","20,222,712.33","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC","Equity","0.33","115.40","171,676.00","19,811,410.40","19,811,410.40","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE","Equity","0.33","84.24","235,003.00","19,796,652.72","19,796,652.72","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"LOW","LOWES COMPANIES INC","Equity","0.33","75.75","260,110.00","19,703,332.50","19,703,332.50","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.32","72.01","267,431.00","19,257,706.31","19,257,706.31","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.32","79.55","239,355.00","19,040,690.25","19,040,690.25","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.32","157.58","120,251.00","18,949,152.58","18,949,152.58","Consumer Staples","2701271","US22160K1051","NASDAQ"
"USB","US BANCORP","Equity","0.31","40.59","457,996.00","18,590,057.64","18,590,057.64","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.31","156.98","118,091.00","18,537,925.18","18,537,925.18","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"PCLN","PRICELINE GROUP INC/THE","Equity","0.30","1,288.96","14,174.00","18,269,719.04","18,269,719.04","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.30","40.12","444,582.00","17,836,629.84","17,836,629.84","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.29","207.69","85,240.00","17,703,495.60","17,703,495.60","Financials","2812452","US8288061091","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.29","70.65","247,376.00","17,477,114.40","17,477,114.40","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.28","41.83","406,996.00","17,024,642.68","17,024,642.68","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.28","54.05","313,737.00","16,957,484.85","16,957,484.85","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.27","221.50","74,229.00","16,441,723.50","16,441,723.50","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENTS INCORPORATED","Equity","0.27","57.42","284,941.00","16,361,312.22","16,361,312.22","Information Technology","2885409","US8825081040","NASDAQ"
"TWX","TIME WARNER INC","Equity","0.27","72.55","225,472.00","16,357,993.60","16,357,993.60","Consumer Discretionary","B63QTN2","US8873173038","New York Stock Exchange Inc."
"AVGO","BROADCOM LTD","Equity","0.27","154.50","103,247.00","15,951,661.50","15,951,661.50","Information Technology","BD9WQP4","SG9999014823","NASDAQ"
"BIIB","BIOGEN INC INC","Equity","0.26","260.32","60,972.00","15,872,231.04","15,872,231.04","Health Care","2455965","US09062X1037","NASDAQ"
"TWC","TIME WARNER CABLE INC","Equity","0.26","204.62","77,167.00","15,789,911.54","15,789,911.54","Consumer Discretionary","B63BPC8","US88732J2078","New York Stock Exchange Inc."
"DD","E I DU PONT DE NEMOURS","Equity","0.26","63.32","246,887.00","15,632,884.84","15,632,884.84","Materials","2018175","US2635341090","New York Stock Exchange Inc."
"DOW","DOW CHEMICAL","Equity","0.26","50.86","305,233.00","15,524,150.38","15,524,150.38","Materials","2278719","US2605431038","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.26","94.86","162,991.00","15,461,326.26","15,461,326.26","Industrials","2250870","US2358511028","New York Stock Exchange Inc."
