iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 31, 2016"
Total Net Assets,"6,220,434,863.88"
Shares Outstanding,"48,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","2.55","106.10","1,496,338.00","158,761,461.80","158,761,461.80","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","1.91","57.46","2,067,834.00","118,817,741.64","118,817,741.64","Information Technology","2588173","US5949181045","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.59","87.14","1,131,885.00","98,632,458.90","98,632,458.90","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.44","119.34","750,169.00","89,525,168.46","89,525,168.46","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","1.31","769.16","106,183.00","81,671,716.28","81,671,716.28","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"GE","GENERAL ELECTRIC","Equity","1.26","31.24","2,512,480.00","78,489,875.20","78,489,875.20","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.25","150.49","516,282.00","77,695,278.18","77,695,278.18","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"FB","FACEBOOK CLASS A INC","Equity","1.24","126.12","612,616.00","77,263,129.92","77,263,129.92","Information Technology","B7TL820","US30303M1027","NASDAQ"
"T","AT&T INC","Equity","1.11","40.88","1,682,016.00","68,760,814.08","68,760,814.08","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.08","67.50","993,852.00","67,085,010.00","67,085,010.00","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.02","87.31","727,438.00","63,512,611.78","63,512,611.78","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.02","50.80","1,247,523.00","63,374,168.40","63,374,168.40","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"GOOGL","ALPHABET INC CLASS A","Equity","1.02","789.85","80,152.00","63,308,057.20","63,308,057.20","Information Technology","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","1.00","767.05","81,010.00","62,138,720.50","62,138,720.50","Information Technology","BYY88Y7","US02079K1079","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.94","52.33","1,114,067.00","58,299,126.11","58,299,126.11","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.92","34.80","1,640,496.00","57,089,260.80","57,089,260.80","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.83","100.58","513,265.00","51,624,193.70","51,624,193.70","Energy","2838555","US1667641005","New York Stock Exchange Inc."
