iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Oct 31, 2016"
Total Net Assets,"6,152,468,792.27"
Shares Outstanding,"49,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","2.81","113.54","1,521,794.00","172,784,490.76","172,784,490.76","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","2.05","59.92","2,103,008.00","126,012,239.36","126,012,239.36","Information Technology","2588173","US5949181045","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.57","83.32","1,157,835.00","96,470,812.20","96,470,812.20","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.44","115.99","762,927.00","88,491,902.73","88,491,902.73","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","1.39","789.82","107,988.00","85,291,082.16","85,291,082.16","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","1.33","130.99","623,033.00","81,611,092.67","81,611,092.67","Information Technology","B7TL820","US30303M1027","NASDAQ"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.23","144.30","525,061.00","75,766,302.30","75,766,302.30","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.21","29.10","2,555,207.00","74,356,523.70","74,356,523.70","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.14","69.26","1,010,749.00","70,004,475.74","70,004,475.74","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"GOOGL","ALPHABET INC CLASS A","Equity","1.07","809.90","81,514.00","66,018,188.60","66,018,188.60","Information Technology","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","1.05","784.54","82,387.00","64,635,896.98","64,635,896.98","Information Technology","BYY88Y7","US02079K1079","NASDAQ"
"T","AT&T INC","Equity","1.02","36.79","1,710,617.00","62,933,599.43","62,933,599.43","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
