iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jan 31, 2017"
Total Net Assets,"7,168,242,443.69"
Shares Outstanding,"52,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","2.79","121.35","1,643,956.00","199,494,060.60","199,494,060.60","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","2.05","64.65","2,271,824.00","146,873,421.60","146,873,421.60","Information Technology","2588173","US5949181045","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.47","83.89","1,250,776.00","104,927,598.64","104,927,598.64","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","1.34","823.48","116,657.00","96,064,706.36","96,064,706.36","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.31","113.25","824,167.00","93,336,912.75","93,336,912.75","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.30","164.14","567,206.00","93,101,192.84","93,101,192.84","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.29","84.63","1,091,881.00","92,405,889.03","92,405,889.03","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"FB","FACEBOOK CLASS A INC","Equity","1.23","130.32","673,043.00","87,710,963.76","87,710,963.76","Information Technology","B7TL820","US30303M1027","NASDAQ"
"GE","GENERAL ELECTRIC","Equity","1.15","29.70","2,760,311.00","81,981,236.70","81,981,236.70","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.09","42.16","1,847,922.00","77,908,391.52","77,908,391.52","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
