iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jul 31, 2017"
Total Net Assets,"7,837,900,961.72"
Shares Outstanding,"53,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.04","148.73","1,600,674.00","238,068,244.02","238,068,244.02","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","2.13","72.70","2,300,980.00","167,281,246.00","167,281,246.00","Information Technology","2588173","US5949181045","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","1.55","169.25","716,013.00","121,185,200.25","121,185,200.25","Information Technology","B7TL820","US30303M1027","NASDAQ"
"AMZN","AMAZON COM INC","Equity","1.54","987.78","121,890.00","120,400,504.20","120,400,504.20","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.40","132.72","827,322.00","109,802,175.84","109,802,175.84","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.33","80.04","1,300,697.00","104,107,787.88","104,107,787.88","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.32","174.97","590,166.00","103,261,345.02","103,261,345.02","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.27","91.80","1,084,934.00","99,596,941.20","99,596,941.20","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"GOOGL","ALPHABET INC CLASS A","Equity","1.10","945.50","91,310.00","86,333,605.00","86,333,605.00","Information Technology","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","1.10","930.50","92,755.00","86,308,527.50","86,308,527.50","Information Technology","BYY88Y7","US02079K1079","NASDAQ"
"WFC","WELLS FARGO","Equity","0.95","53.94","1,377,948.00","74,326,515.12","74,326,515.12","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.94","24.12","3,055,273.00","73,693,184.76","73,693,184.76","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.94","39.00","1,887,363.00","73,607,157.00","73,607,157.00","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.91","90.82","785,449.00","71,334,478.18","71,334,478.18","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","0.87","25.61","2,666,551.00","68,290,371.11","68,290,371.11","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.81","109.19","579,870.00","63,316,005.30","63,316,005.30","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.77","48.40","1,252,888.00","60,639,779.20","60,639,779.20","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.77","33.16","1,814,667.00","60,174,357.72","60,174,357.72","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.75","40.45","1,444,810.00","58,442,564.50","58,442,564.50","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"C","CITIGROUP INC","Equity","0.74","68.45","845,081.00","57,845,794.45","57,845,794.45","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","0.72","99.56","566,801.00","56,430,707.56","56,430,707.56","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.72","191.81","294,089.00","56,409,211.09","56,409,211.09","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.71","116.71","476,087.00","55,564,113.77","55,564,113.77","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.70","149.60","368,622.00","55,145,851.20","55,145,851.20","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.69","45.84","1,178,702.00","54,031,699.68","54,031,699.68","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.68","63.88","839,916.00","53,653,834.08","53,653,834.08","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.67","109.93","480,138.00","52,781,570.34","52,781,570.34","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.65","35.47","1,446,047.00","51,291,287.09","51,291,287.09","Information Technology","2463247","US4581401001","NASDAQ"
"PEP","PEPSICO INC","Equity","0.65","116.61","438,208.00","51,099,434.88","51,099,434.88","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.62","31.45","1,537,677.00","48,359,941.65","48,359,941.65","Information Technology","2198163","US17275R1023","NASDAQ"
"ORCL","ORACLE CORP","Equity","0.56","49.93","881,979.00","44,037,211.47","44,037,211.47","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.54","242.46","174,430.00","42,292,297.80","42,292,297.80","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.50","174.51","225,633.00","39,375,214.83","39,375,214.83","Health Care","2023607","US0311621009","NASDAQ"
"MCD","MCDONALDS CORP","Equity","0.50","155.14","250,322.00","38,834,955.08","38,834,955.08","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.49","64.97","592,786.00","38,513,306.42","38,513,306.42","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.49","144.67","263,546.00","38,127,199.82","38,127,199.82","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.47","127.80","288,929.00","36,925,126.20","36,925,126.20","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"MMM","3M","Equity","0.46","201.17","177,873.00","35,782,711.41","35,782,711.41","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","0.46","79.99","446,988.00","35,754,570.12","35,754,570.12","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.45","83.97","420,370.00","35,298,468.90","35,298,468.90","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.44","69.91","488,548.00","34,154,390.68","34,154,390.68","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.41","135.41","237,597.00","32,173,009.77","32,173,009.77","Health Care","2182348","US1510201049","NASDAQ"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.41","136.12","233,528.00","31,787,831.36","31,787,831.36","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"PCLN","THE PRICELINE GROUP INC","Equity","0.39","2,028.50","15,051.00","30,530,953.50","30,530,953.50","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"GILD","GILEAD SCIENCES INC","Equity","0.39","76.09","398,935.00","30,354,964.15","30,354,964.15","Health Care","2369174","US3755581036","NASDAQ"
"AVGO","BROADCOM LTD","Equity","0.39","246.66","122,358.00","30,180,824.28","30,180,824.28","Information Technology","BD9WQP4","SG9999014823","NASDAQ"
"SLB","SCHLUMBERGER NV","Equity","0.37","68.60","426,549.00","29,261,261.40","29,261,261.40","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.37","56.90","505,258.00","28,749,180.20","28,749,180.20","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"NVDA","NVIDIA CORP","Equity","0.36","162.51","174,357.00","28,334,756.07","28,334,756.07","Information Technology","2379504","US67066G1040","NASDAQ"
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.35","118.57","228,873.00","27,137,471.61","27,137,471.61","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.33","252.33","102,977.00","25,984,186.41","25,984,186.41","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.33","52.78","485,415.00","25,620,203.70","25,620,203.70","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.33","102.96","247,802.00","25,513,693.92","25,513,693.92","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.33","49.18","518,719.00","25,510,600.42","25,510,600.42","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.32","225.33","112,572.00","25,365,848.76","25,365,848.76","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.32","79.93","312,271.00","24,959,821.03","24,959,821.03","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENT INC","Equity","0.32","81.38","306,091.00","24,909,685.58","24,909,685.58","Information Technology","2885409","US8825081040","NASDAQ"
"LLY","ELI LILLY","Equity","0.32","82.66","299,557.00","24,761,381.62","24,761,381.62","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","0.31","128.82","190,156.00","24,495,895.92","24,495,895.92","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.31","102.42","237,892.00","24,364,898.64","24,364,898.64","Consumer Discretionary","B63QTN2","US8873173038","New York Stock Exchange Inc."
