iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Nov 30, 2017"
Total Net Assets,"8,359,583,606.83"
Shares Outstanding,"53,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.27","171.85","1,592,905.00","273,740,724.25","273,740,724.25","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","2.31","84.17","2,289,813.00","192,733,560.21","192,733,560.21","Information Technology","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","1.71","1,176.75","121,298.00","142,737,421.50","142,737,421.50","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","1.51","177.18","712,539.00","126,247,660.02","126,247,660.02","Information Technology","B7TL820","US30303M1027","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.37","139.33","823,307.00","114,711,364.31","114,711,364.31","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.36","193.01","587,302.00","113,355,159.02","113,355,159.02","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.35","104.52","1,079,668.00","112,846,899.36","112,846,899.36","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.29","83.29","1,294,385.00","107,809,326.65","107,809,326.65","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"GOOG","ALPHABET INC CLASS C","Equity","1.13","1,021.41","92,305.00","94,281,250.05","94,281,250.05","Information Technology","BYY88Y7","US02079K1079","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","1.13","1,036.17","90,867.00","94,153,659.39","94,153,659.39","Information Technology","BYVY8G0","US02079K3059","NASDAQ"
"BAC","BANK OF AMERICA CORP","Equity","1.01","28.17","3,009,491.00","84,777,361.47","84,777,361.47","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","0.93","56.47","1,371,261.00","77,435,108.67","77,435,108.67","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.84","89.99","781,637.00","70,339,513.63","70,339,513.63","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.82","118.99","577,057.00","68,664,012.43","68,664,012.43","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.82","36.38","1,878,203.00","68,329,025.14","68,329,025.14","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.80","228.17","292,661.00","66,776,460.37","66,776,460.37","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.79","179.82","366,832.00","65,963,730.24","65,963,730.24","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.78","36.26","1,805,860.00","65,480,483.60","65,480,483.60","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.77","44.84","1,439,028.00","64,526,015.52","64,526,015.52","Information Technology","2463247","US4581401001","NASDAQ"
"V","VISA INC CLASS A","Equity","0.76","112.59","564,050.00","63,506,389.50","63,506,389.50","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.76","50.89","1,246,806.00","63,449,957.34","63,449,957.34","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.75","75.50","832,212.00","62,832,006.00","62,832,006.00","Financials","2297907","US1729674242","New York Stock Exchange Inc."
