iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jun 29, 2018"
Total Net Assets,"9,332,287,957.58"
Shares Outstanding,"57,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.24","185.11","1,635,668.00","302,778,503.48","302,778,503.48","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","2.66","98.61","2,520,123.00","248,509,329.03","248,509,329.03","Information Technology","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","2.46","1,699.80","135,176.00","229,772,164.80","229,772,164.80","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","1.65","194.32","790,686.00","153,646,103.52","153,646,103.52","Information Technology","B7TL820","US30303M1027","NASDAQ"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.29","186.65","644,135.00","120,227,797.75","120,227,797.75","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.26","104.20","1,126,570.00","117,388,594.00","117,388,594.00","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.25","82.73","1,408,696.00","116,541,420.08","116,541,420.08","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"GOOG","ALPHABET INC CLASS C","Equity","1.21","1,115.65","101,244.00","112,952,868.60","112,952,868.60","Information Technology","BYY88Y7","US02079K1079","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","1.20","1,129.19","99,375.00","112,213,256.25","112,213,256.25","Information Technology","BYVY8G0","US02079K3059","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.16","121.34","892,705.00","108,320,824.70","108,320,824.70","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.95","28.19","3,142,481.00","88,586,539.39","88,586,539.39","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","0.87","55.44","1,460,409.00","80,965,074.96","80,965,074.96","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.86","126.43","633,358.00","80,075,451.94","80,075,451.94","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","0.84","132.45","594,437.00","78,733,180.65","78,733,180.65","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
