iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Dec 31, 2018"
Total Net Assets,"8,713,639,078.96"
Shares Outstanding,"59,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MSFT","MICROSOFT CORP","Equity","3.06","101.57","2,637,782.00","267,919,517.74","267,919,517.74","Information Technology","2588173","US5949181045","NASDAQ"
"AAPL","APPLE INC","Equity","2.97","157.74","1,652,914.00","260,730,654.36","260,730,654.36","Information Technology","2046251","US0378331005","NASDAQ"
"AMZN","AMAZON COM INC","Equity","2.42","1,501.97","141,488.00","212,510,731.36","212,510,731.36","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.57","204.18","674,209.00","137,659,993.62","137,659,993.62","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.38","129.05","934,380.00","120,581,739.00","120,581,739.00","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.28","97.62","1,151,682.00","112,427,196.84","112,427,196.84","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"GOOG","ALPHABET INC CLASS C","Equity","1.25","1,035.61","105,973.00","109,746,698.53","109,746,698.53","Communication","BYY88Y7","US02079K1079","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","1.24","1,044.96","103,972.00","108,646,581.12","108,646,581.12","Communication","BYVY8G0","US02079K3059","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","1.24","131.09","827,603.00","108,490,477.27","108,490,477.27","Communication","B7TL820","US30303M1027","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.15","68.19","1,474,465.00","100,543,768.35","100,543,768.35","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.01","43.65","2,019,255.00","88,140,480.75","88,140,480.75","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.95","249.12","332,662.00","82,872,757.44","82,872,757.44","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.92","56.22","1,439,693.00","80,939,540.46","80,939,540.46","Communication","2090571","US92343V1044","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","0.92","131.94","613,009.00","80,880,407.46","80,880,407.46","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.91","91.92","866,888.00","79,684,344.96","79,684,344.96","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.89","24.64","3,183,723.00","78,446,934.72","78,446,934.72","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.85","46.93","1,590,181.00","74,627,194.33","74,627,194.33","Information Technology","2463247","US4581401001","NASDAQ"
"T","AT&T INC","Equity","0.82","28.54","2,529,810.00","72,200,777.40","72,200,777.40","Communication","2831811","US00206R1023","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.82","108.79","662,926.00","72,119,719.54","72,119,719.54","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.79","76.41","905,916.00","69,221,041.56","69,221,041.56","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.79","171.82","401,125.00","68,921,297.50","68,921,297.50","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.78","43.33","1,578,926.00","68,414,863.58","68,414,863.58","Information Technology","2198163","US17275R1023","NASDAQ"
"WFC","WELLS FARGO","Equity","0.78","46.08","1,476,848.00","68,053,155.84","68,053,155.84","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.72","47.35","1,331,258.00","63,035,066.30","63,035,066.30","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.69","188.65","319,724.00","60,315,932.60","60,315,932.60","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.69","322.50","186,391.00","60,111,097.50","60,111,097.50","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.65","109.65","518,874.00","56,894,534.10","56,894,534.10","Communication","2270726","US2546871060","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.62","110.48","493,053.00","54,472,495.44","54,472,495.44","Consumer Staples","2681511","US7134481081","NASDAQ"
"CMCSA","COMCAST CORP CLASS A","Equity","0.62","34.05","1,590,113.00","54,143,347.65","54,143,347.65","Communication","2044545","US20030N1019","NASDAQ"
"ABBV","ABBVIE INC","Equity","0.55","92.19","527,503.00","48,630,501.57","48,630,501.57","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.55","177.57","270,358.00","48,007,470.06","48,007,470.06","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"WMT","WALMART INC","Equity","0.53","93.15","496,693.00","46,266,952.95","46,266,952.95","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.49","194.67","222,036.00","43,223,748.12","43,223,748.12","Health Care","2023607","US0311621009","NASDAQ"
"ABT","ABBOTT LABORATORIES","Equity","0.49","72.33","595,732.00","43,089,295.56","43,089,295.56","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.49","90.96","471,170.00","42,857,623.20","42,857,623.20","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"DWDP","DOWDUPONT INC","Equity","0.49","53.48","799,313.00","42,747,259.24","42,747,259.24","Materials","BYP66M4","US26078J1007","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.48","52.06","807,390.00","42,032,723.40","42,032,723.40","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.46","45.15","886,772.00","40,037,755.80","40,037,755.80","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.44","267.66","145,096.00","38,836,395.36","38,836,395.36","Communication","2857817","US64110L1061","NASDAQ"
"ADBE","ADOBE INC","Equity","0.44","226.24","171,195.00","38,731,156.80","38,731,156.80","Information Technology","2008154","US00724F1012","NASDAQ"
"LLY","ELI LILLY","Equity","0.43","115.72","327,552.00","37,904,317.44","37,904,317.44","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"MMM","3M","Equity","0.43","190.54","198,503.00","37,822,761.62","37,822,761.62","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"AVGO","BROADCOM INC","Equity","0.42","254.28","143,221.00","36,418,235.88","36,418,235.88","Information Technology","BDZ78H9","US11135F1012","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.41","113.67","319,982.00","36,372,353.94","36,372,353.94","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.41","66.76","541,042.00","36,119,963.92","36,119,963.92","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.41","138.23","257,675.00","35,618,415.25","35,618,415.25","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"PYPL","PAYPAL HOLDINGS INC","Equity","0.40","84.09","413,823.00","34,798,376.07","34,798,376.07","Information Technology","BYW36M8","US70450Y1038","NASDAQ"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.39","132.12","259,653.00","34,305,354.36","34,305,354.36","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"CRM","SALESFORCE.COM INC","Equity","0.39","136.97","250,422.00","34,300,301.34","34,300,301.34","Information Technology","2310525","US79466L3024","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.37","49.39","659,683.00","32,581,743.37","32,581,743.37","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.37","74.14","437,161.00","32,411,116.54","32,411,116.54","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","0.36","141.01","224,026.00","31,589,906.26","31,589,906.26","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENT INC","Equity","0.36","94.50","334,110.00","31,573,395.00","31,573,395.00","Information Technology","2885409","US8825081040","NASDAQ"
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.36","223.79","139,724.00","31,268,833.96","31,268,833.96","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.35","203.71","152,223.00","31,009,347.33","31,009,347.33","Consumer Staples","2701271","US22160K1051","NASDAQ"
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.34","106.48","282,387.00","30,068,567.76","30,068,567.76","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
