iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Dec 31, 2008"
Total Net Assets,"3,145,844,744.73"
Shares Outstanding,"60,450,000.00"
Stock,"99.69"
Bond,"0.00"
Cash,"0.01"
Other,"0.30"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"-","516990264","-","0.00","0.00","34.00","0.00","-","Technology","-","-","-"
"GRH","GREENHUNTER ENERGY INC WTS","Equity","0.00","0.00","87.00","0.01","-","Other Energy","-","-","-"
"SEB","SEABOARD CORP","Equity","0.00","1,194.00","120.00","143,280.00","-","Consumer Staples","2786687","US8115431079","Nyse Mkt Llc"
"PNRG","PRIMEENERGY CORP","Equity","0.00","51.95","182.00","9,454.90","-","Other Energy","2480365","US74158E1047","NASDAQ"
"ARDNA","ARDEN GROUP INC CLASS A","Equity","0.00","126.00","214.00","26,964.00","-","Consumer Staples","2047425","US0397621097","NASDAQ"
"ARTL","ARISTOTLE CORP COM NEW","Equity","0.00","3.63","238.00","863.94","-","Consumer Discretionary","2328108","US0404482012","NASDAQ"
"VALU","VALUE LINE INC","Equity","0.00","34.52","255.00","8,802.60","-","Financial Services","2926751","US9204371002","NASDAQ"
"ATRI","ATRION CORP","Equity","0.00","97.10","297.00","28,838.70","-","Health Care","2012735","US0499041053","NASDAQ"
"PATR","PATRIOT TRANSPORTATION HOLDING INC","Equity","0.00","70.07","305.00","21,371.35","-","Autos & Transportation","2343479","US70337B1026","NASDAQ"
"NRCI","NATIONAL RESEARCH CORP.","Equity","0.00","28.96","338.00","9,788.48","-","Health Care","2114073","US6373721033","NASDAQ"
"UCAP","UNITED CAPITAL CORP","Equity","0.00","18.14","352.00","6,385.28","-","Other","2584483","US9099121074","Non-Nms Quotation Service (Nnqs)"
"USLM","UNITED STATES LIME AND MINERALS IN","Equity","0.00","23.95","352.00","8,430.40","-","Materials & Processing","2724115","US9119221029","NASDAQ"
"WSC","WESCO FINANCIAL CORP.","Equity","0.00","287.90","430.00","123,797.00","-","Other","2949101","US9508171066","Nyse Mkt Llc"
"ALX","ALEXANDERS REIT INC","Equity","0.01","254.90","690.00","175,881.00","-","Financial Services","2014021","US0147521092","New York Stock Exchange Inc."
"WHCI","W HOLDING INC","Equity","0.00","10.30","739.00","7,611.73","-","Financial Services","2527110","PR9292518744","Non-Nms Quotation Service (Nnqs)"
"NWLI","NATIONAL WESTERN LIFE INSURANCE CO","Equity","0.00","169.17","784.00","132,629.28","-","Financial Services","2627764","US6385221022","NASDAQ"
"DHIL","DIAMOND HILL INVESTMENT GROUP INC","Equity","0.00","65.00","877.00","57,005.00","-","Financial Services","2801137","US25264R2076","NASDAQ"
"AXR","AMREP CORP","Equity","0.00","31.28","884.00","27,651.52","-","Materials & Processing","2031804","US0321591051","New York Stock Exchange Inc."
"PLPC","PREFORMED LINE PRODUCTS","Equity","0.00","46.04","946.00","43,553.84","-","Producer Durables","2798466","US7404441047","NASDAQ"
"PLX","PROTALIX BIOTHERAPEUTICS INC","Equity","0.00","1.84","947.00","1,742.48","-","Health Care","B1LJRM3","US74365A1016","Nyse Mkt Llc"
"KTII","K-TRON INTERNATIONAL","Equity","0.00","79.90","949.00","75,825.10","-","Producer Durables","2480581","US4827301080","NASDAQ"
"CSWC","CAPITAL SOUTHWEST CORP","Equity","0.00","108.16","1,053.00","113,892.48","-","Financial Services","2174583","US1405011073","NASDAQ"
"VLGEA","VILLAGE SUPER MARKET INC CLASS A","Equity","0.00","57.39","1,057.00","60,661.23","-","Consumer Staples","2929211","US9271074091","NASDAQ"
"OFLX","OMEGA FLEX INC","Equity","0.00","20.94","1,086.00","22,740.84","-","Materials & Processing","B0FPH75","US6820951043","NASDAQ"
"GUID","GUIDANCE SOFTWARE INC","Equity","0.00","4.08","1,099.00","4,483.92","-","Technology","B1L6HX5","US4016921086","NASDAQ"
