iShares Russell 3000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Feb 28, 2011"
Total Net Assets,"3,469,483,527.67"
Shares Outstanding,"43,750,000.00"
Stock,"99.81"
Bond,"0.00"
Cash,"0.19"
Other,"0.01"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TETAB","TETON ADVISORS INC CLASS B","Equity","0.00","15.00","32.00","480.00","-","Financial Services","B64SQL4","US88165Y1010","Non-Nms Quotation Service (Nnqs)"
"-","GREENHUNTER ENERGY INC-WARRANT","Equity","0.00","0.00","36.00","0.00","-","Energy","99B2NB1","-","-"
"GRH","GREENHUNTER ENERGY INC WTS","Equity","0.00","0.00","51.00","0.01","-","Energy","-","-","-"
"SEB","SEABOARD CORP","Equity","0.00","2,320.20","72.00","167,054.40","-","Consumer Staples","2786687","US8115431079","Nyse Mkt Llc"
"ARDNA","ARDEN GROUP INC CLASS A","Equity","0.00","77.80","214.00","16,649.20","-","Consumer Staples","2047425","US0397621097","NASDAQ"
"VALU","VALUE LINE INC","Equity","0.00","14.42","255.00","3,677.10","-","Financial Services","2926751","US9204371002","NASDAQ"
"ISRL","ISRAMCO INC","Equity","0.00","65.32","260.00","16,983.20","-","Energy","2247571","US4651414066","NASDAQ"
"CIX","COMPX INTERNATIONAL INC","Equity","0.00","15.10","268.00","4,046.80","-","Materials & Processing","2201908","US20563P1012","Nyse Mkt Llc"
"GVFG","GEROVA FINANCIAL GROUP LTD","Equity","0.00","5.25","301.00","1,580.25","-","Financial Services","B3XMJ40","BMG384902000","Non-Nms Quotation Service (Nnqs)"
"BH","BIGLARI HOLDINGS INC","Equity","0.00","427.76","325.00","139,022.00","-","Consumer Discretionary","2843430","US08986R1014","New York Stock Exchange Inc."
"NRCI","NATIONAL RESEARCH CORP.","Equity","0.00","32.71","338.00","11,055.98","-","Health Care","2114073","US6373721033","NASDAQ"
"WSC","WESCO FINANCIAL CORP.","Equity","0.00","391.16","340.00","132,994.40","-","Financial Services","2949101","US9508171066","Nyse Mkt Llc"
"HBOS","HERITAGE FINANCIAL GROUP INC","Equity","0.00","13.21","347.00","4,583.87","-","Financial Services","B40Z916","US42726X1028","NASDAQ"
"UCAP","UNITED CAPITAL CORP","Equity","0.00","27.48","352.00","9,672.96","-","Financial Services","2584483","US9099121074","Non-Nms Quotation Service (Nnqs)"
"USLM","UNITED STATES LIME AND MINERALS IN","Equity","0.00","40.34","352.00","14,199.68","-","Materials & Processing","2724115","US9119221029","NASDAQ"
"ATRI","ATRION CORP","Equity","0.00","176.34","353.00","62,248.02","-","Health Care","2012735","US0499041053","NASDAQ"
"BRID","BRIDGFORD FOODS CORP","Equity","0.00","11.40","415.00","4,731.00","-","Consumer Staples","2123013","US1087631032","NASDAQ"
"CFNB","CALIFORNIA FIRST NATIONAL BANCORP","Equity","0.00","14.60","415.00","6,059.00","-","Financial Services","2031439","US1302221023","NASDAQ"
"ALX","ALEXANDERS REIT INC","Equity","0.01","395.73","495.00","195,886.35","-","Financial Services","2014021","US0147521092","New York Stock Exchange Inc."
"DMRC","DIGIMARC CORP","Equity","0.00","29.87","515.00","15,383.05","-","Technology","B3F05P5","US25381B1017","NASDAQ"
"DHIL","DIAMOND HILL INVESTMENT GROUP INC","Equity","0.00","74.48","543.00","40,442.64","-","Financial Services","2801137","US25264R2076","NASDAQ"
"CLDT","CHATHAM LODGING TRUST REIT TRUST","Equity","0.00","17.47","548.00","9,573.56","-","Financial Services","B5LYMC1","US16208T1025","New York Stock Exchange Inc."
"WINA","WINMARK CORP","Equity","0.00","36.99","549.00","20,307.51","-","Consumer Discretionary","2391092","US9742501029","NASDAQ"
"NWLI","NATIONAL WESTERN LIFE INSURANCE CO","Equity","0.00","174.88","564.00","98,632.32","-","Financial Services","2627764","US6385221022","NASDAQ"
"PLPC","PREFORMED LINE PRODUCTS","Equity","0.00","70.98","612.00","43,439.76","-","Producer Durables","2798466","US7404441047","NASDAQ"
"OLP","ONE LIBERTY PROPERTIES REIT INC","Equity","0.00","14.88","626.00","9,314.88","-","Financial Services","2659615","US6824061039","New York Stock Exchange Inc."
"LCUT","LIFETIME BRANDS INC","Equity","0.00","12.01","646.00","7,758.46","-","Consumer Discretionary","2515773","US53222Q1031","NASDAQ"
"PBIB","PORTER BANCORP INC","Equity","0.00","8.42","663.00","5,582.46","-","Financial Services","B17V057","US7362331073","NASDAQ"
"AGM","FEDERAL AGRICULTURAL MORTGAGE CORP","Equity","0.00","19.93","664.00","13,233.52","-","Financial Services","2363381","US3131483063","New York Stock Exchange Inc."
"DVOXQ","DYNAVOX INC CLASS A","Equity","0.00","5.84","670.00","3,912.80","-","Technology","B5VHFH6","US26817F1049","Non-Nms Quotation Service (Nnqs)"
"RRTS","ROADRUNNER TRANSPORTATION SYSTEMS","Equity","0.00","14.09","695.00","9,792.55","-","Producer Durables","B3W9403","US76973Q1058","New York Stock Exchange Inc."
"KFFG","KAISER FEDERAL FINANCIAL GROUP","Equity","0.00","13.49","705.00","9,510.45","-","Financial Services","B3S19X1","US4830561076","NASDAQ"
"GRNB","GREEN BANKSHARES INC.","Equity","0.00","3.43","717.00","2,459.31","-","Financial Services","2964438","US3943612081","NASDAQ"
"CSWC","CAPITAL SOUTHWEST CORP","Equity","0.00","99.94","719.00","71,856.86","-","Financial Services","2174583","US1405011073","NASDAQ"
"TAYC","TAYLOR CAPITAL GROUP INC","Equity","0.00","10.66","720.00","7,675.20","-","Financial Services","2958561","US8768511060","NASDAQ"
"LMNR","LIMONEIRA","Equity","0.00","23.01","734.00","16,889.34","-","Consumer Staples","2101763","US5327461043","NASDAQ"
"OFLX","OMEGA FLEX INC","Equity","0.00","13.07","752.00","9,828.64","-","Materials & Processing","B0FPH75","US6820951043","NASDAQ"
"PWOD","PENNS WOODS BANCORP INC","Equity","0.00","39.03","777.00","30,326.31","-","Financial Services","2552866","US7084301032","NASDAQ"
"GRIF","GRIFFIN INDUSTRIAL REALTY INC","Equity","0.00","32.99","796.00","26,260.04","-","Financial Services","2023931","US3982311009","NASDAQ"
"PLOW","DOUGLAS DYNAMICS INC","Equity","0.00","16.00","819.00","13,104.00","-","Producer Durables","B3N5WD9","US25960R1059","New York Stock Exchange Inc."
"ALCO","ALICO INC","Equity","0.00","26.51","825.00","21,870.75","-","Consumer Staples","2016425","US0162301040","NASDAQ"
"PATH","NUPATHE INC","Equity","0.00","7.83","826.00","6,467.58","-","Health Care","B4ZVDV7","US67059M1009","NASDAQ"
"ALNC","ALLIANCE FINANCIAL CORP.","Equity","0.00","31.73","836.00","26,526.28","-","Financial Services","2619578","US0192051037","NASDAQ"
"NASB","NASB FINANCIAL INC","Equity","0.00","15.08","857.00","12,923.56","-","Financial Services","2634612","US6289681099","Non-Nms Quotation Service (Nnqs)"
"MUSA","METALS USA HOLDINGS CORP.","Equity","0.00","14.95","870.00","13,006.50","-","Materials & Processing","B5921X1","US59132A1043","New York Stock Exchange Inc."
"COKE","COCA COLA BOTTLING","Equity","0.00","57.70","872.00","50,314.40","-","Consumer Staples","2206721","US1910981026","NASDAQ"
"HNRG","HALLADOR ENERGY","Equity","0.00","10.08","877.00","8,840.16","-","Energy","2404978","US40609P1057","NASDAQ"
"PLUS","EPLUS","Equity","0.00","28.42","885.00","25,151.70","-","Technology","2597748","US2942681071","NASDAQ"
"STU","STUDENT LOAN ESCROW","Equity","0.00","2.50","889.00","2,222.50","-","Financial Services","-","-","New York Stock Exchange Inc."
"OYOG","OYO GEOSPACE CORP.","Equity","0.00","101.68","895.00","91,003.60","-","Energy","2158457","US6710741025","NASDAQ"
"PATR","PATRIOT TRANSPORTATION HOLDING INC","Equity","0.00","25.06","923.00","23,130.38","-","Producer Durables","2343479","US70337B1026","NASDAQ"
"VSEC","VSE CORP","Equity","0.00","27.11","928.00","25,158.08","-","Producer Durables","2926773","US9182841000","NASDAQ"
"LAWS","LAWSON PRODUCTS INC","Equity","0.00","24.07","935.00","22,505.45","-","Materials & Processing","2508126","US5207761058","NASDAQ"
"SCMP","SUCAMPO PHARMACEUTICALS INC CLASS","Equity","0.00","4.29","957.00","4,105.53","-","Health Care","B1CH102","US8649091068","NASDAQ"
"VIAS","VIASYSTEMS GROUP INC.","Equity","0.00","23.74","991.00","23,526.34","-","Technology","B62FJ41","US92553H8034","NASDAQ"
"BAGL","EINSTEIN NOAH RESTAURANT GROUP INC","Equity","0.00","16.09","1,005.00","16,170.45","-","Consumer Discretionary","2042486","US28257U1043","NASDAQ"
"JOUT","JOHNSON OUTDOORS INC CLASS A","Equity","0.00","15.44","1,006.00","15,532.64","-","Consumer Discretionary","2476847","US4791671088","NASDAQ"
"BBGI","BEASLEY BROADCAST GROUP INC CLASS","Equity","0.00","6.13","1,011.00","6,197.43","-","Consumer Discretionary","2544960","US0740141017","NASDAQ"
"BSTC","BIOSPECIFICS TECHNOLOGIES CORP","Equity","0.00","26.88","1,015.00","27,283.20","-","Health Care","2098832","US0909311062","NASDAQ"
"KCLI","KANSAS CITY LIFE INSURANCE CO.","Equity","0.00","34.14","1,023.00","34,925.22","-","Financial Services","2483977","US4848361014","NASDAQ"
"MBVT","MERCHANTS BANCSHARES INC","Equity","0.00","25.50","1,027.00","26,188.50","-","Financial Services","2580715","US5884481004","NASDAQ"
"SGS","STREAM GLOBAL SERVICES INC.","Equity","0.00","3.15","1,041.00","3,279.15","-","Product Durables","B29N9J5","US86323M1009","Nyse Mkt Llc"
"NVEC","NVE CORP","Equity","0.00","59.25","1,053.00","62,390.25","-","Technology","2072126","US6294452064","NASDAQ"
"PTSI","PAM TRANSPORTATION SERVICES INC","Equity","0.00","11.84","1,060.00","12,550.40","-","Producer Durables","2669090","US6931491061","NASDAQ"
"NPK","NATIONAL PRESTO INDUSTRIES INC","Equity","0.00","126.54","1,073.00","135,777.42","-","Consumer Discretionary","2626802","US6372151042","New York Stock Exchange Inc."
"BOOT","LACROSSE FOOTWEAR INC.","Equity","0.00","17.34","1,084.00","18,796.56","-","Consumer Discretionary","2499888","US5056881015","NASDAQ"
"SPSC","SPS COMMERCE INC","Equity","0.00","15.50","1,088.00","16,864.00","-","Technology","B57VWJ3","US78463M1071","NASDAQ"
"RELL","RICHARDSON ELECTRONICS LTD","Equity","0.00","13.00","1,089.00","14,157.00","-","Technology","2736109","US7631651079","NASDAQ"
"LWAY","LIFEWAY FOODS INC","Equity","0.00","9.20","1,090.00","10,028.00","-","Consumer Staples","2545305","US5319141090","NASDAQ"
"BARI","BANCORP RHODE ISLAND","Equity","0.00","31.51","1,090.00","34,345.90","-","Financial Services","2624668","US0596901076","NASDAQ"
"GTEC","GLOBAL DEFENSE TECH","Equity","0.00","16.35","1,104.00","18,050.40","-","Producer Durables","B3XF1Z4","US37950B1070","NASDAQ"
"RLOC","REACHLOCAL INC","Equity","0.00","19.04","1,109.00","21,115.36","-","Consumer Discretionary","B4PYZD2","US75525F1049","NASDAQ"
"FIBK","FIRST INTERSTATE BANCSYSTEM INC CL","Equity","0.00","14.29","1,122.00","16,027.77","-","Financial Services","B4RGHN0","US32055Y2019","NASDAQ"
"BMRC","BANK OF MARIN BANCORP","Equity","0.00","36.25","1,134.00","41,107.50","-","Financial Services","2647375","US0634251021","NASDAQ"
"EXL","EXCEL TRUST REIT INC","Equity","0.00","12.21","1,143.00","13,956.03","-","Financial Services","B563VF9","US30068C1099","-"
"NATL","NATIONAL INTERSTATE CORP.","Equity","0.00","20.84","1,146.00","23,882.64","-","Financial Services","B05Q284","US63654U1007","NASDAQ"
