,Ticker,Name,Weight (%),Price,Shares,Market Value,Sector,Year
0,PATR,PATRIOT TRANSPORTATION HOLDING INC,0.0,92.23,305.0,28130.15,Industrials,2007
1,TBSI,TBS INTERNATIONAL PLC (CL A),0.0,33.06,883.0,29191.98,Industrials,2007
2,ALGT,ALLEGIANT TRAVEL,0.0,32.14,963.0,30950.82,Industrials,2007
3,ULH,UNIVERSAL LOGISTICS INC,0.0,19.16,1007.0,19294.12,Industrials,2007
4,TGH,TEXTAINER GROUP HOLDINGS LTD,0.0,14.53,1261.0,18322.33,Industrials,2007
5,ARII,AMERICAN RAILCAR INDUSTRIES INC,0.0,19.25,1702.0,32763.5,Industrials,2007
6,MLR,MILLER INDUSTRIES INC,0.0,13.69,1786.0,24450.34,Industrials,2007
7,DDMX,DYNAMEX INC.,0.0,27.06,1899.0,51386.94,Industrials,2007
8,SHS,SAUER INC,0.0,25.05,1969.0,49323.45,Industrials,2007
9,NOBLQ,NOBLE INTL LTD COM,0.0,16.31,2114.0,34479.34,Industrials,2007
10,MPX,MARINE PRODUCTS CORP,0.0,7.01,2136.0,14973.37,Industrials,2007
11,ACAT,ARCTIC CAT INC.,0.0,11.94,2165.0,25850.1,Industrials,2007
12,RAIL,FREIGHTCAR AMERICA INC,0.0,35.0,2211.0,77385.0,Industrials,2007
13,ATB,ARLINGTON TANKERS,0.0,22.13,2403.0,53178.39,Industrials,2007
14,AAWW,ATLAS AIR WORLDWIDE HOLDINGS INC,0.0,54.22,2461.0,133435.42,Industrials,2007
15,PHIIK,PETROLEUM HELICOPTERS NON VOTING I,0.0,31.02,2477.0,76836.54,Industrials,2007
16,SRI,STONERIDGE INC,0.0,8.04,2543.0,20445.72,Industrials,2007
17,SAIA,SAIA INC,0.0,13.3,2555.0,33981.5,Industrials,2007
18,ULTRF,ULTRAPETROL LTD,0.0,17.01,2736.0,46539.36,Industrials,2007
19,MRTN,MARTEN TRANSPORT LTD,0.0,13.95,2749.0,38348.56,Industrials,2007
20,SMP,STANDARD MOTOR PRODUCTS INC,0.0,8.16,2836.0,23141.76,Industrials,2007
21,GBX,GREENBRIER INC,0.0,22.26,2882.0,64153.32,Industrials,2007
22,VLCCF,KNIGHTSBRIDGE SHIPPING LTD,0.0,24.15,3092.0,74671.8,Industrials,2007
23,CPA,COPA HOLDINGS A SA,0.0,37.57,3168.0,119021.76,Industrials,2007
