2015,2016,2017,2018
AAOI,AAOI,AAOI,AAOI
AAPL,AAPL,AAPL,AAPL
ACIW,ABTL,ACIA,ACIA
ACLS,ACIA,ACIW,ACIW
ACN,ACIW,ACLS,ACLS
ACTA,ACLS,ACN,ACMR
ACXM,ACN,ACTA,ACN
ADBE,ACTA,ACXM,ADBE
ADI,ACXM,ADBE,ADI
ADP,ADBE,ADI,ADP
ADS,ADI,ADP,ADS
ADSK,ADP,ADS,ADSK
ADTN,ADS,ADSK,ADTN
AEIS,ADSK,ADTN,AEIS
AFOP,ADTN,AEIS,AGYS
AGYS,AEIS,AGYS,AKAM
AKAM,AGYS,AKAM,ALRM
ALRM,AKAM,AKTS,ALTR
AMAT,ALJJ,ALRM,AMAT
AMBA,ALRM,AMAT,AMBA
AMBR,AMAT,AMBA,AMBR
AMCC,AMBA,AMBR,AMD
AMD,AMBR,AMD,AMKR
AMKR,AMCC,AMKR,AMSWA
AMSWA,AMD,AMSWA,ANET
ANET,AMKR,ANET,ANSS
ANGI,AMSWA,ANSS,AOSL
ANSS,ANET,AOSL,APH
AOSL,ANGI,APH,APPF
APH,ANSS,APPF,APTI
APIC,AOSL,APTI,AQ
APPF,APH,AQ,ARLO
APPS,APPF,ARRS,ARRS
ARRS,APTI,ARW,ARW
ARW,ARRS,ATEN,ASUR
ATEN,ARW,ATVI,ATEN
ATML,ATEN,AVGO,AVGO
ATVI,ATVI,AVID,AVID
AVG,AVGO,AVT,AVLR
AVGO,AVID,AVX,AVT
AVID,AVT,AXE,AVX
AVT,AVX,AXTI,AVYA
AVX,AXE,AYX,AXE
AXE,AZPN,AZPN,AXTI
AZPN,BAH,BAH,AYX
BAH,BBOX,BCOR,AZPN
BBOX,BCOR,BCOV,BAH
BCOR,BCOV,BDC,BCOV
BCOV,BDC,BELFB,BDC
BDC,BELFB,BHE,BELFB
BELFB,BHE,BKI,BHE
BHE,BKFS,BL,BKI
BKFS,BL,BLKB,BL
BLKB,BLKB,BMI,BLKB
BLOX,BMI,BNFT,BMI
BMI,BNFT,BOX,BNFT
BNFT,BOX,BR,BOX
BOX,BR,BRKS,BR
BR,BRCD,BSFT,BRKS
BRCD,BRKS,BV,CACI
BRCM,BSFT,CA,CALX
BRKS,BV,CACI,CAMP
BSFT,CA,CALD,CARB
BV,CACI,CALX,CASA
CA,CALD,CAMP,CASS
CACI,CALX,CARB,CATM
CALD,CAMP,CARS,CBLK
CALX,CARB,CASS,CCMP
CAMP,CASS,CATM,CDAY
CARB,CATM,CAVM,CDK
CASS,CAVM,CCMP,CDNS
CATM,CCMP,CDK,CDW
CAVM,CDK,CDNS,CEVA
CBR,CDNS,CDW,CGNX
CCMP,CDW,CEVA,CIEN
CDK,CEVA,CGNX,CISN
CDNS,CGNX,CHUBA,CLDR
CDRB,CHUBA,CHUBK,CLFD
CDW,CHUBK,CIEN,CLGX
CEVA,CIEN,CLDR,CMTL
CGNX,CLFD,CLFD,CNDT
CIEN,CLGX,CLGX,CNXN
CKP,CMPR,CMPR,COHR
CLFD,CMTL,CMTL,COHU
CLGX,CNXN,CNDT,COMM
CMPR,COHR,CNXN,COUP
CMTL,COHU,COHR,CRAY
COHR,COMM,COHU,CREE
COHU,COUP,COMM,CRM
COMM,CRAY,COUP,CRUS
CRAY,CRCM,CRAY,CSCO
CRCM,CREE,CRCM,CSGS
CREE,CRM,CREE,CSOD
CRM,CRUS,CRM,CTRL
CRUS,CSC,CRUS,CTS
CSC,CSCO,CSCO,CTSH
CSCD,CSGP,CSGP,CTXS
CSCO,CSGS,CSGS,CVLT
CSGP,CSOD,CSOD,CVON
CSGS,CSRA,CSRA,CY
CSOD,CTRL,CTRL,DAKT
CSRA,CTS,CTS,DATA
CTCT,CTSH,CTSH,DBD
CTRL,CTXS,CTXS,DDD
CTS,CUDA,CUDA,DELL
CTSH,CVG,CVG,DGII
CTXS,CVLT,CVLT,DIOD
CUDA,CY,CY,DLB
CVG,DAKT,CYBE,DMRC
CVLT,DATA,DAKT,DOCU
CVT,DBD,DATA,DOMO
CY,DDD,DBD,DOX
DAKT,DGII,DDD,DXC
DATA,DHX,DGII,DZSI
DBD,DIOD,DHX,EBIX
DDD,DLB,DIOD,ECOM
DGII,DMRC,DLB,EEFT
DHX,DOX,DMRC,EFII
DIOD,DSPG,DOX,EGAN
DLB,DST,DSPG,EGHT
DMRC,DTLK,DST,EGOV
DOX,DVMT,DVMT,EIGI
DSPG,EA,DXC,ELLI
DST,EBAY,EA,ENTG
DTLK,EBIX,EBAY,ENV
DTSI,ECOM,EBIX,EPAM
DWRE,EEFT,ECOM,EPAY
EA,EFII,EEFT,ESIO
EBAY,EGHT,EFII,ESTC
EBIX,EGOV,EGHT,EVBG
ECOM,EIGI,EGOV,EVOP
EEFT,ELLI,EIGI,EVRI
EFII,ELNK,ELLI,EVTC
EGOV,EMKR,EMKR,EXLS
EIGI,ENOC,ENTG,EXTR
ELLI,ENTG,ENV,FARO
ELNK,ENV,EPAM,FDC
ELRC,EPAM,EPAY,FEYE
EMC,EPAY,ESIO,FFIV
EMKR,ESIO,ETSY,FICO
ENOC,EVBG,EVBG,FIS
ENTG,EVTC,EVRI,FISV
ENV,EXA,EVTC,FIT
EPAM,EXAR,EXLS,FIVN
EPAY,EXLS,EXTR,FLIR
EPIQ,EXTR,FARO,FLT
EVDY,FARO,FB,FN
EVRI,FB,FDC,FNSR
EVTC,FDC,FEYE,FORM
EXAR,FEYE,FFIV,FSCT
EXLS,FFIV,FICO,FSLR
EXTR,FICO,FIS,FSNN
FARO,FIS,FISV,FTNT
FB,FISV,FIT,G
FCS,FIT,FIVN,GDDY
FDC,FIVN,FLIR,GLW
FEIC,FLIR,FLT,GPN
FEYE,FLT,FN,GTT
FFIV,FN,FNSR,GWRE
FICO,FNSR,FORM,HCKT
FIS,FORM,FSCT,HDP
FISV,FORR,FSLR,HIVE
FIT,FSLR,FTNT,HLIT
FIVN,FTNT,G,HPE
FLIR,G,GDDY,HPQ
FLT,GDDY,GLUU,HUBS
FLTX,GIG,GLW,IBM
FN,GIMO,GOGO,ICHR
FNSR,GLOB,GOOG,IDCC
FORM,GLUU,GOOGL,IDTI
FORR,GLW,GPN,III
FSLR,GOGO,GRB,IIIV
FTNT,GOOG,GRUB,IIVI
FUEL,GOOGL,GSIT,IMMR
G,GPN,GTT,IMPV
GDDY,GRB,GWRE,INAP
GIMO,GRUB,HAWK,INFN
GLOB,GSOL,HCKT,INST
GLUU,GTT,HDP,INTC
GLW,GUID,HIVE,INTU
GOGO,GWRE,HLIT,IOTS
