2015,2016,2017,2018
ATNI,ATNI,ATNI,AMC
CBB,CBB,CBB,AMCX
CCOI,CCOI,CCOI,ATNI
CNSL,CNSL,CNSL,ATVI
CTL,CTL,CTL,BATRA
EGHT,FRP,FTR,BATRK
FRP,FTR,GNCMA,BBGI
FTR,GNCMA,GSAT,BOMN
GNCMA,GSAT,HCOM,CABO
GSAT,HCOM,I,CARG
HCOM,I,IDT,CARS
I,IDT,IRDM,CBB
IDT,IQNT,OOMA,CBS
IQNT,IRDM,ORBC,CCO
IRDM,LEAP,PDVW,CCOI
LEAP,LMOS,S,CDLX
LMOS,LVLT,SHEN,CETV
LVLT,NIHD,SPOK,CHTR
NTLS,ORBC,STRP,CMCSA
ORBC,PDVW,T,CNK
PDVW,S,TDS,CNSL
S,SBAC,TMUS,CRCM
SAAS,SHEN,USM,CTL
SBAC,SPOK,VG,DIS
SHEN,STRP,VZ,DISCA
SPOK,T,WIFI,DISCK
STRP,TDS,WIN,DISH
T,TMUS,ZAYO,DJCO
TDS,USM,,EA
TMUS,VG,,EEX
USM,VZ,,EROS
VG,WIFI,,ETM
VZ,WIN,,EVC
WIFI,ZAYO,,FB
WIN,,,FLNT
ZAYO,,,FOX
,,,FOXA
,,,FTR
,,,FWONA
,,,FWONK
,,,GCI
,,,GLIBA
,,,GLUU
,,,GOGO
,,,GOOG
,,,GOOGL
,,,GTN
,,,HMTV
,,,I
,,,IAC
,,,IMAX
,,,IPG
,,,IRDM
,,,JWA
,,,LBRDA
,,,LBRDK
,,,LGFA
,,,LGFB
,,,LILA
,,,LILAK
,,,LIVX
,,,LORL
,,,LSXMA
,,,LSXMK
,,,LTRPA
,,,LYV
,,,MCS
,,,MDCA
,,,MDP
,,,MEET
,,,MSG
,,,MSGN
,,,MTCH
,,,NCMI
,,,NEWM
,,,NFLX
,,,NIHD
,,,NWS
,,,NWSA
,,,NXST
,,,NYT
,,,OMC
,,,OOMA
,,,ORBC
,,,P
,,,PDVW
,,,QNST
,,,RDI
,,,RST
,,,S
,,,SBGI
,,,SCHL
,,,SGA
,,,SHEN
,,,SIRI
,,,SPOK
,,,SSP
,,,T
,,,TDS
,,,TGNA
,,,TMUS
,,,TPCO
,,,TRCO
,,,TRIP
,,,TRUE
,,,TTGT
,,,TTWO
,,,TWTR
,,,TZOO
,,,USM
,,,VG
,,,VIA
,,,VIAB
,,,VZ
,,,WIFI
,,,WIN
,,,WOW
,,,WWE
,,,YELP
,,,Z
,,,ZAYO
,,,ZG
,,,ZNGA
