2015,2016,2017,2018
AAN,AAN,AAN,AAN
AAP,AAP,AAP,AAP
ABCD,ABCD,ABCD,ABG
ABG,ABG,ABG,ADNT
ACAT,ACAT,ADNT,AEO
AEO,ADNT,AEO,AGS
AMC,AEO,AMC,AMZN
AMCX,AMC,AMCX,AN
AMZN,AMCX,AMZN,ANF
AN,AMZN,AN,AOBC
ANF,AN,ANF,APEI
APEI,ANF,AOBC,APTV
APOL,APEI,APEI,ARMK
ARMK,APOL,APTV,ASNA
ASCMA,ARMK,ARMK,ATGE
ASNA,ASCMA,ASCMA,AXL
AXL,ASNA,ASNA,AZO
AZO,AXL,ATGE,BBBY
BBBY,AZO,AVHI,BBX
BBRG,BATRA,AXL,BBY
BBW,BATRK,AZO,BC
BBY,BBBY,BATRA,BEL
BC,BBW,BATRK,BFAM
BDE,BBY,BBBY,BGFV
BEBE,BC,BBGI,BH
BEL,BEL,BBW,BH A
BFAM,BFAM,BBY,BID
BGFV,BGFV,BC,BIG
BH,BH,BEL,BJRI
BID,BID,BFAM,BKE
BIG,BIG,BGFV,BKNG
BJRI,BJRI,BH,BKS
BKE,BKE,BID,BLD
BKS,BKS,BIG,BLMN
BLD,BLD,BJRI,BNED
BLMN,BLMN,BKE,BOJA
BNED,BNED,BKS,BOOT
BOBE,BOBE,BLD,BSET
BOJA,BOJA,BLMN,BURL
BOOT,BOOT,BNED,BWA
BPI,BPI,BOJA,BXG
BSET,BSET,BOOT,BYD
BURL,BURL,BPI,BZH
BWA,BWA,BSET,CAKE
BWLD,BWLD,BURL,CAL
BYD,BYD,BWA,CATO
BZH,BZH,BWLD,CBRL
CAA,CAA,BYD,CCL
CAB,CAB,BZH,CCS
CABO,CABO,CAA,CECO
CACQ,CACQ,CABO,CHDN
CAKE,CAKE,CAKE,CHGG
CAL,CAL,CAL,CHH
CATO,CATO,CATO,CHS
CBK,CBRL,CBRL,CHUY
CBRL,CBS,CBS,CLAR
CBS,CCL,CCL,CLUB
CCL,CCO,CCO,CMG
CCO,CCS,CCS,CNTY
CCS,CECO,CECO,COLM
CECO,CETV,CETV,CONN
CETV,CFI,CHDN,CORE
CFI,CHDN,CHGG,CPS
CHDN,CHGG,CHH,CRI
CHGG,CHH,CHS,CRMT
CHH,CHS,CHTR,CROX
CHKE,CHTR,CHUY,CSV
CHS,CHUY,CLAR,CTB
CHTR,CLCT,CLCT,CTRN
CHUY,CMCSA,CMCSA,CULP
CKEC,CMG,CMG,CVCO
CLCT,CNK,CNK,CVNA
CMCSA,CNTY,CNTY,CWH
CMG,COH,COLM,CZR
CMLS,COLM,CONN,DAN
CNK,CONN,CORE,DDS
COH,CORE,CPLA,DECK
COLM,CPLA,CPS,DENN
CONN,CPS,CRI,DFRG
CORE,CRI,CRMT,DG
CPLA,CRMT,CROX,DHI
CPS,CROX,CSS,DIN
CRI,CSS,CSV,DKS
CRMT,CST,CTB,DLTH
CROX,CSV,CTRN,DLTR
CRWN,CTB,CULP,DNKN
CSS,CTRN,CVCO,DORM
CST,CVCO,CVNA,DPZ
CSV,CWH,CWH,DRI
CTB,CZR,CZR,DS
CTRN,DAN,DAN,DSW
CVC,DDS,DDS,EAT
CVCO,DECK,DECK,EBAY
CZR,DENN,DENN,ELY
DAN,DFRG,DFRG,ERI
DDS,DG,DG,ESCA
DECK,DHI,DHI,ETH
DENN,DIN,DIN,ETSY
DFRG,DIS,DIS,EXPE
DG,DISCA,DISCA,EXPR
DHI,DISCK,DISCK,EYE
DIN,DISH,DISH,F
DIS,DJCO,DJCO,FIVE
DISCA,DKS,DKS,FL
DISCK,DLA,DLA,FLWS
DISH,DLPH,DLPH,FLXS
DJCO,DLTH,DLTH,FND
DKS,DLTR,DLTR,FNKO
DLPH,DNKN,DNKN,FOSL
DLTH,DORM,DORM,FOXF
DLTR,DPZ,DPZ,FRAN
DNKN,DRI,DRI,FRGI
DORM,DSW,DS,FTDR
DPZ,DV,DSW,GAIA
DRI,DW,EAT,GCO
DRII,DXLG,EEX,GDEN
DSW,EAT,ELY,GES
DV,ELY,ENT,GHC
DW,ENT,ERI,GIII
DWA,ERI,EROS,GM
DXLG,EROS,ESCA,GME
EAT,ESCA,ETH,GNC
ELY,ETH,ETM,GNTX
ENT,ETM,EVC,GOLF
ERI,ETSY,EXPE,GPC
EROS,EVC,EXPR,GPI
ESCA,EXPE,EYE,GPRO
ETH,EXPR,F,GPS
ETM,F,FINL,GRBK
ETSY,FDML,FIVE,GRMN
EVC,FINL,FL,GRPN
EVLV,FIVE,FLWS,GRUB
EXPE,FL,FLXS,GT
EXPR,FLWS,FND,GTX
F,FLXS,FNKO,H
FDML,FOGO,FOGO,HABT
FENX,FOSL,FOSL,HAS
FINL,FOX,FOX,HBB
FIVE,FOXA,FOXA,HBI
FL,FOXF,FOXF,HD
FLWS,FRAN,FRAN,HEAR
FLXS,FRED,FRED,HELE
FOGO,FRGI,FRGI,HGV
FOSL,FTD,FTD,HIBB
FOX,GAIA,FWONA,HLT
FOXA,GCI,FWONK,HMHC
FOXF,GCO,GAIA,HOFT
FRAN,GDEN,GCI,HOG
FRED,GES,GCO,HOME
FRGI,GHC,GDEN,HOV
FRSH,GIII,GES,HRB
FTD,GM,GHC,HUD
GCI,GME,GIII,HVT
GCO,GNC,GM,HZO
GES,GNTX,GME,IBP
GHC,GOLF,GNC,IGT
GIII,GPC,GNTX,IRBT
GM,GPI,GOLF,ISCA
GME,GPRO,GPC,JACK
GNC,GPS,GPI,JAX
GNTX,GRBK,GPRO,JCP
GPC,GRMN,GPS,JILL
GPI,GRPN,GRBK,JOUT
GPRO,GT,GRMN,JWN
GPS,GTN,GRPN,KBH
GRBK,H,GT,KIRK
GRMN,HABT,GTN,KMX
GRPN,HAR,H,KORS
GT,HAS,HABT,KSS
GTN,HBI,HAS,LAD
H,HD,HBB,LAUR
HABT,HELE,HBI,LB
HAR,HIBB,HD,LCII
HAS,HLT,HELE,LCUT
HBI,HMHC,HGV,LE
HD,HMTV,HIBB,LEA
HELE,HOFT,HLT,LEAF
HHS,HOG,HMHC,LEG
HIBB,HOME,HMTV,LEN
HLT,HOV,HOFT,LENB
HMHC,HRB,HOG,LEXEA
HMTV,HSNI,HOME,LGIH
HOFT,HVT,HOV,LIND
HOG,HZN,HRB,LKQ
HOT,HZO,HSNI,LL
HOV,IBP,HVT,LOCO
HRB,ICON,HZN,LOPE
HSNI,IGT,HZO,LOVE
HVT,ILG,IBP,LOW
HZN,IMAX,ICON,LQDT
HZO,IPG,IGT,LRN
IBP,IRBT,ILG,LULU
ICON,ISCA,IMAX,LVS
IGT,ISLE,INSE,LZB
IILG,JACK,IPG,M
IMAX,JAKK,IRBT,MAR
IPG,JAX,ISCA,MARK
IRBT,JCP,JACK,MAT
ISCA,JMBA,JAX,MBUU
ISLE,JOUT,JCP,MCD
JACK,JW.A,JILL,MCFT
JAH,JWN,JOUT,MCRI
JAKK,KATE,JWA,MDC
JAX,KBH,JWN,MGM
JCI,KIRK,KBH,MHK
JCP,KMX,KIRK,MHO
JMBA,KONA,KMX,MIK
JMG,KORS,KORS,MNRO
JOUT,KSS,KSS,MOD
JW.A,LAD,LAD,MOV
JWN,LB,LAUR,MPAA
KATE,LBRDA,LB,MPX
KBH,LBRDK,LBRDA,MTH
KIRK,LBY,LBRDK,MTN
KKD,LCUT,LBY,MUSA
KMX,LE,LCII,NATH
KONA,LEA,LCUT,NCLH
KORS,LEG,LE,NDLS
KSS,LEN,LEA,NKE
LAD,LEN.B,LEG,NLS
LB,LEXEA,LEN,NTRI
LBRDA,LGFA,LENB,NVR
LBRDK,LGFB,LEXEA,NWHM
LBY,LGIH,LGFA,NWL
LCUT,LIND,LGFB,NYNY
LE,LKQ,LGIH,ODP
LEA,LL,LIND,OLLI
LEG,LMCA,LKQ,ORLY
LEN,LMCK,LL,OSTK
LEN.B,LOCK,LOCO,OXM
LGF,LOCO,LOPE,PAG
LGIH,LOPE,LORL,PBPB
LKQ,LORL,LOW,PENN
LL,LOW,LQ,PETS
LMCA,LQ,LRN,PHM
LMCK,LRN,LSXMA,PII
LOCK,LSXMA,LSXMK,PIR
LOCO,LSXMK,LTRPA,PLAY
LOPE,LTRPA,LULU,PLCE
LORL,LUB,LVNTA,PLNT
LOW,LULU,LVS,POOL
LQ,LVNTA,LYV,PRPL
LRN,LVS,LZB,PRTY
LTRPA,LYV,M,PVH
LULU,LZB,MAR,PZZA
LVNTA,M,MAT,QRTEA
LVS,MAR,MBUU,QUOT
LYV,MAT,MCD,RCII
LZB,MBUU,MCFT,RCKY
M,MCD,MCRI,RCL
MAR,MCFT,MCS,RGR
MAT,MCRI,MDC,RGS
MBUU,MCS,MDCA,RH
MCD,MDC,MDP,RICK
MCFT,MDCA,MGM,RL
MCRI,MDP,MHK,RLH
MCS,MEG,MHO,ROKU
MDC,MGM,MIK,ROST
MDCA,MHK,MNRO,RRGB
MDP,MHO,MOD,RRR
MEG,MIK,MOV,RTW
MFRM,MNRO,MPAA,RUTH
MGM,MOD,MPX,SAH
MHGC,MOV,MSG,SBH
MHK,MPAA,MSGN,SBUX
MHO,MPG,MTH,SCI
MIK,MPX,MTN,SCVL
MNRO,MSG,MUSA,SEAS
MOD,MSGN,NATH,SERV
MOV,MTH,NCLH,SFLY
MPAA,MTN,NCMI,SGC
MPG,MUSA,NDLS,SGMS
MPX,MYCC,NEWM,SHAK
MSG,NATH,NFLX,SHLO
MSGN,NC,NKE,SHOO
MTH,NCLH,NLS,SIG
MTN,NCMI,NTRI,SIX
MUSA,NDLS,NVR,SKX
MW,NEWM,NWHM,SKY
MYCC,NFLX,NWL,SMP
NC,NILE,NWS,SNBR
NCLH,NKE,NWSA,SONO
NCMI,NLS,NXST,SPWH
NDLS,NTRI,NYNY,SRI
NEWM,NVR,NYT,SSTK
NFLX,NWHM,ODP,STAY
NILE,NWL,OLLI,STMP
NKE,NWS,OMC,STRA
NLS,NWSA,ORLY,SUP
NTRI,NXST,OSTK,TACO
NVR,NYNY,OXM,TAST
NWHM,NYT,PAG,TCS
NWL,ODP,PBPB,TEN
NWS,OLLI,PCLN,TGT
NWSA,OMC,PENN,THO
NXST,ORLY,PERY,THRM
NYNY,OSTK,PETS,TIF
NYT,OXM,PHM,TJX
ODP,PAG,PICO,TLRD
OLLI,PBPB,PII,TLYS
OMC,PCLN,PIR,TMHC
ORLY,PENN,PLAY,TOL
OSTK,PERY,PLCE,TOWR
OUTR,PETS,PLNT,TPH
OXM,PHM,PNK,TPR
PAG,PII,POOL,TPX
PBPB,PIR,PRTY,TRK
PBY,PLAY,PVH,TSCO
PCLN,PLCE,PZZA,TSLA
PENN,PLKI,QVCA,TTS
PERY,PLNT,RCII,TUP
PETS,PNK,RCL,TXRH
PHM,PNRA,RDI,UA
PII,POOL,RGC,UAA
PIR,PRTY,RGR,UEIC
PLAY,PVH,RGS,UFI
PLCE,PZZA,RH,ULTA
PLKI,QVCA,RICK,URBN
PLNT,RCII,RL,VAC
PNK,RCL,RLH,VC
PNRA,RDI,ROST,VFC
POOL,RGC,RRGB,VRA
PRTY,RGR,RRR,VSTO
PSG,RGS,RUTH,VUZI
PVH,RH,SAH,W
PZZA,RL,SALM,WEN
QVCA,RLH,SBGI,WEYS
RCII,ROIAK,SBH,WGO
RCL,ROST,SBUX,WH
RDI,RRGB,SCHL,WHR
RENT,RRR,SCI,WINA
RGC,RT,SCVL,WING
RGR,RUTH,SEAS,WLH
RGS,SAH,SERV,WSM
RH,SALM,SFLY,WTW
RL,SBGI,SGA,WWW
ROST,SBH,SGC,WYND
RRGB,SBUX,SGMS,WYNN
RT,SCHL,SHAK,YETI
RUTH,SCI,SHLD,YUM
SAH,SCSS,SHLO,YUMC
SBGI,SCVL,SHOO,ZAGG
SBH,SEAS,SIG,ZUMZ
SBUX,SERV,SIRI,
SCHL,SFLY,SIX,
SCI,SGA,SKX,
SCSS,SGC,SMP,
SCVL,SGMS,SNBR,
SEAS,SHAK,SNI,
SERV,SHLD,SONC,
SFLY,SHOO,SPWH,
SFXE,SHOS,SQBG,
SGA,SIG,SRI,
SGC,SIRI,SSP,
SGMS,SIX,STAY,
SHAK,SKX,STRA,
SHLD,SMP,SUP,
SHOO,SMRT,TACO,
SIG,SNI,TAST,
SIRI,SNOW,TAX,
SIX,SONC,TCS,
SKUL,SPAR,TEN,
SKX,SPLS,TGNA,
SMP,SPWH,TGT,
SMRT,SQBG,THO,
SNI,SRI,THRM,
SNOW,SSI,TIF,
SONC,SSP,TIME,
SP,STAY,TJX,
SPLS,STRA,TLRD,
SPWH,STRT,TLYS,
SQBG,SUP,TMHC,
SRI,SWHC,TOL,
SSI,TACO,TOWR,
SSP,TAST,TPH,
STAY,TAX,TPR,
STRA,TCS,TPX,
STRT,TEN,TRCO,
STRZA,TGNA,TRIP,
SUP,TGT,TRK,
SWHC,THO,TRNC,
SYX,THRM,TSCO,
SZMK,TIF,TSLA,
TAST,TIME,TSQ,
TAX,TJX,TTS,
TCS,TLRD,TUP,
TEN,TLYS,TWX,
TGNA,TMHC,TXRH,
TGT,TOL,UA,
THO,TOWR,UAA,
THRM,TPH,UEIC,
TIF,TPX,UFI,
TIME,TRCO,ULTA,
TJX,TRIP,URBN,
TLYS,TRK,VAC,
TMHC,TRNC,VC,
TOL,TSCO,VFC,
TOWR,TSLA,VIA,
TPH,TSQ,VIAB,
TPUB,TTS,VOXX,
TPX,TUES,VRA,
TRCO,TUP,VSI,
TRI,TWX,VSTO,
TRIP,TXRH,W,
TRK,UA,WEN,
TSCO,UAA,WEYS,
TSLA,UCP,WGO,
TSQ,UEIC,WHR,
TTS,UFAB,WINA,
TUES,UFI,WING,
TUMI,ULTA,WLH,
TUP,URBN,WOW,
TWC,VAC,WSM,
TWOU,VC,WTW,
TWX,VFC,WWE,
TXRH,VIA,WWW,
UA,VIAB,WYN,
UEIC,VNCE,WYNN,
UFI,VRA,YUM,
ULTA,VSI,YUMC,
URBN,VSTO,ZAGG,
UTI,W,ZOES,
VAC,WCIC,ZUMZ,
VC,WEN,,
VFC,WEYS,,
VIA,WGO,,
VIAB,WHR,,
VNCE,WINA,,
VOXX,WING,,
VRA,WKHS,,
VSI,WLH,,
VSTO,WMAR,,
W,WSM,,
WCIC,WTW,,
WEN,WWE,,
WEYS,WWW,,
WGO,WYN,,
WHR,WYNN,,
WINA,YUM,,
WING,YUMC,,
WLH,ZAGG,,
WMAR,ZOES,,
WSM,ZUMZ,,
WTW,,,
WWE,,,
WWW,,,
WYN,,,
WYNN,,,
YUM,,,
ZAGG,,,
ZOES,,,
ZUMZ,,,
