2015,2016,2017,2018
ADM,ADM,ADM,ADM
ALCO,ALCO,ALCO,ALCO
ANDE,ANDE,ANDE,ANDE
AVP,AOI,BETR,BFA
BDBD,APFH,BFA,BFB
BETR,AVP,BFB,BG
BF.A,BETR,BG,BGS
BF.B,BF.A,BGS,BJ
BG,BF.B,BOBE,BREW
BGS,BG,BREW,CAG
BREW,BGS,BUFF,CALM
BUFF,BREW,CAG,CASY
CAG,BUFF,CALM,CELH
CALM,CAG,CASY,CENT
CASY,CALM,CENT,CENTA
CCE,CASY,CENTA,CHD
CENTA,CENT,CHD,CHEF
CHD,CENTA,CHEF,CL
CHEF,CHD,CL,CLX
CL,CHEF,CLX,COKE
CLX,CL,COKE,COST
COKE,CLX,COST,COTY
COST,COKE,COTY,CPB
COTY,COST,CPB,CVGW
CPB,COTY,CVGW,DAR
CVGW,CPB,CVS,DF
CVS,CVGW,DAR,EL
DAR,CVS,DF,ELF
DF,DAR,DPS,ENR
DMND,DF,EL,EPC
DPS,DPS,ELF,FARM
EL,EL,ENR,FDP
ENR,ELF,EPC,FIZZ
EPC,ENR,FARM,FLO
FARM,EPC,FDP,FRPT
FDP,FARM,FIZZ,GIS
FIZZ,FDP,FLO,HAIN
FLO,FIZZ,FRPT,HLF
FRPT,FLO,GIS,HRL
FWM,FRPT,HAIN,HSY
GIS,GIS,HLF,IMKTA
GMCR,HAIN,HRG,INGR
HAIN,HLF,HRL,IPAR
HLF,HRG,HSY,JBSS
HRG,HRL,IMKTA,JJSF
HRL,HSY,INGR,K
HSY,IMKTA,IPAR,KDP
IMKTA,INGR,JBSS,KHC
INGR,IPAR,JJSF,KMB
IPAR,JBSS,K,KO
JBSS,JJSF,KHC,KR
JJSF,K,KMB,LANC
K,KHC,KO,LMNR
KHC,KMB,KR,LNDC
KMB,KO,LANC,LW
KO,KR,LMNR,MDLZ
KR,LANC,LNCE,MED
LANC,LFVN,LNDC,MGPI
LMNR,LMNR,LW,MKC
LNCE,LNCE,LWAY,MNST
LNDC,LNDC,MDLZ,MO
LWAY,LW,MED,NATR
MDLZ,LWAY,MGPI,NGVC
MED,MDLZ,MKC,NHTC
MGPI,MED,MNST,NUS
MJN,MGPI,MO,ODC
MKC,MJN,NATR,PEP
MNST,MKC,NGVC,PFGC
MO,MNST,NHTC,PG
NATR,MO,NUS,PM
NGVC,NATR,ODC,POST
NHTC,NGVC,PEP,PPC
NUS,NHTC,PF,PRMW
NUTR,NUS,PFGC,PSMT
ODC,NUTR,PG,PYX
OME,ODC,PM,RAD
PEP,OME,POST,REV
PF,PEP,PPC,ROX
PFGC,PF,PRMW,SAFM
PG,PFGC,PSMT,SAM
PM,PG,RAD,SEB
POST,PM,REV,SENEA
PPC,POST,ROX,SFM
PSMT,PPC,SAFM,SFS
RAD,PRMW,SAM,SJM
RAI,PSMT,SEB,SMPL
RDEN,RAD,SENEA,SPB
REV,RAI,SFM,SPTN
RKDA,REV,SFS,STZ
ROX,SAFM,SJM,SYY
SAFM,SAM,SPB,TAP
SAM,SEB,SPTN,THS
SEB,SENEA,STZ,TPB
SENEA,SFM,SVU,TR
SFM,SFS,SYY,TSN
SFS,SJM,TAP,TWNK
SJM,SNAK,THS,UNFI
SNAK,SPB,TIS,USFD
SPB,SPTN,TPB,USNA
SPTN,STZ,TR,UVV
STZ,SVU,TSN,VGR
SVU,SYUT,TWNK,VLGEA
SYUT,SYY,UNFI,WBA
SYY,TAP,USFD,WDFC
TAP,THS,USNA,WMK
TFM,TIS,UVV,WMT
THS,TPB,VGR,XXII
TIS,TR,VLGEA,
TR,TSN,WBA,
TSN,UNFI,WDFC,
UNFI,USFD,WMK,
USNA,USNA,WMT,
UVV,UVV,,
VGR,VGR,,
VLGEA,VLGEA,,
WBA,WBA,,
WDFC,WDFC,,
WFM,WFM,,
WMK,WMK,,
WMT,WMT,,
WWAV,WWAV,,
