2015,2016,2017,2018
AAMC,ABCB,ABCB,ABCB
AAT,ABTX,ABTX,ABR
ABCB,AC,AC,ABTX
ABCW,ACBI,ACBI,AC
ABTX,ACGL,ACGL,ACBI
AC,ACNB,ACNB,ACGL
ACC,ACRE,ACRE,ACNB
ACE,AEL,AEL,ACRE
ACGL,AF,AFG,AEL
ACRE,AFG,AFH,AFG
ADC,AFH,AFL,AFL
AEL,AFL,AFSI,AGM
AF,AFSI,AGII,AGNC
AFG,AGII,AGM,AGO
AFH,AGM,AGNC,AHL
AFL,AGNC,AGO,AI
AFSI,AGO,AHL,AIG
AGII,AHL,AI,AINC
AGM,AI,AIG,AIZ
AGNC,AIG,AIZ,AJG
AGO,AIZ,AJG,AJX
AHH,AJG,AJX,ALL
AHL,AJX,ALL,ALLY
AHP,ALL,ALLY,AMAL
AHT,ALLY,AMBC,AMBC
AI,AMBC,AMG,AMG
AIG,AMG,AMNB,AMNB
AINC,AMNB,AMP,AMP
AIV,AMP,AMSF,AMSF
AIZ,AMSF,AMTD,AMTD
AJG,AMTD,ANAT,ANAT
AJX,ANAT,ANCX,ANCX
AKR,ANCX,ANH,ANH
ALEX,ANH,AON,AON
ALL,AON,APAM,APAM
ALLY,APAM,ARI,ARGO
ALX,ARI,AROW,ARI
AMBC,AROW,ARR,AROW
AMG,ARR,ASB,ARR
AMH,ASB,ATH,ASB
AMNB,ATLO,ATLO,ATH
AMP,AWH,AXP,ATLO
AMSF,AXP,AXS,AUBN
AMT,AXS,BAC,AX
AMTD,BAC,BANC,AXP
AMTG,BANC,BANF,AXS
ANAT,BANF,BANR,BAC
ANCX,BANR,BBT,BANC
ANH,BBT,BCBP,BANF
AON,BCRH,BCRH,BANR
APAM,BDGE,BDGE,BBT
APLE,BEN,BEN,BCBP
APTS,BFIN,BFIN,BCML
ARE,BGCP,BGCP,BCOR
ARI,BHB,BHB,BDGE
AROW,BHBK,BHBK,BEN
ARPI,BHLB,BHF,BFIN
ARR,BK,BHLB,BFST
ASB,BKMU,BK,BGCP
ASPS,BKU,BKMU,BHB
ATLO,BLK,BKU,BHBK
AVB,BLMT,BLK,BHF
AVHI,BLX,BLMT,BHLB
AWH,BMRC,BLX,BK
AXP,BMTC,BMRC,BKU
AXS,BNCL,BMTC,BLK
BAC,BNCN,BNCL,BLMT
BANC,BOFI,BOCH,BLX
BANF,BOH,BOFI,BMRC
BANR,BOKF,BOH,BMTC
