2015,2016,2017,2018
A,A,A,A
AAC,AAC,AAC,AAC
AAVL,ABAX,ABAX,ABBV
ABAX,ABBV,ABBV,ABC
ABBV,ABC,ABC,ABEO
ABC,ABMD,ABEO,ABMD
ABEO,ABT,ABMD,ABT
ABMD,ACAD,ABT,ABUS
ABT,ACET,ACAD,ACAD
ACAD,ACHC,ACET,ACHC
ACET,ACHN,ACHC,ACHN
ACHC,ACOR,ACHN,ACOR
ACHN,ACRS,ACOR,ACRS
ACOR,ACRX,ACRS,ADMA
ACRS,ADMS,ADMS,ADMS
ADMS,ADPT,ADRO,ADRO
ADPT,ADRO,ADUS,ADUS
ADRO,ADUS,ADXS,ADVM
ADUS,ADVM,AERI,AERI
ADXS,ADXS,AET,AGE
AEGR,AERI,AFAM,AGEN
AERI,AET,AGEN,AGIO
AET,AFAM,AGIO,AGLE
AFAM,AGEN,AGN,AGN
AFFX,AGIO,AIMT,AIMT
AFMD,AGN,AKAO,AKAO
AGEN,AGRX,AKBA,AKBA
AGIO,AGTC,AKCA,AKCA
AGN,AIMT,AKRX,AKRX
AGRX,AIRM,ALDR,ALBO
AGTC,AKBA,ALGN,ALDR
AHS,AKRX,ALKS,ALDX
AIMT,ALDR,ALNA,ALGN
AIQ,ALGN,ALNY,ALKS
AIRM,ALKS,ALOG,ALLK
AKBA,ALNY,ALRN,ALLO
AKRX,ALOG,ALXN,ALNA
ALDR,ALR,AMAG,ALNY
ALGN,ALXN,AMED,ALXN
ALIM,AMAG,AMGN,AMAG
ALKS,AMED,AMN,AMED
ALNY,AMGN,AMPH,AMEH
ALOG,AMN,ANAB,AMGN
ALR,AMPE,ANGO,AMN
ALXN,AMPH,ANIK,AMPE
AMAG,AMRI,ANIP,AMPH
AMED,ANGO,ANTM,AMRX
AMGN,ANIK,APLS,ANAB
AMPH,ANIP,ARA,ANGO
AMRI,ANTH,ARAY,ANIK
AMSG,ANTM,ARDX,ANIP
ANAC,APVO,ARNA,ANTM
ANGO,ARA,ARRY,APLS
ANIK,ARAY,ASMB,APTX
ANIP,ARDX,AST,AQST
ANTH,ARGS,ATHN,ARA
ANTM,ARIA,ATHX,ARAY
ARAY,ARNA,ATNX,ARDX
ARDX,ARRY,ATRA,ARNA
ARIA,ARWR,ATRC,ARQL
ARNA,AST,ATRI,ARRY
ARRY,ATHN,ATRS,ARWR
ARWR,ATHX,AVXL,ASMB
ASMB,ATRA,AVXS,ASNS
AST,ATRC,AXDX,ASRT
ATHN,ATRI,AXGN,ATHN
ATRA,AVGR,AXON,ATHX
ATRC,AVXL,BABY,ATNX
ATRI,AVXS,BAX,ATRA
ATRS,AXDX,BCRX,ATRC
AXDX,AXGN,BDX,ATRI
AXON,AXON,BEAT,ATRS
BABY,AXSM,BHVN,AVEO
BAX,BABY,BIIB,AVNS
BCR,BAX,BIO,AVRO
BCRX,BCR,BIOS,AXDX
BDSI,BCRX,BIVV,AXGN
BDX,BDX,BKD,BABY
BEAT,BEAT,BLCM,BAX
BIIB,BIIB,BLUE,BCRX
BIO,BIO,BMRN,BDX
BIOS,BIOS,BMY,BEAT
BKD,BKD,BOLD,BHVN
BLCM,BLCM,BPMC,BIIB
BLUE,BLUE,BRKR,BIO
BMRN,BMRN,BSTC,BIOS
BMY,BMY,BSX,BKD
BPMC,BOLD,BTX,BLCM
BRKR,BPMC,CAH,BLUE
BSTC,BPTH,CALA,BMRN
BSX,BRKR,CARA,BMY
BTX,BSTC,CASC,BOLD
BXLT,BSX,CBM,BPMC
CAH,BTX,CCRN,BRKR
CALA,CAH,CCXI,BSTC
CARA,CARA,CELC,BSX
CATB,CBM,CELG,BTX
