2015,2016,2017,2018
AAL,AAL,AAL,AAL
AAON,AAON,AAON,AAON
AAWW,AAWW,AAWW,AAWW
ABCO,ABCO,AAXN,AAXN
ABM,ABM,ABM,ABM
ACCO,ACCO,ACCO,ACA
ACM,ACM,ACM,ACCO
ACTG,ACTG,ACTG,ACM
ACW,ADSW,ADSW,ACTG
ADT,AEGN,AEGN,ADSW
AEGN,AFI,AFI,ADT
AGCO,AGCO,AGCO,AEGN
AGX,AGX,AGX,AFI
AIMC,AIMC,AIMC,AGCO
AIN,AIN,AIN,AGX
AIR,AIR,AIR,AIMC
AIT,AIT,AIT,AIN
AJRD,AJRD,AJRD,AIR
AL,AL,AL,AIT
ALG,ALG,ALG,AJRD
ALGT,ALGT,ALGT,AL
ALK,ALK,ALK,ALG
ALLE,ALLE,ALLE,ALGT
ALSN,ALSN,ALSN,ALK
AME,AME,AME,ALLE
AMOT,AMOT,AMOT,ALSN
AMRC,AMRC,AMRC,AME
AMWD,AMSC,AMWD,AMOT
AOS,AMWD,AOS,AMRC
APOG,AOS,APOG,AMWD
ARC,APOG,AQMS,AOS
ARCB,AQMS,ARC,APOG
ARII,ARC,ARCB,AQUA
ASEI,ARCB,ARII,ARCB
ASGN,ARII,ARNC,ARNC
ASTE,ARNC,ASGN,ASGN
ATRO,ASGN,ASTE,ASTE
ATSG,ASTE,ATKR,ATKR
ATU,ATKR,ATRO,ATRO
AVAV,ATRO,ATSG,ATSG
AWI,ATSG,ATU,ATU
AYI,ATU,AVAV,AVAV
AYR,AVAV,AWI,AWI
AZZ,AWI,AYI,AYI
B,AYI,AYR,AYR
BA,AYR,AZZ,AZZ
BBSI,AZZ,B,B
BCO,B,BA,BA
BEAV,BA,BBSI,BBSI
BECN,BBSI,BCO,BCO
BGC,BCO,BECN,BECN
BGG,BEAV,BGC,BGG
BLBD,BECN,BGG,BGSF
BLDR,BGC,BGSF,BLBD
BLT,BGG,BLBD,BLDR
BRC,BLBD,BLDR,BMCH
BRSS,BLDR,BMCH,BOOM
BW,BMCH,BOOM,BRC
BWXT,BOOM,BRC,BRSS
CAI,BRC,BRSS,BV
CAR,BRSS,BW,BW
CAT,BW,BWXT,BWXT
CBI,BWXT,CAI,BXC
CBPX,CAI,CAR,CAI
CBZ,CAR,CAT,CAR
CDI,CAT,CBI,CAT
CEB,CBI,CBPX,CBPX
CECE,CBPX,CBZ,CBZ
CFX,CBZ,CECE,CECE
CGI,CEB,CFX,CFX
CHRW,CECE,CHRW,CHRA
CIR,CFX,CIR,CHRW
CLC,CGI,CIX,CIR
CLH,CHRW,CLH,CIX
CMCO,CIR,CMCO,CLH
CMI,CIX,CMI,CMCO
COL,CLC,CMRE,CMI
CPA,CLH,COGT,CMPR
CPRT,CMCO,COL,CMRE
CR,CMI,CPA,CPA
CRAI,CMRE,CPRT,CPRT
CSL,COGT,CR,CR
CSX,COL,CRAI,CRAI
CTAS,CPA,CSL,CSGP
CUB,CPRT,CSTE,CSL
CVA,CR,CSWI,CSTE
CVEO,CRAI,CSX,CSWI
CVGI,CSL,CTAS,CSX
CVTI,CSTE,CUB,CTAS
CW,CSWI,CVA,CUB
CWST,CSX,CVGI,CVA
DAL,CTAS,CVTI,CVGI
DCI,CUB,CW,CVTI
DCO,CVA,CWST,CW
DE,CVTI,DAL,CWST
DGI,CW,DCI,DAL
DHR,CWST,DCO,DCI
DLX,DAL,DE,DCO
DNB,DCI,DLX,DE
DNOW,DCO,DNB,DLX
DOOR,DE,DNOW,DNB
DOV,DGI,DOOR,DNOW
DXPE,DLX,DOV,DOOR
DY,DNB,DSKE,DOV
EBF,DNOW,DXPE,DSKE
ECHO,DOOR,DY,DXPE
ECOL,DOV,EBF,DY
EFX,DXPE,ECHO,EAF
EGL,DY,ECOL,EBF
EGLE,EBF,EFX,ECHO
EME,ECHO,EGL,ECOL
EMR,ECOL,EGLE,EFX
ENPH,EFX,EME,EGL
ENS,EGL,EML,EGLE
ESE,EME,EMR,EME
ESL,EMR,ENS,EML
ESND,ENS,ERII,EMR
ETN,ERII,ESE,ENPH
EXPD,ESE,ESL,ENS
EXPO,ESL,ESND,ERII
FAST,ESND,ETN,ESE
FBHS,ETN,EVI,ESL
FC,EXPD,EXPD,ESND
FCEL,EXPO,EXPO,ETN
FCN,FAST,FAST,EVI
FDX,FBHS,FBHS,EXPD
FELE,FC,FBM,EXPO
FIX,FCEL,FC,FAST
FLOW,FCN,FCN,FBHS
FLR,FDX,FDX,FBM
FLS,FELE,FELE,FC
FRM,FIX,FIX,FCEL
FSS,FLOW,FLOW,FCN
FSTR,FLR,FLR,FDX
FWRD,FLS,FLS,FELE
GBX,FSS,FORR,FIX
GD,FTV,FSS,FLOW
GE,FWRD,FSTR,FLR
GFF,GATX,FTV,FLS
GGG,GBX,FWRD,FORR
GHM,GD,GATX,FSS
GK,GE,GBX,FSTR
GLDD,GENC,GD,FTV
GMT,GFF,GDI,FWRD
GNRC,GGG,GE,GATX
GOGL,GHM,GENC,GBX
GPX,GK,GFF,GD
GRC,GLDD,GGG,GDI
GTLS,GMS,GHM,GE
GVA,GNRC,GLDD,GENC
GWR,GPX,GMS,GFF
GWW,GRC,GNK,GFN
HA,GTLS,GNRC,GGG
HCCI,GVA,GPX,GHM
HCHC,GWR,GRC,GLDD
HCSG,GWW,GTLS,GMS
HDS,HA,GVA,GNK
HEES,HCCI,GWR,GNRC
HEI,HCHC,GWW,GPX
HEI.A,HCSG,HA,GRC
HI,HDNG,HBP,GTES
HII,HDS,HCCI,GTLS
HIL,HEES,HCHC,GVA
HNI,HEI,HCSG,GWR
HON,HEI.A,HDNG,GWW
HSC,HI,HDS,HA
HSII,HII,HDSN,HCCI
HTLD,HIL,HEES,HCHC
HTZ,HNI,HEI,HCSG
HUBB,HON,HEIA,HDS
HUBG,HRI,HI,HEES
HURC,HSC,HII,HEI
HURN,HSII,HIL,HEIA
HXL,HTLD,HNI,HI
HY,HTZ,HON,HII
ICFI,HUBB,HRI,HNI
IEX,HUBG,HSC,HON
IHS,HURC,HSII,HRI
IIIN,HURN,HTLD,HRS
INWK,HXL,HTZ,HSC
IR,HY,HUBB,HSII
ITT,ICFI,HUBG,HTLD
ITW,IESC,HURC,HTZ
JBHT,IEX,HURN,HUBB
JBLU,IIIN,HXL,HUBG
JBT,INWK,HY,HURC
JEC,IR,ICFI,HURN
JOY,ITT,IESC,HXL
KAI,ITW,IEX,HY
KAMN,JBHT,IIIN,ICFI
KAR,JBLU,INFO,IEA
KBAL,JBT,INWK,IESC
KBR,JCI,IR,IEX
KELYA,JEC,ITT,IIIN
KEX,JOY,ITW,INFO
KEYW,KAI,JBHT,INWK
KFRC,KAMN,JBLU,IR
KFY,KAR,JBT,ITT
KLXI,KBAL,JCI,ITW
KMT,KBR,JEC,JBHT
KNL,KELYA,JELD,JBLU
KNX,KEX,KAI,JBT
KSU,KEYW,KAMN,JCI
KTOS,KFRC,KAR,JEC
LABL,KFY,KBAL,JELD
LAWS,KLXI,KBR,KAI
LDL,KMT,KELYA,KAMN
LECO,KNL,KEX,KAR
LII,KNX,KEYW,KBAL
LLL,KSU,KFRC,KBR
LMT,KTOS,KFY,KELYA
LNN,LABL,KLXI,KEX
LSTR,LAWS,KMT,KEYW
LUV,LAYN,KNL,KFRC
LYTS,LDL,KNX,KFY
MAN,LECO,KSU,KMT
MAS,LII,KTOS,KNL
MATW,LKSD,LABL,KNX
MATX,LLL,LAWS,KSU
MCRN,LMT,LAYN,KTOS
MG,LNN,LDL,LABL
MGRC,LSTR,LECO,LAWS
MIC,LUV,LII,LDL
MIDD,LYTS,LKSD,LECO
MINI,MAN,LLL,LII
MLHR,MAS,LMT,LKSD
MLI,MATW,LNN,LLL
MLR,MATX,LSTR,LMT
MMM,MCRN,LUV,LNN
MOG.A,MFS,LYTS,LSTR
MRC,MG,MAN,LUV
MRTN,MGRC,MAS,MAN
MSA,MIC,MATW,MAS
MSM,MIDD,MATX,MATW
MTOR,MINI,MCRN,MATX
MTW,MLHR,MG,MAXR
MTZ,MLI,MGRC,MCRN
MWA,MLR,MIC,MESA
MYRG,MMM,MIDD,MG
NAV,MOG.A,MINI,MGRC
NCI,MRC,MLHR,MIC
NCS,MRCY,MLI,MIDD
NDSN,MRTN,MLR,MINI
NEFF,MSA,MMM,MLHR
NL,MSM,MOGA,MLI
NLSN,MTOR,MRC,MLR
NM,MTW,MRCY,MMM
NNBR,MTZ,MRTN,MNTX
NOC,MWA,MSA,MOGA
NPK,MYRG,MSM,MRC
NPO,NAV,MTOR,MRCY
NSC,NCI,MTW,MRTN
NSP,NCS,MTZ,MSA
NTK,NDSN,MWA,MSM
NVEE,NEFF,MYRG,MTOR
NWPX,NL,NAV,MTW
NX,NLSN,NCI,MTZ
OA,NNBR,NCS,MWA
OC,NOC,NDSN,MYRG
ODFL,NPK,NL,NAV
OFLX,NPO,NLSN,NCI
ORN,NSC,NM,NCS
OSK,NSP,NNBR,NDSN
PATK,NVEE,NOC,NL
PBI,NX,NPK,NLSN
PCAR,OA,NPO,NNBR
PCO,OC,NSC,NOC
PCP,ODFL,NSP,NPK
PGEM,OFLX,NVEE,NPO
PGTI,ORN,NWPX,NSC
PH,OSK,NX,NSP
PKOH,PATK,NXEO,NVEE
PLOW,PBI,OA,NVT
PLPC,PCAR,OC,NWPX
PLUG,PGEM,ODFL,NX
PNR,PGTI,OFLX,NXEO
POWL,PH,ORN,OC
POWR,PKOH,OSK,ODFL
PRIM,PLOW,PATK,OFLX
PRLB,PLPC,PBI,ORN
PSIX,PLUG,PCAR,OSK
PTSI,PNR,PGEM,PATK
PWR,POWL,PGTI,PBI
QUAD,PRIM,PH,PCAR
R,PRLB,PKOH,PGTI
RAIL,PSIX,PLOW,PH
RAVN,PTSI,PLPC,PICO
RBC,PWR,PLUG,PKOH
RECN,QUAD,PNR,PLOW
RHI,R,POWL,PLPC
RJET,RAIL,PRIM,PLUG
RLGT,RAVN,PRLB,PNR
ROCK,RBC,PWR,POWL
ROK,RECN,QUAD,PRIM
ROL,RHI,R,PRLB
ROLL,RLGT,RAIL,PTSI
ROP,ROCK,RAVN,PWR
RPXC,ROK,RBC,QUAD
RRD,ROL,RECN,R
RRTS,ROLL,REVG,RAIL
RSG,ROP,RHI,RAVN
RTN,RPXC,RLGT,RBC
RUN,RRD,ROCK,RECN
RUSHA,RRTS,ROK,REVG
RXN,RSG,ROL,REZI
SAIA,RTN,ROLL,RHI
SALT,RUN,ROP,RLGT
SAVE,RUSHA,RPXC,ROCK
SB,RUSHB,RRD,ROK
SCS,RXN,RRTS,ROL
SCTY,SAIA,RSG,ROLL
SKYW,SALT,RTN,ROP
SNA,SAVE,RUN,RRD
SNHY,SCS,RUSHA,RSG
SPA,SITE,RUSHB,RTN
SPR,SKYW,RVLT,RUN
SPXC,SNA,RXN,RUSHA
SRCL,SNHY,SAIA,RUSHB
SSD,SP,SALT,RXN
STCK,SPA,SAVE,SAIA
SWFT,SPR,SB,SALT
SWK,SPXC,SCS,SAVE
SXI,SRCL,SITE,SB
TAL,SSD,SKYW,SCS
TASR,STS,SNA,SITE
TBI,SWFT,SNDR,SKYW
TDG,SWK,SNHY,SNA
TDY,SXI,SP,SNDR
TEX,TASR,SPA,SNHY
TGH,TBI,SPAR,SP
TGI,TDG,SPR,SPA
THR,TDY,SPXC,SPAR
TILE,TEX,SRCL,SPR
TISI,TGH,SSD,SPXC
TITN,TGI,ST,SRCL
TKR,THR,STRL,SSD
TNC,TILE,SWK,ST
TNET,TISI,SXI,STRL
TPC,TITN,TBI,SWK
TREX,TKR,TDG,SXI
TRN,TNC,TDY,SYX
TRR,TNET,TEX,TBI
TRS,TPC,TGH,TDG
TRU,TPIC,TGI,TDY
TTC,TREX,THR,TEX
TTEK,TRN,TILE,TGH
TW,TRR,TISI,TGI
TWI,TRS,TITN,THR
TWIN,TRTN,TKR,TILE
TXT,TRU,TNC,TISI
TYC,TTC,TNET,TITN
UACL,TTEK,TPC,TKR
UAL,TWI,TPIC,TNC
UFPI,TXT,TREX,TNET
UHAL,UAL,TRN,TPC
ULTR,UFPI,TRS,TPIC
UNF,UHAL,TRTN,TREX
UNP,ULH,TRU,TRN
UNVR,UNF,TTC,TRS
UPS,UNP,TTEK,TRTN
URI,UNVR,TWI,TRU
USAK,UPS,TWIN,TTC
USG,URI,TXT,TTEK
UTIW,USAK,UAL,TWI
UTX,USG,UFPI,TWIN
VA,UTX,UHAL,TXT
VEC,VEC,ULH,UAL
VICR,VICR,UNF,UFPI
VISI,VMI,UNP,UHAL
VMI,VRSK,UNVR,ULH
VRSK,VRTV,UPS,UNF
VRTV,VSEC,URI,UNP
VSEC,VVI,USG,UNVR
VVI,WAB,UTX,UPS
WAB,WAGE,VEC,UPWK
WAGE,WAIR,VICR,URI
WAIR,WATT,VMI,USAK
WBC,WBC,VRSK,USG
WCC,WCC,VRTV,USX
WCN,WERN,VSEC,UTX
WERN,WIRE,VSLR,VEC
WIRE,WLFC,VVI,VICR
WM,WM,WAB,VMI
WMS,WMS,WAGE,VRSK
WNC,WNC,WAIR,VRTV
WSO,WSO,WATT,VSEC
WSTC,WSTC,WBC,VSLR
WTS,WTS,WBT,VVI
WWD,WWD,WCC,WAB
XONE,XONE,WERN,WAGE
XPO,XPO,WIRE,WAIR
XRM,XYL,WLDN,WATT
XYL,YRCW,WLFC,WBC
YRCW,,WM,WBT
,,WMS,WCC
,,WNC,WERN
,,WSO,WIRE
,,WTS,WLDN
,,WWD,WLFC
,,XONE,WM
,,XPO,WMS
,,XYL,WNC
,,YRCW,WSC
,,,WSO
,,,WTS
,,,WWD
,,,XPO
,,,XYL
,,,YRCW
