2015,2016,2017,2018
AA,AA,AA,AA
AEPI,AEPI,AGFS,AGFS
AKS,AGFS,AKS,AKS
ALB,AKS,ALB,ALB
APD,ALB,AP,AP
ARG,AP,APD,APD
ASH,APD,ARD,ARD
ATI,ASH,ASH,ASH
ATR,ASIX,ASIX,ASIX
AVD,ATI,ATI,ATI
AVY,ATR,ATR,ATR
AXLL,AVD,AVD,AVD
AXTA,AVY,AVY,AVY
BCC,AXTA,AXTA,AXTA
BCPC,BCC,BCC,BCC
BERY,BCPC,BCPC,BCPC
BLL,BERY,BERY,BERY
BMS,BLL,BLL,BLL
CBT,BMS,BMS,BMS
CC,CBT,CBT,CBT
CCC,CC,CC,CC
CCF,CCC,CCC,CCC
CCK,CCF,CCF,CCF
CDE,CCK,CCK,CCK
CE,CDE,CDE,CDE
CENX,CDXS,CDXS,CDXS
CF,CE,CE,CE
CHMT,CENX,CENX,CENX
CLF,CF,CF,CF
CLW,CHMT,CLF,CLF
CMC,CLF,CLW,CLW
CMP,CLW,CMC,CMC
CMT,CMC,CMP,CMP
CRS,CMP,CMT,CMT
DD,CRS,CRS,CRS
DEL,DD,DEL,DEL
DOW,DEL,DWDP,DWDP
ECL,DOW,ECL,ECL
EMN,ECL,EMN,EMN
EXP,EMN,EXP,EXP
FCX,EXP,FCX,FCX
FF,FCX,FF,FF
FMC,FF,FMC,FMC
FOE,FMC,FOE,FOE
FTK,FOE,FRTA,FRTA
FUL,FRTA,FTK,FTK
GEF,FTK,FUL,FUL
GLT,FUL,GCP,GCP
GPK,GCP,GEF,GEF
GRA,GEF,GEFB,GEFB
HAYN,GEF.B,GLT,GLT
HL,GLT,GORO,GORO
HNH,GORO,GPK,GPK
HUN,GPK,GRA,GRA
HW,GRA,HAYN,HAYN
HWKN,GSM,HCC,HCC
IFF,HAYN,HL,HL
IOSP,HL,HUN,HUN
IP,HNH,HWKN,HWKN
IPHS,HUN,IFF,IFF
IPI,HW,IOSP,IOSP
KALU,HWKN,IP,IP
KMG,IFF,IPHS,IPHS
KOP,IOSP,IPI,IPI
KRA,IP,KALU,KALU
KRO,IPHS,KLDX,KLDX
KS,KALU,KMG,KMG
KWR,KMG,KOP,KOP
LPX,KOP,KRA,KRA
LXU,KRA,KRO,KRO
LYB,KRO,KS,KS
MLM,KS,KWR,KWR
MON,KWR,LPX,LPX
MOS,LPX,LXU,LXU
MPSX,LXU,LYB,LYB
MTRN,LYB,METC,METC
MTX,MLM,MLM,MLM
MYE,MON,MON,MON
NEM,MOS,MOS,MOS
NEU,MPSX,MTRN,MTRN
NP,MTRN,MTX,MTX
NUE,MTX,MYE,MYE
OI,MYE,NEM,NEM
OLN,NEM,NEU,NEU
OMN,NEU,NGVT,NGVT
P5N994,NGVT,NP,NP
PAH,NP,NUE,NUE
PKG,NUE,OI,OI
POL,OI,OLN,OLN
PPG,OLN,OMN,OMN
PX,OMN,P5N994,P5N994
RELY,P5N994,PAH,PAH
RGLD,PAH,PKG,PKG
RPM,PKG,POL,POL
RS,POL,PPG,PPG
RTK,PPG,PQG,PQG
RYAM,PX,PX,PX
RYI,RELY,RGLD,RGLD
SCCO,RGLD,RPM,RPM
SCHN,RPM,RS,RS
SCL,RS,RYAM,RYAM
SEE,RYAM,RYI,RYI
SHLM,RYI,SCCO,SCCO
SHW,SCCO,SCHN,SCHN
SLGN,SCHN,SCL,SCL
SMG,SCL,SEE,SEE
SNMX,SEE,SHLM,SHLM
SON,SHLM,SHW,SHW
STLD,SHW,SLGN,SLGN
SUM,SLGN,SMG,SMG
SWC,SMG,SON,SON
SWM,SON,STLD,STLD
SXC,STLD,SUM,SUM
SXT,SUM,SWM,SWM
TAHO,SWC,SXC,SXC
TG,SWM,SXT,SXT
TMST,SXC,TAHO,TAHO
TREC,SXT,TG,TG
TROX,TAHO,TMST,TMST
TSE,TG,TREC,TREC
UFS,TMST,TROX,TROX
USCR,TREC,TSE,TSE
USLM,TROX,UFPT,UFPT
VAL,TSE,UFS,UFS
VHI,TVIA,USCR,USCR
VMC,UFPT,USLM,USLM
WLK,UFS,VHI,VHI
WOR,USCR,VMC,VMC
WPP,USLM,VRS,VRS
WRK,VAL,VVV,VVV
X,VHI,WLK,WLK
ZEUS,VMC,WOR,WOR
ZINC,VVV,WRK,WRK
,WLK,X,X
,WOR,ZEUS,ZEUS
,WRK,,
,X,,
,ZEUS,,
