2015,2016,2017,2018
,AAT,AAT,AAT
,ACC,ACC,ACC
,ADC,ADC,ADC
,AHH,AHH,AHH
,AHP,AHP,AHT
,AHT,AHT,AIV
,AIV,AIV,AKR
,AKR,AKR,ALEX
,ALEX,ALEX,ALX
,ALX,ALX,AMH
,AMH,AMH,AMT
,AMT,AMT,APLE
,APLE,APLE,APTS
,APTS,APTS,ARE
,ARE,ARE,ARL
,ASPS,ASPS,ASPS
,AVB,AVB,AVB
,AVHI,BDN,BDN
,BDN,BFS,BFS
,BFS,BRG,BHR
,BRG,BRX,BPR
,BRX,BXP,BRG
,BXP,CBG,BRT
,CBG,CBL,BRX
,CBL,CCI,BXP
,CCI,CDR,CBL
,CCP,CHCT,CBRE
,CDR,CHSP,CCI
,CHCT,CIO,CDR
,CHSP,CLDT,CHCT
,CIO,CLI,CHSP
,CLDT,CLNS,CIO
,CLI,CLPR,CLDT
,CONE,CONE,CLI
,COR,COR,CLNY
,CORR,CORR,CLPR
,CPT,CPT,COLD
,CSAL,CTO,CONE
,CTO,CTRE,COR
,CTRE,CTT,CORR
,CTT,CUBE,CPLG
,CUBE,CUZ,CPT
,CUZ,CXP,CTO
,CXP,CXW,CTRE
,CXW,DCT,CTT
,DCT,DDR,CUBE
,DDR,DEA,CUZ
,DEA,DEI,CWK
,DEI,DLR,CXP
,DFT,DOC,CXW
,DLR,DRE,DEA
,DOC,DRH,DEI
,DRE,EDR,DLR
,DRH,EGP,DOC
,EDR,ELS,DRE
,EGP,EPR,DRH
,ELS,EQC,EGP
,EPR,EQIX,ELS
,EQC,EQR,EPR
,EQIX,ESRT,EPRT
,EQR,ESS,EQC
,EQY,EXR,EQIX
,ESRT,FCEA,EQR
,ESS,FCPT,ESRT
,EXR,FOR,ESS
,FCEA,FPI,EXR
,FCH,FR,FCPT
,FCPT,FRPH,FOR
,FOR,FRT,FPI
,FPI,FSP,FR
,FPO,GEO,FRPH
,FR,GGP,FRT
,FRPH,GLPI,FSP
,FRT,GMRE,GEO
,FSP,GNL,GLPI
,GEO,GOOD,GMRE
,GGP,GOV,GNL
,GLPI,GPT,GOOD
,GMRE,GRIF,GOV
,GNL,GTY,GRIF
,GOOD,HCN,GTY
,GOV,HCP,HASI
,GPT,HF,HCP
,GRIF,HHC,HF
,GTY,HIFR,HHC
,HCN,HIW,HIFR
,HCP,HPP,HIW
,HF,HPT,HPP
,HHC,HR,HPT
,HIFR,HST,HR
,HIW,HT,HST
,HPP,HTA,HT
,HPT,INN,HTA
,HR,INVH,IIPR
,HST,IRET,ILPT
,HT,IRM,INN
,HTA,IRT,INVH
,INN,JBGS,IRET
,IRET,JCAP,IRM
,IRM,JLL,IRT
,IRT,JOE,JBGS
,JLL,KIM,JCAP
,JOE,KRC,JLL
,KIM,KRG,JOE
,KRC,KW,KIM
,KRG,LAMR,KRC
,KW,LHO,KRG
,LAMR,LPT,KW
,LHO,LSI,LAMR
,LPT,LTC,LAND
,LSI,LXP,LPT
,LTC,MAA,LSI
,LXP,MAC,LTC
,MAA,MLP,LXP
,MAC,MMI,MAA
,MMI,MNR,MAC
,MNR,MPW,MLP
,MORE,MRT,MMI
,MPW,NHI,MNR
,MRT,NNN,MPW
,NHI,NRE,MRT
,NNN,NSA,NHI
,NRE,NXRT,NMRK
,NRF,O,NNN
,NSA,OFC,NRE
,NXRT,OHI,NSA
,NYRT,OLP,NXRT
,O,OUT,O
,OFC,PCH,OFC
,OHI,PDM,OHI
,OLP,PEB,OLP
,OUT,PEI,OUT
,PCH,PGRE,PCH
,PDM,PK,PDM
,PEB,PLD,PEB
,PEI,PSA,PEI
,PGRE,PSB,PGRE
,PKY,QCP,PK
,PLD,QTS,PLD
,PSA,RAS,PSA
,PSB,RDFN,PSB
,QCP,REG,QTS
,QTS,RESI,RDFN
,RAS,REXR,REG
,REG,RHP,RESI
,REXR,RLGY,REXR
,RHP,RLJ,RHP
,RLGY,RMAX,RLGY
,RLJ,RMR,RLJ
,RMAX,ROIC,RMAX
,RMR,RPAI,RMR
,ROIC,RPT,ROIC
,RPAI,RYN,RPAI
,RPT,SAFE,RPT
,RYN,SBAC,RVI
,SBRA,SBRA,RYN
,SBY,SHO,SAFE
,SFR,SIR,SBAC
,SHO,SKT,SBRA
,SIR,SLG,SHO
,SKT,SNH,SIR
,SLG,SNR,SITC
,SNH,SPG,SKT
,SNR,SRC,SLG
,SPG,SRG,SMTA
,SRC,STAG,SNH
,SRG,STAR,SNR
,STAG,STOR,SPG
,STAR,STRS,SRC
,STOR,SUI,SRG
,STRS,TCI,STAG
,SUI,TCO,STAR
,TCO,TIER,STOR
,TIER,TPHS,STRS
,TPHS,TRC,SUI
,TRC,TRNO,TCI
,TRNO,UBA,TCO
,UBA,UDR,TIER
,UDR,UE,TPHS
,UE,UHT,TRC
,UHT,UMH,TRNO
,UMH,UNIT,UBA
,VER,VER,UDR
,VNO,VNO,UE
,VTR,VTR,UHT
,WPC,WPC,UMH
,WPG,WPG,UNIT
,WRE,WRE,VER
,WRI,WRI,VICI
,WSR,WSR,VNO
,WY,WY,VTR
,XHR,XHR,WELL
,,,WPC
,,,WPG
,,,WRE
,,,WRI
,,,WSR
,,,WY
,,,XHR
