2015,2016,2017,2018
ABY,ABY,AEE,AEE
AEE,AEE,AEP,AEP
AEP,AEP,AES,AES
AES,AES,AGR,AGR
AGR,AGR,ALE,ALE
ALE,ALE,AQUA,ARTNA
ARTNA,ARTNA,ARTNA,AT
AT,AT,AT,ATO
ATO,ATO,ATO,AVA
AVA,AVA,AVA,AWK
AWK,AWK,AWK,AWR
AWR,AWR,AWR,BKH
BKH,BKH,BKH,CDZI
CMS,CMS,CDZI,CMS
CNL,CNP,CMS,CNP
CNP,CPK,CNP,CPK
CPK,CPN,CPK,CTWS
CPN,CTWS,CPN,CWCO
CTWS,CWCO,CTWS,CWEN
CWCO,CWT,CWCO,CWENA
CWT,D,CWT,CWT
D,DGAS,D,D
DTE,DTE,DTE,DTE
DUK,DUK,DUK,DUK
DYN,DYN,DYN,ED
ED,ED,ED,EE
EDE,EDE,EE,EIX
EE,EE,EIX,ES
EIX,EIX,ES,ETR
ES,ES,ETR,EVRG
ETR,ETR,EXC,EXC
EXC,EXC,FE,FE
FE,FE,GNE,GWRS
GAS,GLBL,GWRS,HE
GLBL,GNE,GXP,IDA
GNE,GWRS,HE,LNT
GXP,GXP,IDA,MDU
HE,HE,LNT,MGEE
IDA,IDA,MDU,MSEX
ITC,LNT,MGEE,NEE
LG,MDU,MSEX,NFG
LNT,MGEE,NEE,NI
MDU,MSEX,NFG,NJR
MGEE,NEE,NI,NRG
MSEX,NFG,NJR,NWE
NEE,NI,NRG,NWN
NFG,NJR,NWE,OGE
NI,NRG,NWN,OGS
NJR,NWE,NYLD,ORA
NRG,NWN,NYLDA,OTTR
NWE,NYLD,OGE,PCG
NWN,NYLDA,OGS,PCYO
NYLD,OGE,ORA,PEG
NYLDA,OGS,OTTR,PEGI
OGE,ORA,PCG,PNM
OGS,OTTR,PCYO,PNW
ORA,PCG,PEG,POR
OTTR,PEG,PEGI,PPL
PCG,PEGI,PNM,RGCO
PEG,PNM,PNW,SCG
PEGI,PNW,POR,SJI
PNM,POR,PPL,SJW
PNW,PPL,RGCO,SO
PNY,SCG,SCG,SPKE
POM,SJI,SJI,SR
POR,SJW,SJW,SRE
PPL,SO,SO,SWX
SCG,SPKE,SPKE,TERP
SJI,SR,SR,UGI
SJW,SRE,SRE,UTL
SO,SWX,SWX,VST
SPKE,TERP,TERP,VVC
SRE,UGI,UGI,WAAS
STR,UTL,UTL,WEC
SWX,VSLR,VST,WTR
TE,VVC,VVC,XEL
TERP,WAAS,WAAS,YORW
TLN,WEC,WEC,
UGI,WGL,WGL,
UTL,WR,WR,
VSLR,WTR,WTR,
VVC,XEL,XEL,
WEC,YORW,YORW,
WGL,,,
WR,,,
WTR,,,
XEL,,,
YORW,,,
